area_data_type,geography_type,geography_id,geography_desc,total_area,mobilebb_3g_area_st_pct,mobilebb_3g_area_iv_pct,mobilebb_4g_area_st_pct,mobilebb_4g_area_iv_pct,mobilebb_5g_spd1_area_st_pct,mobilebb_5g_spd1_area_iv_pct,mobilebb_5g_spd2_area_st_pct,mobilebb_5g_spd2_area_iv_pct
Total,National,99,National,9754823.5491525,0.061411837,0.042771589,0.686747529,0.454151907,0.470245784,0.233491823,0.36967732,0.168455791
Total,State,01,Alabama,137027.3652475,0.0,0.0,0.94638724,0.63651479,0.619220649,0.301339915,0.45340967,0.225019083
Total,State,02,Alaska,1846753.43216,0.08133211,0.053744543,0.073887182,0.031803369,0.017287046,0.006168107,0.008914418,0.003235229
Total,State,04,Arizona,257307.8109875,0.070936195,0.047557019,0.725503978,0.338256888,0.39034229,0.173772472,0.311632277,0.117985603
Total,State,05,Arkansas,131093.3535275,0.0,0.0,0.90932268,0.522768963,0.652985335,0.312043466,0.464339003,0.220164925
Total,State,06,California,397513.5844225,0.005523474,0.004134722,0.707205265,0.46322882,0.530397126,0.296432093,0.454574891,0.208953725
Total,State,08,Colorado,247128.8995175,0.341882695,0.253793509,0.759425432,0.483073542,0.426032285,0.163101366,0.321540684,0.110949761
Total,State,09,Connecticut,14073.896655,0.0,0.0,0.879309054,0.656054006,0.889023605,0.597908902,0.761469606,0.465018636
Total,State,10,Delaware,6623.8342625,0.0,0.0,0.906639103,0.761024092,0.881863719,0.595960881,0.784908961,0.482483899
Total,State,11,District of Columbia,182.225225,0.0,0.0,1.0,0.99017341,0.997687861,0.987283237,0.994797688,0.958959538
Total,State,12,Florida,198855.1201,0.0,0.0,0.919145814,0.604826578,0.741885077,0.464667246,0.56934392,0.350599614
Total,State,13,Georgia,164549.378175,0.0,0.0,0.968865503,0.600933305,0.691791011,0.316469187,0.514442545,0.237733566
Total,State,15,Hawaii,24733.545655,0.0,0.0,0.476841245,0.260252796,0.341138092,0.16707692,0.258166038,0.111356222
Total,State,16,Idaho,218603.067865,0.029218035,0.013846741,0.551637257,0.344483517,0.368333332,0.16836629,0.302114041,0.106709095
Total,State,17,Illinois,152711.1638325,0.0,0.0,0.988739834,0.82290604,0.828748221,0.508105595,0.711431431,0.394547252
Total,State,18,Indiana,96508.2698125,0.0,0.0,0.981862534,0.768707468,0.83520096,0.490551993,0.700135884,0.393894513
Total,State,19,Iowa,146531.200725,0.0,0.0,0.988961492,0.851817587,0.784301252,0.388026281,0.654941666,0.247045208
Total,State,20,Kansas,199982.7045125,0.086532339,0.060049458,0.985261129,0.783493496,0.766767882,0.346428524,0.56406745,0.176024776
Total,State,21,Kentucky,110364.233525,0.0,0.0,0.887030551,0.608429331,0.548429522,0.259598003,0.425641124,0.195423614
Total,State,22,Louisiana,126615.56362,0.0,0.0,0.948063984,0.669484616,0.71879014,0.413840121,0.539810125,0.287822697
Total,State,23,Maine,85237.16565,0.0,0.0,0.588970861,0.263301698,0.310385309,0.111025432,0.216948419,0.075926201
Total,State,24,Maryland,33044.1745725,0.0,0.0,0.83523794,0.631041748,0.837972924,0.574349804,0.726804436,0.472167236
Total,State,25,Massachusetts,26577.07507,0.0,0.0,0.965602657,0.779982244,0.820784255,0.57488229,0.713062192,0.459384264
Total,State,26,Michigan,235196.6232525,0.0,0.0,0.67514086,0.392909301,0.437188101,0.242039378,0.35002555,0.196797703
Total,State,27,Minnesota,214233.5597675,0.0,0.0,0.931392674,0.720659882,0.757448206,0.367396487,0.605983935,0.283153521
Total,State,28,Mississippi,121516.20663,0.0,0.0,0.956756157,0.695978135,0.661258586,0.308674947,0.445687751,0.199911758
Total,State,29,Missouri,178012.2409975,0.0,0.0,0.938429695,0.593170545,0.633745029,0.301142069,0.474574897,0.220059373
Total,State,30,Montana,394488.6456875,0.095183002,0.078588317,0.647615398,0.335892715,0.368665283,0.134521351,0.280791418,0.084994693
Total,State,31,Nebraska,194523.1103725,0.411084211,0.304420245,0.938313895,0.680218199,0.565654422,0.195333106,0.400385433,0.116213159
Total,State,32,Nevada,269469.2907725,0.197829942,0.152796437,0.620078467,0.328108454,0.317485663,0.122398978,0.254204692,0.077800532
Total,State,33,New Hampshire,22947.6331175,0.0,0.0,0.870237172,0.566205665,0.502894074,0.189948545,0.343534121,0.123602881
Total,State,34,New Jersey,22706.6323575,0.0,0.0,0.968557923,0.834722667,0.899824188,0.709506381,0.823895607,0.590278841
Total,State,35,New Mexico,274130.78056,0.022924249,0.014956996,0.803640921,0.477062302,0.49859137,0.177387525,0.375869155,0.114328453
Total,State,36,New York,135054.171525,0.0,0.0,0.877332959,0.574536918,0.671357932,0.400702715,0.539153934,0.317143593
Total,State,37,North Carolina,154752.9290125,0.0,0.0,0.924852895,0.612939147,0.610201574,0.332968278,0.477538227,0.253894506
Total,State,38,North Dakota,178282.1028625,0.022423363,0.01561299,0.984456727,0.806956306,0.82249308,0.334947255,0.65176522,0.241190737
Total,State,39,Ohio,116640.0492075,0.0,0.0,0.973722876,0.805170176,0.865832062,0.617887192,0.7702788,0.50547568
Total,State,40,Oklahoma,165505.797275,0.0,0.0,0.965139028,0.775853927,0.781343117,0.436795077,0.612237235,0.282166019
Total,State,41,Oregon,264577.333475,0.000810564,7.2457e-05,0.688358289,0.388561726,0.314394286,0.139649976,0.23655542,0.094494452
Total,State,42,Pennsylvania,118072.465875,0.000973282,0.000587894,0.919653865,0.630807797,0.724960971,0.468045854,0.633311923,0.393961372
Total,State,44,Rhode Island,3928.5862525,0.0,0.0,0.972893262,0.865377912,0.9162131,0.686891707,0.80424699,0.554763118
Total,State,45,South Carolina,93576.339675,0.0,0.0,0.974651898,0.676875021,0.779702608,0.400226252,0.610553923,0.303553619
Total,State,46,South Dakota,200078.24109,0.012452803,0.007375656,0.961839797,0.740857556,0.732754863,0.337541301,0.582975343,0.241464034
Total,State,47,Tennessee,113521.89121,0.0,0.0,0.879312233,0.538241778,0.58506534,0.296960885,0.460062092,0.23287262
Total,State,48,Texas,610227.196215,0.002102586,0.001277328,0.924711505,0.610142298,0.719391156,0.358147335,0.585890838,0.27396829
Total,State,49,Utah,202661.204655,0.021600674,0.015403734,0.70171215,0.414043765,0.441108537,0.191393618,0.371132435,0.138356062
Total,State,50,Vermont,23407.3041475,0.0,0.0,0.86866796,0.504187235,0.370222704,0.10287864,0.235200677,0.06010629
Total,State,51,Virginia,117639.6546325,0.0,0.0,0.888119258,0.497499644,0.550593146,0.267215297,0.413327412,0.198132948
Total,State,53,Washington,205089.6454425,0.037936509,0.015853059,0.698687104,0.436980918,0.497505738,0.272179877,0.410352689,0.203245494
Total,State,54,West Virginia,65105.386255,0.0,0.0,0.652633742,0.324364902,0.410340498,0.203105029,0.306065097,0.146555378
Total,State,55,Wisconsin,161870.140705,0.0,0.0,0.83659779,0.49498163,0.506867722,0.267845081,0.387608557,0.212106167
Total,State,56,Wyoming,246289.71549,0.442020227,0.290601109,0.773145463,0.555515496,0.334069794,0.119374548,0.226912701,0.066253188
Total,State,60,American Samoa,1475.1816625,0.076544091,0.070189218,0.531738665,0.379435916,0.287611567,0.247483042,0.236701178,0.176436987
Total,State,66,Guam,1300.9617075,0.355355842,0.351874342,0.3696057,0.36944377,0.321917254,0.276576795,0.218200955,0.134240142
Total,State,69,Commonwealth of the Northern Mariana Islands,4690.1402275,0.057066499,0.056976666,0.058705954,0.058683495,0.020863746,0.01870775,0.018550542,0.012644014
Total,State,72,Puerto Rico,19257.940975,0.578203796,0.255707488,0.629951321,0.519313023,0.607258109,0.518120659,0.500399278,0.254531532
Total,State,78,United States Virgin Islands,2577.3809425,0.784543708,0.784543708,0.778086559,0.775716212,0.219910908,0.165597286,0.016469819,0.006375414
Total,County,01001,"Autauga County, AL",1579.9875,0.0,0.0,0.994666667,0.651266667,0.846333333,0.3126,0.607533333,0.205866667
Total,County,01003,"Baldwin County, AL",5165.716465,0.0,0.0,0.924187431,0.685208597,0.7147547,0.467538029,0.572060683,0.365503038
Total,County,01005,"Barbour County, AL",2407.05829,0.0,0.0,0.971206021,0.568702958,0.452039209,0.12777875,0.299711185,0.092289515
