area_data_type,geography_type,geography_id,geography_desc,geography_desc_full,total_units,biz_res,technology,speed_02_02,speed_10_1,speed_25_3,speed_100_20,speed_250_25,speed_1000_100
Total,Census Place,0100100,Abanda,"Abanda, AL",99,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,0100100,Abanda,"Abanda, AL",99,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Total,Census Place,0100100,Abanda,"Abanda, AL",99,R,All Wired,0.242424242,0.010101010,0,0,0,0.000000000
Total,Census Place,0100100,Abanda,"Abanda, AL",99,B,All Wired,0.242424242,0.010101010,0,0,0,0
Total,Census Place,0100100,Abanda,"Abanda, AL",99,R,Any Terrestrial,0.242424242,0.010101010,0,0,0,0
Total,Census Place,0100100,Abanda,"Abanda, AL",99,B,Any Terrestrial,0.414141414,0.212121212,0.191919192,0,0,0
Total,Census Place,0100100,Abanda,"Abanda, AL",99,R,All Wired and Licensed Fixed Wireless,0.242424242,0.010101010,0,0,0,0.000000000
Total,Census Place,0100100,Abanda,"Abanda, AL",99,B,All Wired and Licensed Fixed Wireless,0.414141414,0.212121212,0.191919192,0.000000000,0,0
Total,Census Place,0100100,Abanda,"Abanda, AL",99,R,Copper,0.242424242,0.010101010,0,0,0,0
Total,Census Place,0100100,Abanda,"Abanda, AL",99,B,Copper,0.242424242,0.010101010,0,0,0,0
Total,Census Place,0100100,Abanda,"Abanda, AL",99,R,Cable/Fiber,0,0,0,0,0.000000000,0
Total,Census Place,0100100,Abanda,"Abanda, AL",99,B,Cable/Fiber,0,0.000000000,0,0,0,0
Total,Census Place,0100100,Abanda,"Abanda, AL",99,R,Cable,0,0,0,0,0.000000000,0
Total,Census Place,0100100,Abanda,"Abanda, AL",99,B,Cable,0,0.000000000,0,0,0,0
Total,Census Place,0100100,Abanda,"Abanda, AL",99,R,Fiber,0,0,0,0.000000000,0,0
Total,Census Place,0100100,Abanda,"Abanda, AL",99,B,Fiber,0,0,0,0,0.000000000,0
Total,Census Place,0100100,Abanda,"Abanda, AL",99,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Total,Census Place,0100100,Abanda,"Abanda, AL",99,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000,0
Total,Census Place,0100100,Abanda,"Abanda, AL",99,R,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,0100100,Abanda,"Abanda, AL",99,B,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0.000000000
Total,Census Place,0100100,Abanda,"Abanda, AL",99,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,0100100,Abanda,"Abanda, AL",99,B,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,0100100,Abanda,"Abanda, AL",99,R,All Fixed Wireless,0.010101010,0.000000000,0,0,0,0
Total,Census Place,0100100,Abanda,"Abanda, AL",99,B,All Fixed Wireless,0.212121212,0.202020202,0.191919192,0,0.000000000,0
Total,Census Place,0100100,Abanda,"Abanda, AL",99,R,Unlicensed Fixed Wireless,0,0,0,0,0,0.000000000
Total,Census Place,0100100,Abanda,"Abanda, AL",99,B,Unlicensed Fixed Wireless,0,0,0,0,0.000000000,0
Total,Census Place,0100100,Abanda,"Abanda, AL",99,R,Licensed Fixed Wireless,0.010101010,0,0,0.000000000,0,0
Total,Census Place,0100100,Abanda,"Abanda, AL",99,B,Licensed Fixed Wireless,0.212121212,0.202020202,0.191919192,0,0,0.000000000
Total,Census Place,0100100,Abanda,"Abanda, AL",99,R,Other,0,0,0,0,0,0.000000000
Total,Census Place,0100100,Abanda,"Abanda, AL",99,B,Other,0.000000000,0,0,0,0,0
Total,Census Place,0100124,Abbeville,"Abbeville, AL",1526,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.925950197,0.449541284
Total,Census Place,0100124,Abbeville,"Abbeville, AL",1526,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.925950197,0.449541284
Total,Census Place,0100124,Abbeville,"Abbeville, AL",1526,R,All Wired,0.950196592,0.937745740,0.932503277,0.927260813,0.925950197,0.449541284
Total,Census Place,0100124,Abbeville,"Abbeville, AL",1526,B,All Wired,0.950196592,0.937745740,0.932503277,0.927260813,0.925950197,0.449541284
Total,Census Place,0100124,Abbeville,"Abbeville, AL",1526,R,Any Terrestrial,0.951507208,0.946920052,0.944298820,0.938401048,0.925950197,0.449541284
Total,Census Place,0100124,Abbeville,"Abbeville, AL",1526,B,Any Terrestrial,0.991480996,0.988204456,0.986238532,0.941677588,0.925950197,0.449541284
Total,Census Place,0100124,Abbeville,"Abbeville, AL",1526,R,All Wired and Licensed Fixed Wireless,0.951507208,0.946920052,0.944298820,0.938401048,0.925950197,0.449541284
Total,Census Place,0100124,Abbeville,"Abbeville, AL",1526,B,All Wired and Licensed Fixed Wireless,0.991480996,0.988204456,0.986238532,0.941677588,0.925950197,0.449541284
Total,Census Place,0100124,Abbeville,"Abbeville, AL",1526,R,Copper,0.169724771,0.047837484,0.023591088,0,0,0.000000000
Total,Census Place,0100124,Abbeville,"Abbeville, AL",1526,B,Copper,0.169724771,0.047837484,0.023591088,0,0,0
Total,Census Place,0100124,Abbeville,"Abbeville, AL",1526,R,Cable/Fiber,0.927260813,0.927260813,0.927260813,0.927260813,0.925950197,0.449541284
Total,Census Place,0100124,Abbeville,"Abbeville, AL",1526,B,Cable/Fiber,0.927260813,0.927260813,0.927260813,0.927260813,0.925950197,0.449541284
Total,Census Place,0100124,Abbeville,"Abbeville, AL",1526,R,Cable,0.927260813,0.927260813,0.927260813,0.927260813,0.916775885,0
Total,Census Place,0100124,Abbeville,"Abbeville, AL",1526,B,Cable,0.927260813,0.927260813,0.927260813,0.927260813,0.916775885,0
Total,Census Place,0100124,Abbeville,"Abbeville, AL",1526,R,Fiber,0.535386632,0.532110092,0.522280472,0.522280472,0.512450852,0.449541284
Total,Census Place,0100124,Abbeville,"Abbeville, AL",1526,B,Fiber,0.535386632,0.532110092,0.522280472,0.522280472,0.512450852,0.449541284
Total,Census Place,0100124,Abbeville,"Abbeville, AL",1526,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,0100124,Abbeville,"Abbeville, AL",1526,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000,0
Total,Census Place,0100124,Abbeville,"Abbeville, AL",1526,R,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,0100124,Abbeville,"Abbeville, AL",1526,B,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,0100124,Abbeville,"Abbeville, AL",1526,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Total,Census Place,0100124,Abbeville,"Abbeville, AL",1526,B,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000,0
Total,Census Place,0100124,Abbeville,"Abbeville, AL",1526,R,All Fixed Wireless,0.638925295,0.471166448,0.471166448,0.266055046,0,0.000000000
Total,Census Place,0100124,Abbeville,"Abbeville, AL",1526,B,All Fixed Wireless,0.907601573,0.749017038,0.749017038,0.336173001,0,0
Total,Census Place,0100124,Abbeville,"Abbeville, AL",1526,R,Unlicensed Fixed Wireless,0.000000000,0,0,0,0,0
Total,Census Place,0100124,Abbeville,"Abbeville, AL",1526,B,Unlicensed Fixed Wireless,0,0.000000000,0,0,0,0
Total,Census Place,0100124,Abbeville,"Abbeville, AL",1526,R,Licensed Fixed Wireless,0.638925295,0.471166448,0.471166448,0.266055046,0,0
Total,Census Place,0100124,Abbeville,"Abbeville, AL",1526,B,Licensed Fixed Wireless,0.907601573,0.749017038,0.749017038,0.336173001,0,0
Total,Census Place,0100124,Abbeville,"Abbeville, AL",1526,R,Other,0,0,0,0,0,0.000000000
Total,Census Place,0100124,Abbeville,"Abbeville, AL",1526,B,Other,0,0,0,0,0.000000000,0
Total,Census Place,0100460,Adamsville,"Adamsville, AL",2192,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.903284672,0.080291971
Total,Census Place,0100460,Adamsville,"Adamsville, AL",2192,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.218065693,0.081660584
Total,Census Place,0100460,Adamsville,"Adamsville, AL",2192,R,All Wired,0.933394161,0.913777372,0.909215328,0.905565693,0.903284672,0.080291971
Total,Census Place,0100460,Adamsville,"Adamsville, AL",2192,B,All Wired,0.766423358,0.611313869,0.505018248,0.242700730,0.218065693,0.081660584
Total,Census Place,0100460,Adamsville,"Adamsville, AL",2192,R,Any Terrestrial,0.961678832,0.953010949,0.951642336,0.930200730,0.903284672,0.080291971
Total,Census Place,0100460,Adamsville,"Adamsville, AL",2192,B,Any Terrestrial,0.982664234,0.823905109,0.756386861,0.415145985,0.218065693,0.081660584
Total,Census Place,0100460,Adamsville,"Adamsville, AL",2192,R,All Wired and Licensed Fixed Wireless,0.961678832,0.953010949,0.951642336,0.930200730,0.903284672,0.080291971
Total,Census Place,0100460,Adamsville,"Adamsville, AL",2192,B,All Wired and Licensed Fixed Wireless,0.982664234,0.823905109,0.756386861,0.415145985,0.218065693,0.081660584
Total,Census Place,0100460,Adamsville,"Adamsville, AL",2192,R,Copper,0.655109489,0.479470803,0.369525547,0.036496350,0,0.000000000
Total,Census Place,0100460,Adamsville,"Adamsville, AL",2192,B,Copper,0.655109489,0.479470803,0.369525547,0.036496350,0,0
Total,Census Place,0100460,Adamsville,"Adamsville, AL",2192,R,Cable/Fiber,0.903284672,0.903284672,0.903284672,0.903284672,0.903284672,0.080291971
Total,Census Place,0100460,Adamsville,"Adamsville, AL",2192,B,Cable/Fiber,0.218065693,0.218065693,0.218065693,0.218065693,0.218065693,0.081660584
Total,Census Place,0100460,Adamsville,"Adamsville, AL",2192,R,Cable,0.898266423,0.898266423,0.898266423,0.898266423,0.898266423,0
Total,Census Place,0100460,Adamsville,"Adamsville, AL",2192,B,Cable,0.140054745,0.140054745,0.140054745,0.140054745,0.140054745,0.000000000
