area_data_type,geography_type,geography_id,geography_desc,geography_desc_full,total_units,biz_res,technology,speed_02_02,speed_10_1,speed_25_3,speed_100_20,speed_250_25,speed_1000_100
Total,Census Place,0500190,Acorn,"Acorn, AR",170,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.611764706,0.611764706
Total,Census Place,0500190,Acorn,"Acorn, AR",170,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.611764706,0.611764706
Total,Census Place,0500190,Acorn,"Acorn, AR",170,R,All Wired,0.723529412,0.664705882,0.541176471,0.541176471,0.541176471,0.541176471
Total,Census Place,0500190,Acorn,"Acorn, AR",170,B,All Wired,0.723529412,0.664705882,0.541176471,0.541176471,0.541176471,0.541176471
Total,Census Place,0500190,Acorn,"Acorn, AR",170,R,Any Terrestrial,0.941176471,0.811764706,0.764705882,0.658823529,0.611764706,0.611764706
Total,Census Place,0500190,Acorn,"Acorn, AR",170,B,Any Terrestrial,0.952941176,0.764705882,0.682352941,0.623529412,0.611764706,0.611764706
Total,Census Place,0500190,Acorn,"Acorn, AR",170,R,All Wired and Licensed Fixed Wireless,0.917647059,0.788235294,0.717647059,0.588235294,0.541176471,0.541176471
Total,Census Place,0500190,Acorn,"Acorn, AR",170,B,All Wired and Licensed Fixed Wireless,0.935294118,0.735294118,0.629411765,0.552941176,0.541176471,0.541176471
Total,Census Place,0500190,Acorn,"Acorn, AR",170,R,Copper,0.429411765,0.311764706,0,0,0.000000000,0
Total,Census Place,0500190,Acorn,"Acorn, AR",170,B,Copper,0.429411765,0.311764706,0,0,0,0
Total,Census Place,0500190,Acorn,"Acorn, AR",170,R,Cable/Fiber,0.541176471,0.541176471,0.541176471,0.541176471,0.541176471,0.541176471
Total,Census Place,0500190,Acorn,"Acorn, AR",170,B,Cable/Fiber,0.541176471,0.541176471,0.541176471,0.541176471,0.541176471,0.541176471
Total,Census Place,0500190,Acorn,"Acorn, AR",170,R,Cable,0.541176471,0.541176471,0.541176471,0.541176471,0.541176471,0.541176471
Total,Census Place,0500190,Acorn,"Acorn, AR",170,B,Cable,0.541176471,0.541176471,0.541176471,0.541176471,0.541176471,0.541176471
Total,Census Place,0500190,Acorn,"Acorn, AR",170,R,Fiber,0,0,0,0.000000000,0,0
Total,Census Place,0500190,Acorn,"Acorn, AR",170,B,Fiber,0,0,0,0,0.000000000,0
Total,Census Place,0500190,Acorn,"Acorn, AR",170,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,0500190,Acorn,"Acorn, AR",170,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,0500190,Acorn,"Acorn, AR",170,R,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,0500190,Acorn,"Acorn, AR",170,B,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,0500190,Acorn,"Acorn, AR",170,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000,0
Total,Census Place,0500190,Acorn,"Acorn, AR",170,B,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,0500190,Acorn,"Acorn, AR",170,R,All Fixed Wireless,0.823529412,0.558823529,0.558823529,0.200000000,0.129411765,0.129411765
Total,Census Place,0500190,Acorn,"Acorn, AR",170,B,All Fixed Wireless,0.852941176,0.394117647,0.341176471,0.141176471,0.129411765,0.129411765
Total,Census Place,0500190,Acorn,"Acorn, AR",170,R,Unlicensed Fixed Wireless,0.129411765,0.129411765,0.129411765,0.129411765,0.129411765,0.129411765
Total,Census Place,0500190,Acorn,"Acorn, AR",170,B,Unlicensed Fixed Wireless,0.129411765,0.129411765,0.129411765,0.129411765,0.129411765,0.129411765
Total,Census Place,0500190,Acorn,"Acorn, AR",170,R,Licensed Fixed Wireless,0.782352941,0.500000000,0.500000000,0.076470588,0,0.000000000
Total,Census Place,0500190,Acorn,"Acorn, AR",170,B,Licensed Fixed Wireless,0.817647059,0.323529412,0.264705882,0.011764706,0,0
Total,Census Place,0500190,Acorn,"Acorn, AR",170,R,Other,0.000000000,0,0,0,0,0
Total,Census Place,0500190,Acorn,"Acorn, AR",170,B,Other,0,0,0,0.000000000,0,0
Total,Census Place,0500250,Adona,"Adona, AR",101,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.910891089,0.910891089
Total,Census Place,0500250,Adona,"Adona, AR",101,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,0500250,Adona,"Adona, AR",101,R,All Wired,0.910891089,0.910891089,0.910891089,0.910891089,0.910891089,0.910891089
Total,Census Place,0500250,Adona,"Adona, AR",101,B,All Wired,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,0500250,Adona,"Adona, AR",101,R,Any Terrestrial,0.910891089,0.910891089,0.910891089,0.910891089,0.910891089,0.910891089
Total,Census Place,0500250,Adona,"Adona, AR",101,B,Any Terrestrial,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
