area_data_type,geography_type,geography_id,geography_desc,geography_desc_full,total_units,biz_res,technology,speed_02_02,speed_10_1,speed_25_3,speed_100_20,speed_250_25,speed_1000_100
Total,Census Place,0400730,Aguila,"Aguila, AZ",276,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.351449275,0.351449275
Total,Census Place,0400730,Aguila,"Aguila, AZ",276,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.351449275,0.351449275
Total,Census Place,0400730,Aguila,"Aguila, AZ",276,R,All Wired,0.876811594,0.873188406,0.869565217,0.586956522,0.351449275,0.351449275
Total,Census Place,0400730,Aguila,"Aguila, AZ",276,B,All Wired,0.876811594,0.873188406,0.869565217,0.586956522,0.351449275,0.351449275
Total,Census Place,0400730,Aguila,"Aguila, AZ",276,R,Any Terrestrial,0.942028986,0.942028986,0.942028986,0.778985507,0.351449275,0.351449275
Total,Census Place,0400730,Aguila,"Aguila, AZ",276,B,Any Terrestrial,0.963768116,0.963768116,0.963768116,0.778985507,0.351449275,0.351449275
Total,Census Place,0400730,Aguila,"Aguila, AZ",276,R,All Wired and Licensed Fixed Wireless,0.876811594,0.873188406,0.869565217,0.586956522,0.351449275,0.351449275
Total,Census Place,0400730,Aguila,"Aguila, AZ",276,B,All Wired and Licensed Fixed Wireless,0.927536232,0.923913043,0.923913043,0.586956522,0.351449275,0.351449275
Total,Census Place,0400730,Aguila,"Aguila, AZ",276,R,Copper,0.528985507,0.525362319,0.521739130,0.239130435,0,0.000000000
Total,Census Place,0400730,Aguila,"Aguila, AZ",276,B,Copper,0.528985507,0.525362319,0.521739130,0.239130435,0,0
Total,Census Place,0400730,Aguila,"Aguila, AZ",276,R,Cable/Fiber,0.351449275,0.351449275,0.351449275,0.351449275,0.351449275,0.351449275
Total,Census Place,0400730,Aguila,"Aguila, AZ",276,B,Cable/Fiber,0.351449275,0.351449275,0.351449275,0.351449275,0.351449275,0.351449275
Total,Census Place,0400730,Aguila,"Aguila, AZ",276,R,Cable,0,0,0,0,0,0.000000000
Total,Census Place,0400730,Aguila,"Aguila, AZ",276,B,Cable,0,0,0,0,0,0.000000000
Total,Census Place,0400730,Aguila,"Aguila, AZ",276,R,Fiber,0.351449275,0.351449275,0.351449275,0.351449275,0.351449275,0.351449275
Total,Census Place,0400730,Aguila,"Aguila, AZ",276,B,Fiber,0.351449275,0.351449275,0.351449275,0.351449275,0.351449275,0.351449275
Total,Census Place,0400730,Aguila,"Aguila, AZ",276,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Total,Census Place,0400730,Aguila,"Aguila, AZ",276,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,0400730,Aguila,"Aguila, AZ",276,R,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0.000000000,0
Total,Census Place,0400730,Aguila,"Aguila, AZ",276,B,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,0400730,Aguila,"Aguila, AZ",276,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000,0
Total,Census Place,0400730,Aguila,"Aguila, AZ",276,B,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,0400730,Aguila,"Aguila, AZ",276,R,All Fixed Wireless,0.942028986,0.942028986,0.942028986,0.684782609,0,0.000000000
Total,Census Place,0400730,Aguila,"Aguila, AZ",276,B,All Fixed Wireless,0.963768116,0.963768116,0.963768116,0.684782609,0,0
Total,Census Place,0400730,Aguila,"Aguila, AZ",276,R,Unlicensed Fixed Wireless,0.942028986,0.942028986,0.942028986,0.684782609,0,0.000000000
Total,Census Place,0400730,Aguila,"Aguila, AZ",276,B,Unlicensed Fixed Wireless,0.942028986,0.942028986,0.942028986,0.684782609,0,0
Total,Census Place,0400730,Aguila,"Aguila, AZ",276,R,Licensed Fixed Wireless,0.010869565,0,0,0,0,0.000000000
Total,Census Place,0400730,Aguila,"Aguila, AZ",276,B,Licensed Fixed Wireless,0.315217391,0.304347826,0.304347826,0,0,0
Total,Census Place,0400730,Aguila,"Aguila, AZ",276,R,Other,0,0,0,0,0,0.000000000
Total,Census Place,0400730,Aguila,"Aguila, AZ",276,B,Other,0,0,0,0.000000000,0,0
Total,Census Place,0400870,Ajo,"Ajo, AZ",2236,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.851967800,0.116726297
Total,Census Place,0400870,Ajo,"Ajo, AZ",2236,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.851967800,0.116726297
Total,Census Place,0400870,Ajo,"Ajo, AZ",2236,R,All Wired,0.988819320,0.945885510,0.813059034,0.227191413,0.116726297,0.116726297
Total,Census Place,0400870,Ajo,"Ajo, AZ",2236,B,All Wired,0.988819320,0.945885510,0.813059034,0.227191413,0.116726297,0.116726297
Total,Census Place,0400870,Ajo,"Ajo, AZ",2236,R,Any Terrestrial,1.000000000,1.000000000,1.000000000,1.000000000,0.851967800,0.116726297
Total,Census Place,0400870,Ajo,"Ajo, AZ",2236,B,Any Terrestrial,1.000000000,1.000000000,1.000000000,1.000000000,0.851967800,0.116726297
Total,Census Place,0400870,Ajo,"Ajo, AZ",2236,R,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,1.000000000,0.851967800,0.116726297
Total,Census Place,0400870,Ajo,"Ajo, AZ",2236,B,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,1.000000000,0.851967800,0.116726297
Total,Census Place,0400870,Ajo,"Ajo, AZ",2236,R,Copper,0.868067979,0.830500894,0.697227191,0.110465116,0.000000000,0
