area_data_type,geography_type,geography_id,geography_desc,geography_desc_full,total_units,biz_res,technology,speed_02_02,speed_10_1,speed_25_3,speed_100_20,speed_250_25,speed_1000_100
Total,Census Place,1150000,Washington,"Washington, DC",386183,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.999000474,0.672486878
Total,Census Place,1150000,Washington,"Washington, DC",386183,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.998358291,0.678843968
Total,Census Place,1150000,Washington,"Washington, DC",386183,R,All Wired,0.997710930,0.997710930,0.997710930,0.997710930,0.997710930,0.668493952
Total,Census Place,1150000,Washington,"Washington, DC",386183,B,All Wired,0.997946569,0.997946569,0.997943980,0.997905138,0.997894780,0.678797358
Total,Census Place,1150000,Washington,"Washington, DC",386183,R,Any Terrestrial,0.999554615,0.999552026,0.999549436,0.999451037,0.999000474,0.672486878
Total,Census Place,1150000,Washington,"Washington, DC",386183,B,Any Terrestrial,0.999935264,0.999930085,0.998689740,0.998516247,0.998358291,0.678843968
Total,Census Place,1150000,Washington,"Washington, DC",386183,R,All Wired and Licensed Fixed Wireless,0.999552026,0.999549436,0.999549436,0.999451037,0.999000474,0.672383300
Total,Census Place,1150000,Washington,"Washington, DC",386183,B,All Wired and Licensed Fixed Wireless,0.999935264,0.999930085,0.998689740,0.998516247,0.998358291,0.678797358
Total,Census Place,1150000,Washington,"Washington, DC",386183,R,Copper,0,0,0,0,0,0.000000000
Total,Census Place,1150000,Washington,"Washington, DC",386183,B,Copper,0.005209965,0.004490099,0.004368395,0.003241986,0.002172545,0.000960684
Total,Census Place,1150000,Washington,"Washington, DC",386183,R,Cable/Fiber,0.997710930,0.997710930,0.997710930,0.997710930,0.997710930,0.668493952
Total,Census Place,1150000,Washington,"Washington, DC",386183,B,Cable/Fiber,0.997943980,0.997943980,0.997943980,0.997905138,0.997892191,0.678512519
Total,Census Place,1150000,Washington,"Washington, DC",386183,R,Cable,0.974872017,0.974872017,0.974872017,0.974872017,0.974872017,0.658568606
