area_data_type,geography_type,geography_id,geography_desc,geography_desc_full,total_units,biz_res,technology,speed_02_02,speed_10_1,speed_25_3,speed_100_20,speed_250_25,speed_1000_100
Total,Census Place,1001400,Arden,"Arden, DE",204,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.995098039,0.725490196
Total,Census Place,1001400,Arden,"Arden, DE",204,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.995098039,0.725490196
Total,Census Place,1001400,Arden,"Arden, DE",204,R,All Wired,0.995098039,0.995098039,0.995098039,0.995098039,0.995098039,0.725490196
Total,Census Place,1001400,Arden,"Arden, DE",204,B,All Wired,0.995098039,0.995098039,0.995098039,0.995098039,0.995098039,0.725490196
Total,Census Place,1001400,Arden,"Arden, DE",204,R,Any Terrestrial,0.995098039,0.995098039,0.995098039,0.995098039,0.995098039,0.725490196
Total,Census Place,1001400,Arden,"Arden, DE",204,B,Any Terrestrial,1.000000000,1.000000000,1.000000000,1.000000000,0.995098039,0.725490196
Total,Census Place,1001400,Arden,"Arden, DE",204,R,All Wired and Licensed Fixed Wireless,0.995098039,0.995098039,0.995098039,0.995098039,0.995098039,0.725490196
Total,Census Place,1001400,Arden,"Arden, DE",204,B,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,1.000000000,0.995098039,0.725490196
Total,Census Place,1001400,Arden,"Arden, DE",204,R,Copper,0.000000000,0,0,0,0,0
Total,Census Place,1001400,Arden,"Arden, DE",204,B,Copper,0,0.000000000,0,0,0,0
Total,Census Place,1001400,Arden,"Arden, DE",204,R,Cable/Fiber,0.995098039,0.995098039,0.995098039,0.995098039,0.995098039,0.725490196
Total,Census Place,1001400,Arden,"Arden, DE",204,B,Cable/Fiber,0.995098039,0.995098039,0.995098039,0.995098039,0.995098039,0.725490196
Total,Census Place,1001400,Arden,"Arden, DE",204,R,Cable,0.995098039,0.995098039,0.995098039,0.995098039,0.995098039,0
Total,Census Place,1001400,Arden,"Arden, DE",204,B,Cable,0.995098039,0.995098039,0.995098039,0.995098039,0.995098039,0
Total,Census Place,1001400,Arden,"Arden, DE",204,R,Fiber,0.955882353,0.955882353,0.955882353,0.955882353,0.955882353,0.725490196
