area_data_type,geography_type,geography_id,geography_desc,geography_desc_full,total_units,biz_res,technology,speed_02_02,speed_10_1,speed_25_3,speed_100_20,speed_250_25,speed_1000_100
Total,Census Place,1200075,Acacia Villas,"Acacia Villas, FL",179,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,1200075,Acacia Villas,"Acacia Villas, FL",179,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,1200075,Acacia Villas,"Acacia Villas, FL",179,R,All Wired,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,1200075,Acacia Villas,"Acacia Villas, FL",179,B,All Wired,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,1200075,Acacia Villas,"Acacia Villas, FL",179,R,Any Terrestrial,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,1200075,Acacia Villas,"Acacia Villas, FL",179,B,Any Terrestrial,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,1200075,Acacia Villas,"Acacia Villas, FL",179,R,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,1200075,Acacia Villas,"Acacia Villas, FL",179,B,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,1200075,Acacia Villas,"Acacia Villas, FL",179,R,Copper,0.977653631,0.977653631,0.486033520,0.156424581,0,0.000000000
Total,Census Place,1200075,Acacia Villas,"Acacia Villas, FL",179,B,Copper,0.977653631,0.977653631,0.486033520,0.156424581,0,0.000000000
Total,Census Place,1200075,Acacia Villas,"Acacia Villas, FL",179,R,Cable/Fiber,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,1200075,Acacia Villas,"Acacia Villas, FL",179,B,Cable/Fiber,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,1200075,Acacia Villas,"Acacia Villas, FL",179,R,Cable,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,1200075,Acacia Villas,"Acacia Villas, FL",179,B,Cable,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,1200075,Acacia Villas,"Acacia Villas, FL",179,R,Fiber,0.664804469,0.664804469,0.664804469,0.664804469,0.664804469,0.664804469
Total,Census Place,1200075,Acacia Villas,"Acacia Villas, FL",179,B,Fiber,0.664804469,0.664804469,0.664804469,0.664804469,0.664804469,0.664804469
Total,Census Place,1200075,Acacia Villas,"Acacia Villas, FL",179,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Total,Census Place,1200075,Acacia Villas,"Acacia Villas, FL",179,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Total,Census Place,1200075,Acacia Villas,"Acacia Villas, FL",179,R,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0.000000000
Total,Census Place,1200075,Acacia Villas,"Acacia Villas, FL",179,B,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
