area_data_type,geography_type,geography_id,geography_desc,geography_desc_full,total_units,biz_res,technology,speed_02_02,speed_10_1,speed_25_3,speed_100_20,speed_250_25,speed_1000_100
Total,Census Place,1300184,Abbeville,"Abbeville, GA",526,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.173003802,0.173003802
Total,Census Place,1300184,Abbeville,"Abbeville, GA",526,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.173003802,0.173003802
Total,Census Place,1300184,Abbeville,"Abbeville, GA",526,R,All Wired,0.984790875,0.982889734,0.743346008,0.370722433,0.173003802,0.173003802
Total,Census Place,1300184,Abbeville,"Abbeville, GA",526,B,All Wired,0.984790875,0.982889734,0.743346008,0.370722433,0.173003802,0.173003802
Total,Census Place,1300184,Abbeville,"Abbeville, GA",526,R,Any Terrestrial,0.990494297,0.990494297,0.954372624,0.688212928,0.173003802,0.173003802
Total,Census Place,1300184,Abbeville,"Abbeville, GA",526,B,Any Terrestrial,0.994296578,0.994296578,0.942965779,0.695817490,0.173003802,0.173003802
Total,Census Place,1300184,Abbeville,"Abbeville, GA",526,R,All Wired and Licensed Fixed Wireless,0.990494297,0.990494297,0.954372624,0.688212928,0.173003802,0.173003802
Total,Census Place,1300184,Abbeville,"Abbeville, GA",526,B,All Wired and Licensed Fixed Wireless,0.994296578,0.994296578,0.942965779,0.695817490,0.173003802,0.173003802
Total,Census Place,1300184,Abbeville,"Abbeville, GA",526,R,Copper,0.984790875,0.982889734,0.741444867,0.363117871,0.000000000,0
Total,Census Place,1300184,Abbeville,"Abbeville, GA",526,B,Copper,0.984790875,0.982889734,0.741444867,0.363117871,0,0.000000000
Total,Census Place,1300184,Abbeville,"Abbeville, GA",526,R,Cable/Fiber,0.173003802,0.173003802,0.173003802,0.173003802,0.173003802,0.173003802
Total,Census Place,1300184,Abbeville,"Abbeville, GA",526,B,Cable/Fiber,0.173003802,0.173003802,0.173003802,0.173003802,0.173003802,0.173003802
Total,Census Place,1300184,Abbeville,"Abbeville, GA",526,R,Cable,0,0,0,0,0.000000000,0
Total,Census Place,1300184,Abbeville,"Abbeville, GA",526,B,Cable,0.000000000,0,0,0,0,0
Total,Census Place,1300184,Abbeville,"Abbeville, GA",526,R,Fiber,0.173003802,0.173003802,0.173003802,0.173003802,0.173003802,0.173003802
Total,Census Place,1300184,Abbeville,"Abbeville, GA",526,B,Fiber,0.173003802,0.173003802,0.173003802,0.173003802,0.173003802,0.173003802
Total,Census Place,1300184,Abbeville,"Abbeville, GA",526,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Total,Census Place,1300184,Abbeville,"Abbeville, GA",526,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,1300184,Abbeville,"Abbeville, GA",526,R,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,1300184,Abbeville,"Abbeville, GA",526,B,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0.000000000,0
Total,Census Place,1300184,Abbeville,"Abbeville, GA",526,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,1300184,Abbeville,"Abbeville, GA",526,B,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,1300184,Abbeville,"Abbeville, GA",526,R,All Fixed Wireless,0.802281369,0.792775665,0.792775665,0.587452471,0.000000000,0
Total,Census Place,1300184,Abbeville,"Abbeville, GA",526,B,All Fixed Wireless,0.923954373,0.882129278,0.838403042,0.652091255,0,0
Total,Census Place,1300184,Abbeville,"Abbeville, GA",526,R,Unlicensed Fixed Wireless,0.000000000,0,0,0,0,0
Total,Census Place,1300184,Abbeville,"Abbeville, GA",526,B,Unlicensed Fixed Wireless,0,0,0.000000000,0,0,0
Total,Census Place,1300184,Abbeville,"Abbeville, GA",526,R,Licensed Fixed Wireless,0.802281369,0.792775665,0.792775665,0.587452471,0.000000000,0
Total,Census Place,1300184,Abbeville,"Abbeville, GA",526,B,Licensed Fixed Wireless,0.923954373,0.882129278,0.838403042,0.652091255,0,0.000000000
Total,Census Place,1300184,Abbeville,"Abbeville, GA",526,R,Other,0.000000000,0,0,0,0,0
Total,Census Place,1300184,Abbeville,"Abbeville, GA",526,B,Other,0.000000000,0,0,0,0,0
Total,Census Place,1300408,Acworth,"Acworth, GA",10465,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.997515528,0.937314859
Total,Census Place,1300408,Acworth,"Acworth, GA",10465,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.998088868,0.938079312
Total,Census Place,1300408,Acworth,"Acworth, GA",10465,R,All Wired,0.999044434,0.999044434,0.998853321,0.997515528,0.997515528,0.937314859
Total,Census Place,1300408,Acworth,"Acworth, GA",10465,B,All Wired,0.999044434,0.999044434,0.998853321,0.998088868,0.998088868,0.938079312
Total,Census Place,1300408,Acworth,"Acworth, GA",10465,R,Any Terrestrial,0.999139990,0.999044434,0.998948877,0.997706641,0.997515528,0.937314859
Total,Census Place,1300408,Acworth,"Acworth, GA",10465,B,Any Terrestrial,1.000000000,1.000000000,1.000000000,0.999044434,0.998088868,0.938079312
Total,Census Place,1300408,Acworth,"Acworth, GA",10465,R,All Wired and Licensed Fixed Wireless,0.999139990,0.999044434,0.998948877,0.997706641,0.997515528,0.937314859
Total,Census Place,1300408,Acworth,"Acworth, GA",10465,B,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,0.999044434,0.998088868,0.938079312
Total,Census Place,1300408,Acworth,"Acworth, GA",10465,R,Copper,0.649402771,0.594935499,0.418633540,0.052365026,0,0.000000000
Total,Census Place,1300408,Acworth,"Acworth, GA",10465,B,Copper,0.649402771,0.594935499,0.418633540,0.052365026,0,0
Total,Census Place,1300408,Acworth,"Acworth, GA",10465,R,Cable/Fiber,0.997515528,0.997515528,0.997515528,0.997515528,0.997515528,0.937314859
Total,Census Place,1300408,Acworth,"Acworth, GA",10465,B,Cable/Fiber,0.998088868,0.998088868,0.998088868,0.998088868,0.998088868,0.938079312
Total,Census Place,1300408,Acworth,"Acworth, GA",10465,R,Cable,0.997037745,0.997037745,0.997037745,0.997037745,0.997037745,0.872718586
Total,Census Place,1300408,Acworth,"Acworth, GA",10465,B,Cable,0.997037745,0.997037745,0.997037745,0.997037745,0.997037745,0.872718586
Total,Census Place,1300408,Acworth,"Acworth, GA",10465,R,Fiber,0.485332059,0.485332059,0.485332059,0.485332059,0.485332059,0.485332059
Total,Census Place,1300408,Acworth,"Acworth, GA",10465,B,Fiber,0.519445772,0.519445772,0.519350215,0.519063545,0.517343526,0.499569995
Total,Census Place,1300408,Acworth,"Acworth, GA",10465,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Total,Census Place,1300408,Acworth,"Acworth, GA",10465,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,1300408,Acworth,"Acworth, GA",10465,R,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,1300408,Acworth,"Acworth, GA",10465,B,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0.000000000,0
Total,Census Place,1300408,Acworth,"Acworth, GA",10465,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,1300408,Acworth,"Acworth, GA",10465,B,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000,0
Total,Census Place,1300408,Acworth,"Acworth, GA",10465,R,All Fixed Wireless,0.880076445,0.612804587,0.612804587,0.391208791,0,0
Total,Census Place,1300408,Acworth,"Acworth, GA",10465,B,All Fixed Wireless,0.931103679,0.688294314,0.683707597,0.324510272,0,0
Total,Census Place,1300408,Acworth,"Acworth, GA",10465,R,Unlicensed Fixed Wireless,0,0,0,0,0,0.000000000
Total,Census Place,1300408,Acworth,"Acworth, GA",10465,B,Unlicensed Fixed Wireless,0,0,0,0,0.000000000,0
Total,Census Place,1300408,Acworth,"Acworth, GA",10465,R,Licensed Fixed Wireless,0.880076445,0.612804587,0.612804587,0.391208791,0,0
Total,Census Place,1300408,Acworth,"Acworth, GA",10465,B,Licensed Fixed Wireless,0.931103679,0.688294314,0.683707597,0.324510272,0,0.000000000
Total,Census Place,1300408,Acworth,"Acworth, GA",10465,R,Other,0,0.000000000,0,0,0,0
Total,Census Place,1300408,Acworth,"Acworth, GA",10465,B,Other,0,0,0,0,0,0.000000000
Total,Census Place,1300436,Adairsville,"Adairsville, GA",2646,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.989795918,0.486016629
Total,Census Place,1300436,Adairsville,"Adairsville, GA",2646,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.989795918,0.491307634
Total,Census Place,1300436,Adairsville,"Adairsville, GA",2646,R,All Wired,0.993197279,0.992063492,0.989795918,0.989795918,0.989795918,0.486016629
Total,Census Place,1300436,Adairsville,"Adairsville, GA",2646,B,All Wired,0.994708995,0.993575208,0.991685563,0.990929705,0.989795918,0.491307634
Total,Census Place,1300436,Adairsville,"Adairsville, GA",2646,R,Any Terrestrial,0.993575208,0.992441421,0.992063492,0.990929705,0.989795918,0.486016629
Total,Census Place,1300436,Adairsville,"Adairsville, GA",2646,B,Any Terrestrial,0.999244142,0.999244142,0.999244142,0.994708995,0.989795918,0.491307634
Total,Census Place,1300436,Adairsville,"Adairsville, GA",2646,R,All Wired and Licensed Fixed Wireless,0.993575208,0.992441421,0.992063492,0.990929705,0.989795918,0.486016629
Total,Census Place,1300436,Adairsville,"Adairsville, GA",2646,B,All Wired and Licensed Fixed Wireless,0.999244142,0.999244142,0.999244142,0.994708995,0.989795918,0.491307634
Total,Census Place,1300436,Adairsville,"Adairsville, GA",2646,R,Copper,0.459561602,0.351095994,0,0,0,0.000000000
Total,Census Place,1300436,Adairsville,"Adairsville, GA",2646,B,Copper,0.459561602,0.351095994,0,0,0,0
Total,Census Place,1300436,Adairsville,"Adairsville, GA",2646,R,Cable/Fiber,0.989795918,0.989795918,0.989795918,0.989795918,0.989795918,0.486016629
Total,Census Place,1300436,Adairsville,"Adairsville, GA",2646,B,Cable/Fiber,0.991685563,0.991685563,0.991685563,0.990929705,0.989795918,0.491307634
Total,Census Place,1300436,Adairsville,"Adairsville, GA",2646,R,Cable,0.987528345,0.987528345,0.987528345,0.987528345,0.987528345,0
Total,Census Place,1300436,Adairsville,"Adairsville, GA",2646,B,Cable,0.987528345,0.987528345,0.987528345,0.987528345,0.987528345,0
Total,Census Place,1300436,Adairsville,"Adairsville, GA",2646,R,Fiber,0.486394558,0.486394558,0.486394558,0.486394558,0.486394558,0.486016629
Total,Census Place,1300436,Adairsville,"Adairsville, GA",2646,B,Fiber,0.495842782,0.495842782,0.495842782,0.494708995,0.491685563,0.491307634
Total,Census Place,1300436,Adairsville,"Adairsville, GA",2646,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,1300436,Adairsville,"Adairsville, GA",2646,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,1300436,Adairsville,"Adairsville, GA",2646,R,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0.000000000,0
Total,Census Place,1300436,Adairsville,"Adairsville, GA",2646,B,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0.000000000,0
Total,Census Place,1300436,Adairsville,"Adairsville, GA",2646,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
