area_data_type,geography_type,geography_id,geography_desc,geography_desc_full,total_units,biz_res,technology,speed_02_02,speed_10_1,speed_25_3,speed_100_20,speed_250_25,speed_1000_100
Total,Census Place,1700113,Abingdon,"Abingdon, IL",1640,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.999390244,0.782317073
Total,Census Place,1700113,Abingdon,"Abingdon, IL",1640,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.999390244,0.782317073
Total,Census Place,1700113,Abingdon,"Abingdon, IL",1640,R,All Wired,0.999390244,0.999390244,0.999390244,0.999390244,0.999390244,0.782317073
Total,Census Place,1700113,Abingdon,"Abingdon, IL",1640,B,All Wired,1.000000000,1.000000000,0.999390244,0.999390244,0.999390244,0.782317073
Total,Census Place,1700113,Abingdon,"Abingdon, IL",1640,R,Any Terrestrial,1.000000000,1.000000000,1.000000000,1.000000000,0.999390244,0.782317073
Total,Census Place,1700113,Abingdon,"Abingdon, IL",1640,B,Any Terrestrial,1.000000000,1.000000000,1.000000000,1.000000000,0.999390244,0.782317073
Total,Census Place,1700113,Abingdon,"Abingdon, IL",1640,R,All Wired and Licensed Fixed Wireless,0.999390244,0.999390244,0.999390244,0.999390244,0.999390244,0.782317073
Total,Census Place,1700113,Abingdon,"Abingdon, IL",1640,B,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,1.000000000,0.999390244,0.782317073
Total,Census Place,1700113,Abingdon,"Abingdon, IL",1640,R,Copper,0.781707317,0.781707317,0.183536585,0,0,0
Total,Census Place,1700113,Abingdon,"Abingdon, IL",1640,B,Copper,0.087195122,0.087195122,0.051829268,0,0,0.000000000
Total,Census Place,1700113,Abingdon,"Abingdon, IL",1640,R,Cable/Fiber,0.999390244,0.999390244,0.999390244,0.999390244,0.999390244,0.782317073
Total,Census Place,1700113,Abingdon,"Abingdon, IL",1640,B,Cable/Fiber,0.999390244,0.999390244,0.999390244,0.999390244,0.999390244,0.782317073
Total,Census Place,1700113,Abingdon,"Abingdon, IL",1640,R,Cable,0.999390244,0.999390244,0.999390244,0.999390244,0.999390244,0
Total,Census Place,1700113,Abingdon,"Abingdon, IL",1640,B,Cable,0.999390244,0.999390244,0.999390244,0.999390244,0.999390244,0
Total,Census Place,1700113,Abingdon,"Abingdon, IL",1640,R,Fiber,0.782317073,0.782317073,0.782317073,0.782317073,0.782317073,0.782317073
Total,Census Place,1700113,Abingdon,"Abingdon, IL",1640,B,Fiber,0.782317073,0.782317073,0.782317073,0.782317073,0.782317073,0.782317073
Total,Census Place,1700113,Abingdon,"Abingdon, IL",1640,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000,0
Total,Census Place,1700113,Abingdon,"Abingdon, IL",1640,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,1700113,Abingdon,"Abingdon, IL",1640,R,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0.000000000
Total,Census Place,1700113,Abingdon,"Abingdon, IL",1640,B,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,1700113,Abingdon,"Abingdon, IL",1640,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000,0
Total,Census Place,1700113,Abingdon,"Abingdon, IL",1640,B,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,1700113,Abingdon,"Abingdon, IL",1640,R,All Fixed Wireless,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,1700113,Abingdon,"Abingdon, IL",1640,B,All Fixed Wireless,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,1700113,Abingdon,"Abingdon, IL",1640,R,Unlicensed Fixed Wireless,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Total,Census Place,1700113,Abingdon,"Abingdon, IL",1640,B,Unlicensed Fixed Wireless,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Total,Census Place,1700113,Abingdon,"Abingdon, IL",1640,R,Licensed Fixed Wireless,0.903048780,0.903048780,0.586585366,0.264024390,0,0
Total,Census Place,1700113,Abingdon,"Abingdon, IL",1640,B,Licensed Fixed Wireless,0.220121951,0.220121951,0.218292683,0.026829268,0,0
Total,Census Place,1700113,Abingdon,"Abingdon, IL",1640,R,Other,0,0.000000000,0,0,0,0
Total,Census Place,1700113,Abingdon,"Abingdon, IL",1640,B,Other,0,0,0,0,0,0.000000000
Total,Census Place,1700178,Adair,"Adair, IL",117,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.888888889,0.888888889
Total,Census Place,1700178,Adair,"Adair, IL",117,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.111111111,0.111111111
Total,Census Place,1700178,Adair,"Adair, IL",117,R,All Wired,0.888888889,0.888888889,0.888888889,0.888888889,0.888888889,0.888888889
Total,Census Place,1700178,Adair,"Adair, IL",117,B,All Wired,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111
Total,Census Place,1700178,Adair,"Adair, IL",117,R,Any Terrestrial,1.000000000,1.000000000,1.000000000,0.888888889,0.888888889,0.888888889
Total,Census Place,1700178,Adair,"Adair, IL",117,B,Any Terrestrial,1.000000000,1.000000000,1.000000000,0.111111111,0.111111111,0.111111111
Total,Census Place,1700178,Adair,"Adair, IL",117,R,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,0.888888889,0.888888889,0.888888889
Total,Census Place,1700178,Adair,"Adair, IL",117,B,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,0.111111111,0.111111111,0.111111111
Total,Census Place,1700178,Adair,"Adair, IL",117,R,Copper,0,0.000000000,0,0,0,0
Total,Census Place,1700178,Adair,"Adair, IL",117,B,Copper,0,0,0,0,0,0.000000000
Total,Census Place,1700178,Adair,"Adair, IL",117,R,Cable/Fiber,0.888888889,0.888888889,0.888888889,0.888888889,0.888888889,0.888888889
Total,Census Place,1700178,Adair,"Adair, IL",117,B,Cable/Fiber,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111
Total,Census Place,1700178,Adair,"Adair, IL",117,R,Cable,0,0.000000000,0,0,0,0
Total,Census Place,1700178,Adair,"Adair, IL",117,B,Cable,0,0,0,0,0,0.000000000
Total,Census Place,1700178,Adair,"Adair, IL",117,R,Fiber,0.888888889,0.888888889,0.888888889,0.888888889,0.888888889,0.888888889
Total,Census Place,1700178,Adair,"Adair, IL",117,B,Fiber,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111
Total,Census Place,1700178,Adair,"Adair, IL",117,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000,0
Total,Census Place,1700178,Adair,"Adair, IL",117,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,1700178,Adair,"Adair, IL",117,R,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0.000000000
Total,Census Place,1700178,Adair,"Adair, IL",117,B,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,1700178,Adair,"Adair, IL",117,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,1700178,Adair,"Adair, IL",117,B,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000,0
Total,Census Place,1700178,Adair,"Adair, IL",117,R,All Fixed Wireless,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,1700178,Adair,"Adair, IL",117,B,All Fixed Wireless,1.000000000,1.000000000,1.000000000,0,0,0.000000000
Total,Census Place,1700178,Adair,"Adair, IL",117,R,Unlicensed Fixed Wireless,0,0.000000000,0,0,0,0
Total,Census Place,1700178,Adair,"Adair, IL",117,B,Unlicensed Fixed Wireless,0,0.000000000,0,0,0,0
Total,Census Place,1700178,Adair,"Adair, IL",117,R,Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,1700178,Adair,"Adair, IL",117,B,Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,1700178,Adair,"Adair, IL",117,R,Other,0,0,0,0,0,0.000000000
Total,Census Place,1700178,Adair,"Adair, IL",117,B,Other,0,0.000000000,0,0,0,0
Total,Census Place,1700191,Adams,"Adams, IL",49,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.693877551,0.000000000
Total,Census Place,1700191,Adams,"Adams, IL",49,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.693877551,0
Total,Census Place,1700191,Adams,"Adams, IL",49,R,All Wired,0,0,0.000000000,0,0,0
Total,Census Place,1700191,Adams,"Adams, IL",49,B,All Wired,0,0,0,0,0,0.000000000
Total,Census Place,1700191,Adams,"Adams, IL",49,R,Any Terrestrial,0.959183673,0.938775510,0.857142857,0.816326531,0.693877551,0
Total,Census Place,1700191,Adams,"Adams, IL",49,B,Any Terrestrial,0.938775510,0.897959184,0.897959184,0.816326531,0.693877551,0
Total,Census Place,1700191,Adams,"Adams, IL",49,R,All Wired and Licensed Fixed Wireless,0.816326531,0.653061224,0.530612245,0.020408163,0,0
Total,Census Place,1700191,Adams,"Adams, IL",49,B,All Wired and Licensed Fixed Wireless,0.938775510,0.693877551,0.653061224,0.020408163,0.000000000,0
Total,Census Place,1700191,Adams,"Adams, IL",49,R,Copper,0.000000000,0,0,0,0,0
Total,Census Place,1700191,Adams,"Adams, IL",49,B,Copper,0.000000000,0,0,0,0,0
Total,Census Place,1700191,Adams,"Adams, IL",49,R,Cable/Fiber,0,0.000000000,0,0,0,0
Total,Census Place,1700191,Adams,"Adams, IL",49,B,Cable/Fiber,0,0,0,0,0.000000000,0
Total,Census Place,1700191,Adams,"Adams, IL",49,R,Cable,0.000000000,0,0,0,0,0
Total,Census Place,1700191,Adams,"Adams, IL",49,B,Cable,0,0,0,0,0.000000000,0
Total,Census Place,1700191,Adams,"Adams, IL",49,R,Fiber,0,0,0,0,0.000000000,0
Total,Census Place,1700191,Adams,"Adams, IL",49,B,Fiber,0,0.000000000,0,0,0,0
Total,Census Place,1700191,Adams,"Adams, IL",49,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,1700191,Adams,"Adams, IL",49,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,1700191,Adams,"Adams, IL",49,R,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
