area_data_type,geography_type,geography_id,geography_desc,geography_desc_full,total_units,biz_res,technology,speed_02_02,speed_10_1,speed_25_3,speed_100_20,speed_250_25,speed_1000_100
Total,Census Place,1800140,Aberdeen,"Aberdeen, IN",1006,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.994035785,0.970178926
Total,Census Place,1800140,Aberdeen,"Aberdeen, IN",1006,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.994035785,0.851888668
Total,Census Place,1800140,Aberdeen,"Aberdeen, IN",1006,R,All Wired,0.994035785,0.994035785,0.994035785,0.994035785,0.994035785,0.970178926
Total,Census Place,1800140,Aberdeen,"Aberdeen, IN",1006,B,All Wired,0.994035785,0.994035785,0.994035785,0.994035785,0.994035785,0.851888668
Total,Census Place,1800140,Aberdeen,"Aberdeen, IN",1006,R,Any Terrestrial,1.000000000,1.000000000,1.000000000,0.996023857,0.994035785,0.970178926
Total,Census Place,1800140,Aberdeen,"Aberdeen, IN",1006,B,Any Terrestrial,1.000000000,1.000000000,1.000000000,0.995029821,0.994035785,0.851888668
Total,Census Place,1800140,Aberdeen,"Aberdeen, IN",1006,R,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,0.996023857,0.994035785,0.970178926
Total,Census Place,1800140,Aberdeen,"Aberdeen, IN",1006,B,All Wired and Licensed Fixed Wireless,1.000000000,0.998011928,0.998011928,0.995029821,0.994035785,0.851888668
Total,Census Place,1800140,Aberdeen,"Aberdeen, IN",1006,R,Copper,0.005964215,0.005964215,0,0,0.000000000,0
Total,Census Place,1800140,Aberdeen,"Aberdeen, IN",1006,B,Copper,0,0.000000000,0,0,0,0
Total,Census Place,1800140,Aberdeen,"Aberdeen, IN",1006,R,Cable/Fiber,0.994035785,0.994035785,0.994035785,0.994035785,0.994035785,0.970178926
Total,Census Place,1800140,Aberdeen,"Aberdeen, IN",1006,B,Cable/Fiber,0.994035785,0.994035785,0.994035785,0.994035785,0.994035785,0.851888668
Total,Census Place,1800140,Aberdeen,"Aberdeen, IN",1006,R,Cable,0.994035785,0.994035785,0.994035785,0.994035785,0.994035785,0.851888668
Total,Census Place,1800140,Aberdeen,"Aberdeen, IN",1006,B,Cable,0.994035785,0.994035785,0.994035785,0.994035785,0.994035785,0.851888668
Total,Census Place,1800140,Aberdeen,"Aberdeen, IN",1006,R,Fiber,0.346918489,0.346918489,0.346918489,0.346918489,0.346918489,0.346918489
Total,Census Place,1800140,Aberdeen,"Aberdeen, IN",1006,B,Fiber,0.016898608,0.016898608,0.016898608,0.015904573,0.015904573,0.005964215
Total,Census Place,1800140,Aberdeen,"Aberdeen, IN",1006,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
