area_data_type,geography_type,geography_id,geography_desc,geography_desc_full,total_units,biz_res,technology,speed_02_02,speed_10_1,speed_25_3,speed_100_20,speed_250_25,speed_1000_100
Total,Census Place,1900190,Ackley,"Ackley, IA",939,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.987220447,0.006389776
Total,Census Place,1900190,Ackley,"Ackley, IA",939,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.987220447,0.006389776
Total,Census Place,1900190,Ackley,"Ackley, IA",939,R,All Wired,0.995740149,0.989350373,0.987220447,0.987220447,0.987220447,0.006389776
Total,Census Place,1900190,Ackley,"Ackley, IA",939,B,All Wired,0.995740149,0.989350373,0.987220447,0.987220447,0.987220447,0.006389776
Total,Census Place,1900190,Ackley,"Ackley, IA",939,R,Any Terrestrial,1.000000000,1.000000000,1.000000000,1.000000000,0.987220447,0.006389776
Total,Census Place,1900190,Ackley,"Ackley, IA",939,B,Any Terrestrial,1.000000000,1.000000000,1.000000000,1.000000000,0.987220447,0.006389776
Total,Census Place,1900190,Ackley,"Ackley, IA",939,R,All Wired and Licensed Fixed Wireless,0.995740149,0.994675186,0.993610224,0.993610224,0.987220447,0.006389776
Total,Census Place,1900190,Ackley,"Ackley, IA",939,B,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,0.996805112,0.987220447,0.006389776
Total,Census Place,1900190,Ackley,"Ackley, IA",939,R,Copper,0.864749734,0.824281150,0,0,0,0.000000000
Total,Census Place,1900190,Ackley,"Ackley, IA",939,B,Copper,0.864749734,0.824281150,0,0,0,0.000000000
Total,Census Place,1900190,Ackley,"Ackley, IA",939,R,Cable/Fiber,0.987220447,0.987220447,0.987220447,0.987220447,0.987220447,0.006389776
Total,Census Place,1900190,Ackley,"Ackley, IA",939,B,Cable/Fiber,0.987220447,0.987220447,0.987220447,0.987220447,0.987220447,0.006389776
Total,Census Place,1900190,Ackley,"Ackley, IA",939,R,Cable,0.987220447,0.987220447,0.987220447,0.987220447,0.987220447,0
Total,Census Place,1900190,Ackley,"Ackley, IA",939,B,Cable,0.987220447,0.987220447,0.987220447,0.987220447,0.987220447,0
Total,Census Place,1900190,Ackley,"Ackley, IA",939,R,Fiber,0.006389776,0.006389776,0.006389776,0.006389776,0.006389776,0.006389776
Total,Census Place,1900190,Ackley,"Ackley, IA",939,B,Fiber,0.006389776,0.006389776,0.006389776,0.006389776,0.006389776,0.006389776
Total,Census Place,1900190,Ackley,"Ackley, IA",939,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,1900190,Ackley,"Ackley, IA",939,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,1900190,Ackley,"Ackley, IA",939,R,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0.000000000,0
Total,Census Place,1900190,Ackley,"Ackley, IA",939,B,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,1900190,Ackley,"Ackley, IA",939,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,1900190,Ackley,"Ackley, IA",939,B,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,1900190,Ackley,"Ackley, IA",939,R,All Fixed Wireless,1.000000000,1.000000000,1.000000000,1.000000000,0.405750799,0
Total,Census Place,1900190,Ackley,"Ackley, IA",939,B,All Fixed Wireless,1.000000000,1.000000000,1.000000000,1.000000000,0.405750799,0
Total,Census Place,1900190,Ackley,"Ackley, IA",939,R,Unlicensed Fixed Wireless,0.997870075,0.997870075,0.997870075,0.584664537,0.000000000,0
Total,Census Place,1900190,Ackley,"Ackley, IA",939,B,Unlicensed Fixed Wireless,0.997870075,0.997870075,0.997870075,0.582534611,0,0
Total,Census Place,1900190,Ackley,"Ackley, IA",939,R,Licensed Fixed Wireless,0.897763578,0.897763578,0.897763578,0.888178914,0.405750799,0
Total,Census Place,1900190,Ackley,"Ackley, IA",939,B,Licensed Fixed Wireless,0.987220447,0.987220447,0.987220447,0.971246006,0.405750799,0.000000000
Total,Census Place,1900190,Ackley,"Ackley, IA",939,R,Other,0,0,0,0,0.000000000,0
Total,Census Place,1900190,Ackley,"Ackley, IA",939,B,Other,0.000000000,0,0,0,0,0
Total,Census Place,1900235,Ackworth,"Ackworth, IA",54,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0
Total,Census Place,1900235,Ackworth,"Ackworth, IA",54,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000
Total,Census Place,1900235,Ackworth,"Ackworth, IA",54,R,All Wired,0.981481481,0.981481481,0.981481481,0.833333333,0.833333333,0.000000000
Total,Census Place,1900235,Ackworth,"Ackworth, IA",54,B,All Wired,0.981481481,0.981481481,0.981481481,0.833333333,0.833333333,0
Total,Census Place,1900235,Ackworth,"Ackworth, IA",54,R,Any Terrestrial,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000
Total,Census Place,1900235,Ackworth,"Ackworth, IA",54,B,Any Terrestrial,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0
Total,Census Place,1900235,Ackworth,"Ackworth, IA",54,R,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,0.981481481,0.833333333,0.833333333,0
Total,Census Place,1900235,Ackworth,"Ackworth, IA",54,B,All Wired and Licensed Fixed Wireless,0.981481481,0.981481481,0.981481481,0.833333333,0.833333333,0
Total,Census Place,1900235,Ackworth,"Ackworth, IA",54,R,Copper,0.925925926,0.925925926,0.370370370,0,0,0
Total,Census Place,1900235,Ackworth,"Ackworth, IA",54,B,Copper,0.925925926,0.925925926,0.370370370,0,0.000000000,0
Total,Census Place,1900235,Ackworth,"Ackworth, IA",54,R,Cable/Fiber,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0
Total,Census Place,1900235,Ackworth,"Ackworth, IA",54,B,Cable/Fiber,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0
Total,Census Place,1900235,Ackworth,"Ackworth, IA",54,R,Cable,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0
Total,Census Place,1900235,Ackworth,"Ackworth, IA",54,B,Cable,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.000000000
