area_data_type,geography_type,geography_id,geography_desc,geography_desc_full,total_units,biz_res,technology,speed_02_02,speed_10_1,speed_25_3,speed_100_20,speed_250_25,speed_1000_100
Total,Census Place,2000100,Abbyville,"Abbyville, KS",70,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,2000100,Abbyville,"Abbyville, KS",70,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,2000100,Abbyville,"Abbyville, KS",70,R,All Wired,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,2000100,Abbyville,"Abbyville, KS",70,B,All Wired,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,2000100,Abbyville,"Abbyville, KS",70,R,Any Terrestrial,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,2000100,Abbyville,"Abbyville, KS",70,B,Any Terrestrial,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,2000100,Abbyville,"Abbyville, KS",70,R,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,2000100,Abbyville,"Abbyville, KS",70,B,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,2000100,Abbyville,"Abbyville, KS",70,R,Copper,0.571428571,0,0.000000000,0,0,0
Total,Census Place,2000100,Abbyville,"Abbyville, KS",70,B,Copper,0.571428571,0,0.000000000,0,0,0
Total,Census Place,2000100,Abbyville,"Abbyville, KS",70,R,Cable/Fiber,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,2000100,Abbyville,"Abbyville, KS",70,B,Cable/Fiber,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,2000100,Abbyville,"Abbyville, KS",70,R,Cable,0.000000000,0,0,0,0,0
Total,Census Place,2000100,Abbyville,"Abbyville, KS",70,B,Cable,0.000000000,0,0,0,0,0
Total,Census Place,2000100,Abbyville,"Abbyville, KS",70,R,Fiber,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,2000100,Abbyville,"Abbyville, KS",70,B,Fiber,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,2000100,Abbyville,"Abbyville, KS",70,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
