area_data_type,geography_type,geography_id,geography_desc,geography_desc_full,total_units,biz_res,technology,speed_02_02,speed_10_1,speed_25_3,speed_100_20,speed_250_25,speed_1000_100
Total,Census Place,2200100,Abbeville,"Abbeville, LA",5915,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.930177515,0.757396450
Total,Census Place,2200100,Abbeville,"Abbeville, LA",5915,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.481656805,0.456635672
Total,Census Place,2200100,Abbeville,"Abbeville, LA",5915,R,All Wired,0.977007608,0.965849535,0.945224007,0.930177515,0.930177515,0.757396450
Total,Census Place,2200100,Abbeville,"Abbeville, LA",5915,B,All Wired,0.874894336,0.706677937,0.500929839,0.481656805,0.481656805,0.456635672
Total,Census Place,2200100,Abbeville,"Abbeville, LA",5915,R,Any Terrestrial,1.000000000,1.000000000,1.000000000,0.951817413,0.930177515,0.757396450
Total,Census Place,2200100,Abbeville,"Abbeville, LA",5915,B,Any Terrestrial,1.000000000,1.000000000,1.000000000,0.545731192,0.481656805,0.456635672
Total,Census Place,2200100,Abbeville,"Abbeville, LA",5915,R,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,0.951817413,0.930177515,0.757396450
Total,Census Place,2200100,Abbeville,"Abbeville, LA",5915,B,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,0.545731192,0.481656805,0.456635672
Total,Census Place,2200100,Abbeville,"Abbeville, LA",5915,R,Copper,0.814877430,0.559932375,0.171259510,0,0,0
Total,Census Place,2200100,Abbeville,"Abbeville, LA",5915,B,Copper,0.814877430,0.559932375,0.171259510,0,0,0
Total,Census Place,2200100,Abbeville,"Abbeville, LA",5915,R,Cable/Fiber,0.930177515,0.930177515,0.930177515,0.930177515,0.930177515,0.757396450
Total,Census Place,2200100,Abbeville,"Abbeville, LA",5915,B,Cable/Fiber,0.481656805,0.481656805,0.481656805,0.481656805,0.481656805,0.456635672
Total,Census Place,2200100,Abbeville,"Abbeville, LA",5915,R,Cable,0.885883347,0.885883347,0.885883347,0.885883347,0.885883347,0.475908707
Total,Census Place,2200100,Abbeville,"Abbeville, LA",5915,B,Cable,0.231952663,0.231952663,0.231952663,0.231952663,0.231952663,0.141842773
Total,Census Place,2200100,Abbeville,"Abbeville, LA",5915,R,Fiber,0.419611158,0.419611158,0.419611158,0.419611158,0.419611158,0.419611158
Total,Census Place,2200100,Abbeville,"Abbeville, LA",5915,B,Fiber,0.361284869,0.361284869,0.361284869,0.361284869,0.361284869,0.361284869
Total,Census Place,2200100,Abbeville,"Abbeville, LA",5915,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000,0
Total,Census Place,2200100,Abbeville,"Abbeville, LA",5915,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,2200100,Abbeville,"Abbeville, LA",5915,R,GSO Satellite,1.000000000,1.000000000,1.000000000,0.000000000,0,0
Total,Census Place,2200100,Abbeville,"Abbeville, LA",5915,B,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0.000000000,0
Total,Census Place,2200100,Abbeville,"Abbeville, LA",5915,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000,0
Total,Census Place,2200100,Abbeville,"Abbeville, LA",5915,B,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,2200100,Abbeville,"Abbeville, LA",5915,R,All Fixed Wireless,1.000000000,1.000000000,1.000000000,0.497379544,0,0
Total,Census Place,2200100,Abbeville,"Abbeville, LA",5915,B,All Fixed Wireless,1.000000000,1.000000000,1.000000000,0.166018597,0,0.000000000
Total,Census Place,2200100,Abbeville,"Abbeville, LA",5915,R,Unlicensed Fixed Wireless,0.070836855,0.070836855,0.070836855,0,0,0
Total,Census Place,2200100,Abbeville,"Abbeville, LA",5915,B,Unlicensed Fixed Wireless,0.070836855,0.070836855,0.070836855,0,0,0
Total,Census Place,2200100,Abbeville,"Abbeville, LA",5915,R,Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,0.497379544,0,0
Total,Census Place,2200100,Abbeville,"Abbeville, LA",5915,B,Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,0.166018597,0,0
Total,Census Place,2200100,Abbeville,"Abbeville, LA",5915,R,Other,0,0,0,0,0.000000000,0
Total,Census Place,2200100,Abbeville,"Abbeville, LA",5915,B,Other,0,0,0,0,0,0.000000000
Total,Census Place,2200240,Abita Springs,"Abita Springs, LA",1332,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.921921922,0.525525526
Total,Census Place,2200240,Abita Springs,"Abita Springs, LA",1332,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.581831832,0.527777778
Total,Census Place,2200240,Abita Springs,"Abita Springs, LA",1332,R,All Wired,0.969219219,0.967717718,0.958708709,0.936936937,0.921921922,0.525525526
Total,Census Place,2200240,Abita Springs,"Abita Springs, LA",1332,B,All Wired,0.897147147,0.894894895,0.849099099,0.608108108,0.581831832,0.527777778
Total,Census Place,2200240,Abita Springs,"Abita Springs, LA",1332,R,Any Terrestrial,0.975225225,0.972222222,0.968468468,0.964714715,0.921921922,0.525525526
Total,Census Place,2200240,Abita Springs,"Abita Springs, LA",1332,B,Any Terrestrial,0.981981982,0.942192192,0.921171171,0.665915916,0.581831832,0.527777778
