area_data_type,geography_type,geography_id,geography_desc,geography_desc_full,total_units,biz_res,technology,speed_02_02,speed_10_1,speed_25_3,speed_100_20,speed_250_25,speed_1000_100
Total,Census Place,2500135,Abington,"Abington, MA",7345,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.997277059,0.066712049
Total,Census Place,2500135,Abington,"Abington, MA",7345,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.997277059,0.066712049
Total,Census Place,2500135,Abington,"Abington, MA",7345,R,All Wired,0.997277059,0.997277059,0.997277059,0.997277059,0.997277059,0.066712049
Total,Census Place,2500135,Abington,"Abington, MA",7345,B,All Wired,0.997277059,0.997277059,0.997277059,0.997277059,0.997277059,0.066712049
Total,Census Place,2500135,Abington,"Abington, MA",7345,R,Any Terrestrial,0.999046971,0.999046971,0.999046971,0.998910824,0.997277059,0.066712049
Total,Census Place,2500135,Abington,"Abington, MA",7345,B,Any Terrestrial,1.000000000,1.000000000,1.000000000,0.998910824,0.997277059,0.066712049
Total,Census Place,2500135,Abington,"Abington, MA",7345,R,All Wired and Licensed Fixed Wireless,0.999046971,0.999046971,0.999046971,0.998910824,0.997277059,0.066712049
Total,Census Place,2500135,Abington,"Abington, MA",7345,B,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,0.998910824,0.997277059,0.066712049
Total,Census Place,2500135,Abington,"Abington, MA",7345,R,Copper,0,0,0,0,0.000000000,0
Total,Census Place,2500135,Abington,"Abington, MA",7345,B,Copper,0,0,0,0,0,0.000000000
Total,Census Place,2500135,Abington,"Abington, MA",7345,R,Cable/Fiber,0.997277059,0.997277059,0.997277059,0.997277059,0.997277059,0.066712049
Total,Census Place,2500135,Abington,"Abington, MA",7345,B,Cable/Fiber,0.997277059,0.997277059,0.997277059,0.997277059,0.997277059,0.066712049
Total,Census Place,2500135,Abington,"Abington, MA",7345,R,Cable,0.995098707,0.995098707,0.995098707,0.995098707,0.995098707,0.066712049
Total,Census Place,2500135,Abington,"Abington, MA",7345,B,Cable,0.995098707,0.995098707,0.995098707,0.995098707,0.995098707,0.066712049
Total,Census Place,2500135,Abington,"Abington, MA",7345,R,Fiber,0.879646018,0.879646018,0.879646018,0.878829135,0.878829135,0
Total,Census Place,2500135,Abington,"Abington, MA",7345,B,Fiber,0.879646018,0.879646018,0.879646018,0.878829135,0.878829135,0
Total,Census Place,2500135,Abington,"Abington, MA",7345,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,2500135,Abington,"Abington, MA",7345,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,2500135,Abington,"Abington, MA",7345,R,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0.000000000,0
Total,Census Place,2500135,Abington,"Abington, MA",7345,B,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0.000000000
Total,Census Place,2500135,Abington,"Abington, MA",7345,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Total,Census Place,2500135,Abington,"Abington, MA",7345,B,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000,0
Total,Census Place,2500135,Abington,"Abington, MA",7345,R,All Fixed Wireless,0.882777400,0.646289993,0.646289993,0.303607897,0.000000000,0
Total,Census Place,2500135,Abington,"Abington, MA",7345,B,All Fixed Wireless,0.959292035,0.721987747,0.721987747,0.290673928,0.000000000,0
Total,Census Place,2500135,Abington,"Abington, MA",7345,R,Unlicensed Fixed Wireless,0,0,0,0,0.000000000,0
Total,Census Place,2500135,Abington,"Abington, MA",7345,B,Unlicensed Fixed Wireless,0,0,0,0,0.000000000,0
Total,Census Place,2500135,Abington,"Abington, MA",7345,R,Licensed Fixed Wireless,0.882777400,0.646289993,0.646289993,0.303607897,0.000000000,0
Total,Census Place,2500135,Abington,"Abington, MA",7345,B,Licensed Fixed Wireless,0.959292035,0.721987747,0.721987747,0.290673928,0,0
Total,Census Place,2500135,Abington,"Abington, MA",7345,R,Other,0,0,0,0,0,0.000000000
Total,Census Place,2500135,Abington,"Abington, MA",7345,B,Other,0.000000000,0,0,0,0,0
Total,Census Place,2500530,Acushnet Center,"Acushnet Center, MA",1442,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.364077670
Total,Census Place,2500530,Acushnet Center,"Acushnet Center, MA",1442,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.364077670
Total,Census Place,2500530,Acushnet Center,"Acushnet Center, MA",1442,R,All Wired,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.364077670
Total,Census Place,2500530,Acushnet Center,"Acushnet Center, MA",1442,B,All Wired,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.364077670
Total,Census Place,2500530,Acushnet Center,"Acushnet Center, MA",1442,R,Any Terrestrial,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.364077670
Total,Census Place,2500530,Acushnet Center,"Acushnet Center, MA",1442,B,Any Terrestrial,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.364077670
Total,Census Place,2500530,Acushnet Center,"Acushnet Center, MA",1442,R,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.364077670
Total,Census Place,2500530,Acushnet Center,"Acushnet Center, MA",1442,B,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.364077670
Total,Census Place,2500530,Acushnet Center,"Acushnet Center, MA",1442,R,Copper,0.000000000,0,0,0,0,0
Total,Census Place,2500530,Acushnet Center,"Acushnet Center, MA",1442,B,Copper,0,0,0.000000000,0,0,0
Total,Census Place,2500530,Acushnet Center,"Acushnet Center, MA",1442,R,Cable/Fiber,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.364077670
Total,Census Place,2500530,Acushnet Center,"Acushnet Center, MA",1442,B,Cable/Fiber,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.364077670
Total,Census Place,2500530,Acushnet Center,"Acushnet Center, MA",1442,R,Cable,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.364077670
Total,Census Place,2500530,Acushnet Center,"Acushnet Center, MA",1442,B,Cable,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.364077670
Total,Census Place,2500530,Acushnet Center,"Acushnet Center, MA",1442,R,Fiber,0.026352288,0.026352288,0.026352288,0.026352288,0.026352288,0
Total,Census Place,2500530,Acushnet Center,"Acushnet Center, MA",1442,B,Fiber,0.030513176,0.030513176,0.030513176,0.030513176,0.030513176,0
Total,Census Place,2500530,Acushnet Center,"Acushnet Center, MA",1442,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,2500530,Acushnet Center,"Acushnet Center, MA",1442,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000,0
Total,Census Place,2500530,Acushnet Center,"Acushnet Center, MA",1442,R,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0.000000000,0
Total,Census Place,2500530,Acushnet Center,"Acushnet Center, MA",1442,B,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,2500530,Acushnet Center,"Acushnet Center, MA",1442,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,2500530,Acushnet Center,"Acushnet Center, MA",1442,B,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000,0
Total,Census Place,2500530,Acushnet Center,"Acushnet Center, MA",1442,R,All Fixed Wireless,0.961165049,0.627600555,0.627600555,0.505547850,0.000000000,0
Total,Census Place,2500530,Acushnet Center,"Acushnet Center, MA",1442,B,All Fixed Wireless,0.993758669,0.636615811,0.634535368,0.073509015,0,0.000000000
Total,Census Place,2500530,Acushnet Center,"Acushnet Center, MA",1442,R,Unlicensed Fixed Wireless,0,0.000000000,0,0,0,0
Total,Census Place,2500530,Acushnet Center,"Acushnet Center, MA",1442,B,Unlicensed Fixed Wireless,0,0,0.000000000,0,0,0
Total,Census Place,2500530,Acushnet Center,"Acushnet Center, MA",1442,R,Licensed Fixed Wireless,0.961165049,0.627600555,0.627600555,0.505547850,0,0
Total,Census Place,2500530,Acushnet Center,"Acushnet Center, MA",1442,B,Licensed Fixed Wireless,0.993758669,0.636615811,0.634535368,0.073509015,0,0.000000000
Total,Census Place,2500530,Acushnet Center,"Acushnet Center, MA",1442,R,Other,0,0,0.000000000,0,0,0
Total,Census Place,2500530,Acushnet Center,"Acushnet Center, MA",1442,B,Other,0.000000000,0,0,0,0,0
Total,Census Place,2500590,Adams,"Adams, MA",3433,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.928925138,0.000291290
Total,Census Place,2500590,Adams,"Adams, MA",3433,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.192542965,0.001747742
Total,Census Place,2500590,Adams,"Adams, MA",3433,R,All Wired,0.928925138,0.928925138,0.928925138,0.928925138,0.928925138,0.000291290
Total,Census Place,2500590,Adams,"Adams, MA",3433,B,All Wired,0.192542965,0.192542965,0.192542965,0.192542965,0.192542965,0.001747742
Total,Census Place,2500590,Adams,"Adams, MA",3433,R,Any Terrestrial,0.951937081,0.928925138,0.928925138,0.928925138,0.928925138,0.000291290
Total,Census Place,2500590,Adams,"Adams, MA",3433,B,Any Terrestrial,0.981357413,0.373434314,0.309933003,0.204777163,0.192542965,0.001747742
Total,Census Place,2500590,Adams,"Adams, MA",3433,R,All Wired and Licensed Fixed Wireless,0.951937081,0.928925138,0.928925138,0.928925138,0.928925138,0.000291290
Total,Census Place,2500590,Adams,"Adams, MA",3433,B,All Wired and Licensed Fixed Wireless,0.981357413,0.373434314,0.309933003,0.204777163,0.192542965,0.001747742
Total,Census Place,2500590,Adams,"Adams, MA",3433,R,Copper,0,0,0,0,0,0.000000000
Total,Census Place,2500590,Adams,"Adams, MA",3433,B,Copper,0.000873871,0.000873871,0.000873871,0.000873871,0,0
Total,Census Place,2500590,Adams,"Adams, MA",3433,R,Cable/Fiber,0.928925138,0.928925138,0.928925138,0.928925138,0.928925138,0.000291290
Total,Census Place,2500590,Adams,"Adams, MA",3433,B,Cable/Fiber,0.192542965,0.192542965,0.192542965,0.192542965,0.192542965,0.001747742
Total,Census Place,2500590,Adams,"Adams, MA",3433,R,Cable,0.928925138,0.928925138,0.928925138,0.928925138,0.928925138,0.000291290
Total,Census Place,2500590,Adams,"Adams, MA",3433,B,Cable,0.174482960,0.174482960,0.174482960,0.174482960,0.174482960,0.000582581
Total,Census Place,2500590,Adams,"Adams, MA",3433,R,Fiber,0,0,0,0,0,0.000000000
Total,Census Place,2500590,Adams,"Adams, MA",3433,B,Fiber,0.034954850,0.034954850,0.034954850,0.034954850,0.034954850,0.001165162
Total,Census Place,2500590,Adams,"Adams, MA",3433,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,2500590,Adams,"Adams, MA",3433,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,2500590,Adams,"Adams, MA",3433,R,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,2500590,Adams,"Adams, MA",3433,B,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,2500590,Adams,"Adams, MA",3433,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000,0
Total,Census Place,2500590,Adams,"Adams, MA",3433,B,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,2500590,Adams,"Adams, MA",3433,R,All Fixed Wireless,0.916399650,0.099621322,0.099621322,0.032915817,0,0.000000000
Total,Census Place,2500590,Adams,"Adams, MA",3433,B,All Fixed Wireless,0.979027090,0.338188174,0.263326537,0.012234197,0,0
Total,Census Place,2500590,Adams,"Adams, MA",3433,R,Unlicensed Fixed Wireless,0,0,0,0,0.000000000,0
Total,Census Place,2500590,Adams,"Adams, MA",3433,B,Unlicensed Fixed Wireless,0,0,0,0,0.000000000,0
Total,Census Place,2500590,Adams,"Adams, MA",3433,R,Licensed Fixed Wireless,0.916399650,0.099621322,0.099621322,0.032915817,0.000000000,0
Total,Census Place,2500590,Adams,"Adams, MA",3433,B,Licensed Fixed Wireless,0.979027090,0.338188174,0.263326537,0.012234197,0,0
Total,Census Place,2500590,Adams,"Adams, MA",3433,R,Other,0,0,0,0.000000000,0,0
Total,Census Place,2500590,Adams,"Adams, MA",3433,B,Other,0.000000000,0,0,0,0,0
Total,Census Place,2500840,Agawam Town,"Agawam Town, MA",13808,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.993626883,0.993554461
Total,Census Place,2500840,Agawam Town,"Agawam Town, MA",13808,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.993626883,0.993554461
Total,Census Place,2500840,Agawam Town,"Agawam Town, MA",13808,R,All Wired,0.993626883,0.993626883,0.993626883,0.993626883,0.993626883,0.993554461
Total,Census Place,2500840,Agawam Town,"Agawam Town, MA",13808,B,All Wired,0.993626883,0.993626883,0.993626883,0.993626883,0.993626883,0.993554461
Total,Census Place,2500840,Agawam Town,"Agawam Town, MA",13808,R,Any Terrestrial,0.995075319,0.995075319,0.995075319,0.994785632,0.993626883,0.993554461
Total,Census Place,2500840,Agawam Town,"Agawam Town, MA",13808,B,Any Terrestrial,0.999782735,0.999782735,0.999782735,0.993988992,0.993626883,0.993554461
