area_data_type,geography_type,geography_id,geography_desc,geography_desc_full,total_units,biz_res,technology,speed_02_02,speed_10_1,speed_25_3,speed_100_20,speed_250_25,speed_1000_100
Total,Census Place,2400125,Aberdeen,"Aberdeen, MD",7846,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.997068570,0.278485853
Total,Census Place,2400125,Aberdeen,"Aberdeen, MD",7846,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.997068570,0.278995667
Total,Census Place,2400125,Aberdeen,"Aberdeen, MD",7846,R,All Wired,0.997068570,0.997068570,0.997068570,0.997068570,0.997068570,0.278485853
Total,Census Place,2400125,Aberdeen,"Aberdeen, MD",7846,B,All Wired,0.997196023,0.997196023,0.997196023,0.997196023,0.997068570,0.278995667
Total,Census Place,2400125,Aberdeen,"Aberdeen, MD",7846,R,Any Terrestrial,0.997323477,0.997323477,0.997323477,0.997196023,0.997068570,0.278485853
Total,Census Place,2400125,Aberdeen,"Aberdeen, MD",7846,B,Any Terrestrial,0.999490186,0.999490186,0.999490186,0.997705837,0.997068570,0.278995667
Total,Census Place,2400125,Aberdeen,"Aberdeen, MD",7846,R,All Wired and Licensed Fixed Wireless,0.997323477,0.997323477,0.997323477,0.997196023,0.997068570,0.278485853
Total,Census Place,2400125,Aberdeen,"Aberdeen, MD",7846,B,All Wired and Licensed Fixed Wireless,0.999490186,0.999490186,0.999490186,0.997705837,0.997068570,0.278995667
Total,Census Place,2400125,Aberdeen,"Aberdeen, MD",7846,R,Copper,0,0,0,0,0.000000000,0
Total,Census Place,2400125,Aberdeen,"Aberdeen, MD",7846,B,Copper,0,0.000000000,0,0,0,0
Total,Census Place,2400125,Aberdeen,"Aberdeen, MD",7846,R,Cable/Fiber,0.997068570,0.997068570,0.997068570,0.997068570,0.997068570,0.278485853
Total,Census Place,2400125,Aberdeen,"Aberdeen, MD",7846,B,Cable/Fiber,0.997196023,0.997196023,0.997196023,0.997196023,0.997068570,0.278995667
Total,Census Place,2400125,Aberdeen,"Aberdeen, MD",7846,R,Cable,0.988019373,0.988019373,0.988019373,0.988019373,0.988019373,0.278485853
Total,Census Place,2400125,Aberdeen,"Aberdeen, MD",7846,B,Cable,0.988019373,0.988019373,0.988019373,0.988019373,0.988019373,0.278485853
