area_data_type,geography_type,geography_id,geography_desc,geography_desc_full,total_units,biz_res,technology,speed_02_02,speed_10_1,speed_25_3,speed_100_20,speed_250_25,speed_1000_100
Total,Census Place,2600380,Addison,"Addison, MI",290,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.975862069,0.765517241
Total,Census Place,2600380,Addison,"Addison, MI",290,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.972413793,0.058620690
Total,Census Place,2600380,Addison,"Addison, MI",290,R,All Wired,0.979310345,0.979310345,0.975862069,0.975862069,0.975862069,0.765517241
Total,Census Place,2600380,Addison,"Addison, MI",290,B,All Wired,0.972413793,0.972413793,0.972413793,0.972413793,0.972413793,0.058620690
Total,Census Place,2600380,Addison,"Addison, MI",290,R,Any Terrestrial,1.000000000,1.000000000,1.000000000,0.982758621,0.975862069,0.765517241
Total,Census Place,2600380,Addison,"Addison, MI",290,B,Any Terrestrial,1.000000000,1.000000000,1.000000000,0.996551724,0.972413793,0.058620690
Total,Census Place,2600380,Addison,"Addison, MI",290,R,All Wired and Licensed Fixed Wireless,0.982758621,0.982758621,0.982758621,0.982758621,0.975862069,0.765517241
Total,Census Place,2600380,Addison,"Addison, MI",290,B,All Wired and Licensed Fixed Wireless,0.996551724,0.996551724,0.996551724,0.996551724,0.972413793,0.058620690
Total,Census Place,2600380,Addison,"Addison, MI",290,R,Copper,0.134482759,0.134482759,0.000000000,0,0,0
Total,Census Place,2600380,Addison,"Addison, MI",290,B,Copper,0.003448276,0.003448276,0,0.000000000,0,0
Total,Census Place,2600380,Addison,"Addison, MI",290,R,Cable/Fiber,0.975862069,0.975862069,0.975862069,0.975862069,0.975862069,0.765517241
Total,Census Place,2600380,Addison,"Addison, MI",290,B,Cable/Fiber,0.972413793,0.972413793,0.972413793,0.972413793,0.972413793,0.058620690
Total,Census Place,2600380,Addison,"Addison, MI",290,R,Cable,0.972413793,0.972413793,0.972413793,0.972413793,0.972413793,0
Total,Census Place,2600380,Addison,"Addison, MI",290,B,Cable,0.972413793,0.972413793,0.972413793,0.972413793,0.972413793,0.000000000
Total,Census Place,2600380,Addison,"Addison, MI",290,R,Fiber,0.765517241,0.765517241,0.765517241,0.765517241,0.765517241,0.765517241
Total,Census Place,2600380,Addison,"Addison, MI",290,B,Fiber,0.058620690,0.058620690,0.058620690,0.058620690,0.058620690,0.058620690
Total,Census Place,2600380,Addison,"Addison, MI",290,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
