area_data_type,geography_type,geography_id,geography_desc,geography_desc_full,total_units,biz_res,technology,speed_02_02,speed_10_1,speed_25_3,speed_100_20,speed_250_25,speed_1000_100
Total,Census Place,2700172,Ada,"Ada, MN",1054,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.243833017,0.243833017
Total,Census Place,2700172,Ada,"Ada, MN",1054,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.243833017,0.243833017
Total,Census Place,2700172,Ada,"Ada, MN",1054,R,All Wired,1.000000000,1.000000000,0.997153700,0.243833017,0.243833017,0.243833017
Total,Census Place,2700172,Ada,"Ada, MN",1054,B,All Wired,1.000000000,1.000000000,0.997153700,0.243833017,0.243833017,0.243833017
Total,Census Place,2700172,Ada,"Ada, MN",1054,R,Any Terrestrial,1.000000000,1.000000000,0.999051233,0.948766603,0.243833017,0.243833017
Total,Census Place,2700172,Ada,"Ada, MN",1054,B,Any Terrestrial,1.000000000,1.000000000,1.000000000,0.964895636,0.243833017,0.243833017
Total,Census Place,2700172,Ada,"Ada, MN",1054,R,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,0.999051233,0.948766603,0.243833017,0.243833017
Total,Census Place,2700172,Ada,"Ada, MN",1054,B,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,0.964895636,0.243833017,0.243833017
Total,Census Place,2700172,Ada,"Ada, MN",1054,R,Copper,0.999051233,0.999051233,0.986717268,0,0,0.000000000
Total,Census Place,2700172,Ada,"Ada, MN",1054,B,Copper,0.999051233,0.999051233,0.986717268,0,0,0.000000000
Total,Census Place,2700172,Ada,"Ada, MN",1054,R,Cable/Fiber,0.243833017,0.243833017,0.243833017,0.243833017,0.243833017,0.243833017
Total,Census Place,2700172,Ada,"Ada, MN",1054,B,Cable/Fiber,0.243833017,0.243833017,0.243833017,0.243833017,0.243833017,0.243833017
Total,Census Place,2700172,Ada,"Ada, MN",1054,R,Cable,0,0.000000000,0,0,0,0
Total,Census Place,2700172,Ada,"Ada, MN",1054,B,Cable,0.000000000,0,0,0,0,0
Total,Census Place,2700172,Ada,"Ada, MN",1054,R,Fiber,0.243833017,0.243833017,0.243833017,0.243833017,0.243833017,0.243833017
Total,Census Place,2700172,Ada,"Ada, MN",1054,B,Fiber,0.243833017,0.243833017,0.243833017,0.243833017,0.243833017,0.243833017
Total,Census Place,2700172,Ada,"Ada, MN",1054,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Total,Census Place,2700172,Ada,"Ada, MN",1054,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Total,Census Place,2700172,Ada,"Ada, MN",1054,R,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0.000000000
Total,Census Place,2700172,Ada,"Ada, MN",1054,B,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,2700172,Ada,"Ada, MN",1054,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Total,Census Place,2700172,Ada,"Ada, MN",1054,B,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Total,Census Place,2700172,Ada,"Ada, MN",1054,R,All Fixed Wireless,0.893738140,0.893738140,0.893738140,0.893738140,0,0
Total,Census Place,2700172,Ada,"Ada, MN",1054,B,All Fixed Wireless,0.962049336,0.962049336,0.962049336,0.948766603,0,0
Total,Census Place,2700172,Ada,"Ada, MN",1054,R,Unlicensed Fixed Wireless,0,0.000000000,0,0,0,0
Total,Census Place,2700172,Ada,"Ada, MN",1054,B,Unlicensed Fixed Wireless,0.000000000,0,0,0,0,0
Total,Census Place,2700172,Ada,"Ada, MN",1054,R,Licensed Fixed Wireless,0.893738140,0.893738140,0.893738140,0.893738140,0,0
Total,Census Place,2700172,Ada,"Ada, MN",1054,B,Licensed Fixed Wireless,0.962049336,0.962049336,0.962049336,0.948766603,0,0
Total,Census Place,2700172,Ada,"Ada, MN",1054,R,Other,0,0,0,0,0.000000000,0
Total,Census Place,2700172,Ada,"Ada, MN",1054,B,Other,0.000000000,0,0,0,0,0
Total,Census Place,2700190,Adams,"Adams, MN",380,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.931578947
Total,Census Place,2700190,Adams,"Adams, MN",380,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.931578947
Total,Census Place,2700190,Adams,"Adams, MN",380,R,All Wired,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.931578947
Total,Census Place,2700190,Adams,"Adams, MN",380,B,All Wired,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.931578947
Total,Census Place,2700190,Adams,"Adams, MN",380,R,Any Terrestrial,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.931578947
Total,Census Place,2700190,Adams,"Adams, MN",380,B,Any Terrestrial,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.931578947
Total,Census Place,2700190,Adams,"Adams, MN",380,R,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.931578947
Total,Census Place,2700190,Adams,"Adams, MN",380,B,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.931578947
Total,Census Place,2700190,Adams,"Adams, MN",380,R,Copper,0.768421053,0.768421053,0.407894737,0,0,0.000000000
Total,Census Place,2700190,Adams,"Adams, MN",380,B,Copper,0.052631579,0.052631579,0.036842105,0,0,0
Total,Census Place,2700190,Adams,"Adams, MN",380,R,Cable/Fiber,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.931578947
Total,Census Place,2700190,Adams,"Adams, MN",380,B,Cable/Fiber,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.931578947
Total,Census Place,2700190,Adams,"Adams, MN",380,R,Cable,0.976315789,0.976315789,0.976315789,0.976315789,0.976315789,0.000000000
Total,Census Place,2700190,Adams,"Adams, MN",380,B,Cable,0.976315789,0.976315789,0.976315789,0.976315789,0.976315789,0
Total,Census Place,2700190,Adams,"Adams, MN",380,R,Fiber,0.931578947,0.931578947,0.931578947,0.931578947,0.931578947,0.931578947
Total,Census Place,2700190,Adams,"Adams, MN",380,B,Fiber,0.931578947,0.931578947,0.931578947,0.931578947,0.931578947,0.931578947
Total,Census Place,2700190,Adams,"Adams, MN",380,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,2700190,Adams,"Adams, MN",380,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,2700190,Adams,"Adams, MN",380,R,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0.000000000
Total,Census Place,2700190,Adams,"Adams, MN",380,B,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,2700190,Adams,"Adams, MN",380,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,2700190,Adams,"Adams, MN",380,B,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Total,Census Place,2700190,Adams,"Adams, MN",380,R,All Fixed Wireless,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Total,Census Place,2700190,Adams,"Adams, MN",380,B,All Fixed Wireless,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,2700190,Adams,"Adams, MN",380,R,Unlicensed Fixed Wireless,0.405263158,0.405263158,0.405263158,0.092105263,0,0
Total,Census Place,2700190,Adams,"Adams, MN",380,B,Unlicensed Fixed Wireless,0.168421053,0.168421053,0.168421053,0.084210526,0,0
Total,Census Place,2700190,Adams,"Adams, MN",380,R,Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Total,Census Place,2700190,Adams,"Adams, MN",380,B,Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Total,Census Place,2700190,Adams,"Adams, MN",380,R,Other,0,0,0,0,0,0.000000000
Total,Census Place,2700190,Adams,"Adams, MN",380,B,Other,0.000000000,0,0,0,0,0
Total,Census Place,2700262,Adrian,"Adrian, MN",740,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.997297297,0.987837838
Total,Census Place,2700262,Adrian,"Adrian, MN",740,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.989189189,0.987837838
Total,Census Place,2700262,Adrian,"Adrian, MN",740,R,All Wired,0.998648649,0.998648649,0.998648649,0.997297297,0.997297297,0.987837838
Total,Census Place,2700262,Adrian,"Adrian, MN",740,B,All Wired,0.989189189,0.989189189,0.989189189,0.989189189,0.989189189,0.987837838
Total,Census Place,2700262,Adrian,"Adrian, MN",740,R,Any Terrestrial,1.000000000,1.000000000,1.000000000,1.000000000,0.997297297,0.987837838
Total,Census Place,2700262,Adrian,"Adrian, MN",740,B,Any Terrestrial,1.000000000,1.000000000,1.000000000,1.000000000,0.989189189,0.987837838
Total,Census Place,2700262,Adrian,"Adrian, MN",740,R,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,1.000000000,0.997297297,0.987837838
Total,Census Place,2700262,Adrian,"Adrian, MN",740,B,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,1.000000000,0.989189189,0.987837838
Total,Census Place,2700262,Adrian,"Adrian, MN",740,R,Copper,0.744594595,0.744594595,0.285135135,0,0,0
