area_data_type,geography_type,geography_id,geography_desc,geography_desc_full,total_units,biz_res,technology,speed_02_02,speed_10_1,speed_25_3,speed_100_20,speed_250_25,speed_1000_100
Total,Census Place,2900244,Adrian,"Adrian, MO",824,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.998786408
Total,Census Place,2900244,Adrian,"Adrian, MO",824,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.998786408
Total,Census Place,2900244,Adrian,"Adrian, MO",824,R,All Wired,0.998786408,0.998786408,0.998786408,0.998786408,0.998786408,0.998786408
Total,Census Place,2900244,Adrian,"Adrian, MO",824,B,All Wired,0.998786408,0.998786408,0.998786408,0.998786408,0.998786408,0.998786408
Total,Census Place,2900244,Adrian,"Adrian, MO",824,R,Any Terrestrial,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.998786408
Total,Census Place,2900244,Adrian,"Adrian, MO",824,B,Any Terrestrial,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.998786408
Total,Census Place,2900244,Adrian,"Adrian, MO",824,R,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.998786408
Total,Census Place,2900244,Adrian,"Adrian, MO",824,B,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.998786408
Total,Census Place,2900244,Adrian,"Adrian, MO",824,R,Copper,0.203883495,0.200242718,0,0.000000000,0,0
Total,Census Place,2900244,Adrian,"Adrian, MO",824,B,Copper,0.203883495,0.200242718,0,0,0,0
Total,Census Place,2900244,Adrian,"Adrian, MO",824,R,Cable/Fiber,0.998786408,0.998786408,0.998786408,0.998786408,0.998786408,0.998786408
Total,Census Place,2900244,Adrian,"Adrian, MO",824,B,Cable/Fiber,0.998786408,0.998786408,0.998786408,0.998786408,0.998786408,0.998786408
Total,Census Place,2900244,Adrian,"Adrian, MO",824,R,Cable,0.000000000,0,0,0,0,0
Total,Census Place,2900244,Adrian,"Adrian, MO",824,B,Cable,0.000000000,0,0,0,0,0
Total,Census Place,2900244,Adrian,"Adrian, MO",824,R,Fiber,0.998786408,0.998786408,0.998786408,0.998786408,0.998786408,0.998786408
Total,Census Place,2900244,Adrian,"Adrian, MO",824,B,Fiber,0.998786408,0.998786408,0.998786408,0.998786408,0.998786408,0.998786408
Total,Census Place,2900244,Adrian,"Adrian, MO",824,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000,0
Total,Census Place,2900244,Adrian,"Adrian, MO",824,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,2900244,Adrian,"Adrian, MO",824,R,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0.000000000,0
Total,Census Place,2900244,Adrian,"Adrian, MO",824,B,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,2900244,Adrian,"Adrian, MO",824,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,2900244,Adrian,"Adrian, MO",824,B,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000,0
Total,Census Place,2900244,Adrian,"Adrian, MO",824,R,All Fixed Wireless,0.986650485,0.972087379,0.972087379,0.942961165,0.612864078,0.000000000
Total,Census Place,2900244,Adrian,"Adrian, MO",824,B,All Fixed Wireless,0.987864078,0.976941748,0.972087379,0.942961165,0.612864078,0
