area_data_type,geography_type,geography_id,geography_desc,geography_desc_full,total_units,biz_res,technology,speed_02_02,speed_10_1,speed_25_3,speed_100_20,speed_250_25,speed_1000_100
Total,Census Place,3000175,Absarokee,"Absarokee, MT",590,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.144067797,0.144067797
Total,Census Place,3000175,Absarokee,"Absarokee, MT",590,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.144067797,0.144067797
Total,Census Place,3000175,Absarokee,"Absarokee, MT",590,R,All Wired,0.998305085,0.994915254,0.971186441,0.144067797,0.144067797,0.144067797
Total,Census Place,3000175,Absarokee,"Absarokee, MT",590,B,All Wired,0.998305085,0.994915254,0.971186441,0.144067797,0.144067797,0.144067797
Total,Census Place,3000175,Absarokee,"Absarokee, MT",590,R,Any Terrestrial,0.998305085,0.994915254,0.994915254,0.745762712,0.144067797,0.144067797
Total,Census Place,3000175,Absarokee,"Absarokee, MT",590,B,Any Terrestrial,0.998305085,0.996610169,0.996610169,0.815254237,0.144067797,0.144067797
Total,Census Place,3000175,Absarokee,"Absarokee, MT",590,R,All Wired and Licensed Fixed Wireless,0.998305085,0.994915254,0.994915254,0.698305085,0.144067797,0.144067797
Total,Census Place,3000175,Absarokee,"Absarokee, MT",590,B,All Wired and Licensed Fixed Wireless,0.998305085,0.996610169,0.996610169,0.771186441,0.144067797,0.144067797
Total,Census Place,3000175,Absarokee,"Absarokee, MT",590,R,Copper,0.996610169,0.966101695,0.837288136,0,0,0
Total,Census Place,3000175,Absarokee,"Absarokee, MT",590,B,Copper,0.996610169,0.966101695,0.837288136,0,0,0
Total,Census Place,3000175,Absarokee,"Absarokee, MT",590,R,Cable/Fiber,0.144067797,0.144067797,0.144067797,0.144067797,0.144067797,0.144067797
Total,Census Place,3000175,Absarokee,"Absarokee, MT",590,B,Cable/Fiber,0.144067797,0.144067797,0.144067797,0.144067797,0.144067797,0.144067797
Total,Census Place,3000175,Absarokee,"Absarokee, MT",590,R,Cable,0,0,0,0,0.000000000,0
Total,Census Place,3000175,Absarokee,"Absarokee, MT",590,B,Cable,0,0.000000000,0,0,0,0
Total,Census Place,3000175,Absarokee,"Absarokee, MT",590,R,Fiber,0.144067797,0.144067797,0.144067797,0.144067797,0.144067797,0.144067797
Total,Census Place,3000175,Absarokee,"Absarokee, MT",590,B,Fiber,0.144067797,0.144067797,0.144067797,0.144067797,0.144067797,0.144067797
Total,Census Place,3000175,Absarokee,"Absarokee, MT",590,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000,0
Total,Census Place,3000175,Absarokee,"Absarokee, MT",590,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,3000175,Absarokee,"Absarokee, MT",590,R,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0.000000000,0
Total,Census Place,3000175,Absarokee,"Absarokee, MT",590,B,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,3000175,Absarokee,"Absarokee, MT",590,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000,0
