area_data_type,geography_type,geography_id,geography_desc,geography_desc_full,total_units,biz_res,technology,speed_02_02,speed_10_1,speed_25_3,speed_100_20,speed_250_25,speed_1000_100
Total,Census Place,3800100,Abercrombie,"Abercrombie, ND",161,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,3800100,Abercrombie,"Abercrombie, ND",161,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,3800100,Abercrombie,"Abercrombie, ND",161,R,All Wired,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,3800100,Abercrombie,"Abercrombie, ND",161,B,All Wired,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,3800100,Abercrombie,"Abercrombie, ND",161,R,Any Terrestrial,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,3800100,Abercrombie,"Abercrombie, ND",161,B,Any Terrestrial,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,3800100,Abercrombie,"Abercrombie, ND",161,R,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,3800100,Abercrombie,"Abercrombie, ND",161,B,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,3800100,Abercrombie,"Abercrombie, ND",161,R,Copper,0.000000000,0,0,0,0,0
Total,Census Place,3800100,Abercrombie,"Abercrombie, ND",161,B,Copper,0,0.000000000,0,0,0,0
Total,Census Place,3800100,Abercrombie,"Abercrombie, ND",161,R,Cable/Fiber,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,3800100,Abercrombie,"Abercrombie, ND",161,B,Cable/Fiber,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,3800100,Abercrombie,"Abercrombie, ND",161,R,Cable,0,0,0.000000000,0,0,0
Total,Census Place,3800100,Abercrombie,"Abercrombie, ND",161,B,Cable,0,0,0,0.000000000,0,0
Total,Census Place,3800100,Abercrombie,"Abercrombie, ND",161,R,Fiber,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,3800100,Abercrombie,"Abercrombie, ND",161,B,Fiber,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,3800100,Abercrombie,"Abercrombie, ND",161,R,All Satellite,1.000000000,1.000000000,1.000000000,0.913043478,0,0
Total,Census Place,3800100,Abercrombie,"Abercrombie, ND",161,B,All Satellite,1.000000000,1.000000000,1.000000000,0.913043478,0,0
Total,Census Place,3800100,Abercrombie,"Abercrombie, ND",161,R,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,3800100,Abercrombie,"Abercrombie, ND",161,B,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,3800100,Abercrombie,"Abercrombie, ND",161,R,NGSO Satellite,0.913043478,0.913043478,0.913043478,0.913043478,0,0.000000000
Total,Census Place,3800100,Abercrombie,"Abercrombie, ND",161,B,NGSO Satellite,0.913043478,0.913043478,0.913043478,0.913043478,0,0
Total,Census Place,3800100,Abercrombie,"Abercrombie, ND",161,R,All Fixed Wireless,0.751552795,0.180124224,0.180124224,0.043478261,0.000000000,0
Total,Census Place,3800100,Abercrombie,"Abercrombie, ND",161,B,All Fixed Wireless,0.832298137,0.434782609,0.422360248,0.012422360,0.000000000,0
Total,Census Place,3800100,Abercrombie,"Abercrombie, ND",161,R,Unlicensed Fixed Wireless,0.037267081,0.037267081,0.037267081,0.037267081,0,0.000000000
Total,Census Place,3800100,Abercrombie,"Abercrombie, ND",161,B,Unlicensed Fixed Wireless,0.012422360,0.012422360,0.012422360,0.012422360,0,0
Total,Census Place,3800100,Abercrombie,"Abercrombie, ND",161,R,Licensed Fixed Wireless,0.739130435,0.142857143,0.142857143,0.006211180,0,0.000000000
Total,Census Place,3800100,Abercrombie,"Abercrombie, ND",161,B,Licensed Fixed Wireless,0.832298137,0.434782609,0.422360248,0,0,0.000000000
Total,Census Place,3800100,Abercrombie,"Abercrombie, ND",161,R,Other,0,0,0,0,0,0.000000000
Total,Census Place,3800100,Abercrombie,"Abercrombie, ND",161,B,Other,0,0,0,0.000000000,0,0
Total,Census Place,3800340,Adams,"Adams, ND",128,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,3800340,Adams,"Adams, ND",128,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,3800340,Adams,"Adams, ND",128,R,All Wired,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,3800340,Adams,"Adams, ND",128,B,All Wired,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,3800340,Adams,"Adams, ND",128,R,Any Terrestrial,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,3800340,Adams,"Adams, ND",128,B,Any Terrestrial,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,3800340,Adams,"Adams, ND",128,R,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,3800340,Adams,"Adams, ND",128,B,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
