area_data_type,geography_type,geography_id,geography_desc,geography_desc_full,total_units,biz_res,technology,speed_02_02,speed_10_1,speed_25_3,speed_100_20,speed_250_25,speed_1000_100
Total,Census Place,3100205,Abie,"Abie, NE",60,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,3100205,Abie,"Abie, NE",60,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Total,Census Place,3100205,Abie,"Abie, NE",60,R,All Wired,0.933333333,0.933333333,0.933333333,0.933333333,0,0.000000000
Total,Census Place,3100205,Abie,"Abie, NE",60,B,All Wired,0.933333333,0.933333333,0.933333333,0.933333333,0,0
Total,Census Place,3100205,Abie,"Abie, NE",60,R,Any Terrestrial,0.950000000,0.950000000,0.933333333,0.933333333,0,0
Total,Census Place,3100205,Abie,"Abie, NE",60,B,Any Terrestrial,0.983333333,0.983333333,0.983333333,0.933333333,0,0
Total,Census Place,3100205,Abie,"Abie, NE",60,R,All Wired and Licensed Fixed Wireless,0.933333333,0.933333333,0.933333333,0.933333333,0.000000000,0
Total,Census Place,3100205,Abie,"Abie, NE",60,B,All Wired and Licensed Fixed Wireless,0.983333333,0.983333333,0.983333333,0.933333333,0,0.000000000
Total,Census Place,3100205,Abie,"Abie, NE",60,R,Copper,0.933333333,0.933333333,0.933333333,0.933333333,0,0
Total,Census Place,3100205,Abie,"Abie, NE",60,B,Copper,0.933333333,0.933333333,0.933333333,0.933333333,0,0
Total,Census Place,3100205,Abie,"Abie, NE",60,R,Cable/Fiber,0,0,0.000000000,0,0,0
Total,Census Place,3100205,Abie,"Abie, NE",60,B,Cable/Fiber,0,0,0,0,0,0.000000000
Total,Census Place,3100205,Abie,"Abie, NE",60,R,Cable,0.000000000,0,0,0,0,0
Total,Census Place,3100205,Abie,"Abie, NE",60,B,Cable,0.000000000,0,0,0,0,0
Total,Census Place,3100205,Abie,"Abie, NE",60,R,Fiber,0.000000000,0,0,0,0,0
Total,Census Place,3100205,Abie,"Abie, NE",60,B,Fiber,0,0,0,0,0,0.000000000
Total,Census Place,3100205,Abie,"Abie, NE",60,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,3100205,Abie,"Abie, NE",60,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,3100205,Abie,"Abie, NE",60,R,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,3100205,Abie,"Abie, NE",60,B,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0.000000000
Total,Census Place,3100205,Abie,"Abie, NE",60,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,3100205,Abie,"Abie, NE",60,B,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,3100205,Abie,"Abie, NE",60,R,All Fixed Wireless,0.383333333,0.116666667,0.033333333,0.033333333,0,0.000000000
Total,Census Place,3100205,Abie,"Abie, NE",60,B,All Fixed Wireless,0.550000000,0.250000000,0.250000000,0.016666667,0,0
Total,Census Place,3100205,Abie,"Abie, NE",60,R,Unlicensed Fixed Wireless,0.016666667,0.016666667,0,0,0,0.000000000
Total,Census Place,3100205,Abie,"Abie, NE",60,B,Unlicensed Fixed Wireless,0.016666667,0.016666667,0,0,0,0
Total,Census Place,3100205,Abie,"Abie, NE",60,R,Licensed Fixed Wireless,0.366666667,0.100000000,0.033333333,0.033333333,0,0.000000000
Total,Census Place,3100205,Abie,"Abie, NE",60,B,Licensed Fixed Wireless,0.550000000,0.250000000,0.250000000,0.016666667,0,0
Total,Census Place,3100205,Abie,"Abie, NE",60,R,Other,0,0,0,0,0,0.000000000
Total,Census Place,3100205,Abie,"Abie, NE",60,B,Other,0,0,0,0,0.000000000,0
Total,Census Place,3100240,Adams,"Adams, NE",313,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.523961661,0.523961661
Total,Census Place,3100240,Adams,"Adams, NE",313,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.530351438,0.530351438
Total,Census Place,3100240,Adams,"Adams, NE",313,R,All Wired,0.996805112,0.996805112,0.920127796,0.734824281,0,0
