area_data_type,geography_type,geography_id,geography_desc,geography_desc_full,total_units,biz_res,technology,speed_02_02,speed_10_1,speed_25_3,speed_100_20,speed_250_25,speed_1000_100
Total,Census Place,3400100,Absecon,"Absecon, NJ",4437,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.996393960,0.663060627
Total,Census Place,3400100,Absecon,"Absecon, NJ",4437,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.996393960,0.663736759
Total,Census Place,3400100,Absecon,"Absecon, NJ",4437,R,All Wired,0.996393960,0.996393960,0.996393960,0.996393960,0.996393960,0.663060627
Total,Census Place,3400100,Absecon,"Absecon, NJ",4437,B,All Wired,0.996393960,0.996393960,0.996393960,0.996393960,0.996393960,0.663736759
Total,Census Place,3400100,Absecon,"Absecon, NJ",4437,R,Any Terrestrial,0.998647735,0.998422357,0.998422357,0.997746225,0.996393960,0.663060627
Total,Census Place,3400100,Absecon,"Absecon, NJ",4437,B,Any Terrestrial,1.000000000,0.999323867,0.999323867,0.997295470,0.996393960,0.663736759
Total,Census Place,3400100,Absecon,"Absecon, NJ",4437,R,All Wired and Licensed Fixed Wireless,0.998647735,0.998422357,0.998422357,0.997746225,0.996393960,0.663060627
Total,Census Place,3400100,Absecon,"Absecon, NJ",4437,B,All Wired and Licensed Fixed Wireless,1.000000000,0.999323867,0.999323867,0.997295470,0.996393960,0.663736759
Total,Census Place,3400100,Absecon,"Absecon, NJ",4437,R,Copper,0,0,0,0,0,0.000000000
Total,Census Place,3400100,Absecon,"Absecon, NJ",4437,B,Copper,0,0,0,0,0,0.000000000
Total,Census Place,3400100,Absecon,"Absecon, NJ",4437,R,Cable/Fiber,0.996393960,0.996393960,0.996393960,0.996393960,0.996393960,0.663060627
Total,Census Place,3400100,Absecon,"Absecon, NJ",4437,B,Cable/Fiber,0.996393960,0.996393960,0.996393960,0.996393960,0.996393960,0.663736759
Total,Census Place,3400100,Absecon,"Absecon, NJ",4437,R,Cable,0.942303358,0.942303358,0.942303358,0.942303358,0.942303358,0.660581474
Total,Census Place,3400100,Absecon,"Absecon, NJ",4437,B,Cable,0.942303358,0.942303358,0.942303358,0.942303358,0.942303358,0.660581474
Total,Census Place,3400100,Absecon,"Absecon, NJ",4437,R,Fiber,0.054090602,0.054090602,0.054090602,0.054090602,0.054090602,0.002479153
Total,Census Place,3400100,Absecon,"Absecon, NJ",4437,B,Fiber,0.056795132,0.056795132,0.056795132,0.056118999,0.054766734,0.003155285
Total,Census Place,3400100,Absecon,"Absecon, NJ",4437,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,3400100,Absecon,"Absecon, NJ",4437,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Total,Census Place,3400100,Absecon,"Absecon, NJ",4437,R,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0.000000000
Total,Census Place,3400100,Absecon,"Absecon, NJ",4437,B,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,3400100,Absecon,"Absecon, NJ",4437,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,3400100,Absecon,"Absecon, NJ",4437,B,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,3400100,Absecon,"Absecon, NJ",4437,R,All Fixed Wireless,0.803470814,0.674329502,0.674329502,0.447599730,0,0
Total,Census Place,3400100,Absecon,"Absecon, NJ",4437,B,All Fixed Wireless,0.817669597,0.626324093,0.591390579,0.321388325,0,0
Total,Census Place,3400100,Absecon,"Absecon, NJ",4437,R,Unlicensed Fixed Wireless,0,0,0.000000000,0,0,0
Total,Census Place,3400100,Absecon,"Absecon, NJ",4437,B,Unlicensed Fixed Wireless,0.000000000,0,0,0,0,0
Total,Census Place,3400100,Absecon,"Absecon, NJ",4437,R,Licensed Fixed Wireless,0.803470814,0.674329502,0.674329502,0.447599730,0,0
Total,Census Place,3400100,Absecon,"Absecon, NJ",4437,B,Licensed Fixed Wireless,0.817669597,0.626324093,0.591390579,0.321388325,0,0
Total,Census Place,3400100,Absecon,"Absecon, NJ",4437,R,Other,0,0,0.000000000,0,0,0
Total,Census Place,3400100,Absecon,"Absecon, NJ",4437,B,Other,0,0,0,0,0.000000000,0
Total,Census Place,3400160,Absecon Highlands,"Absecon Highlands, NJ",825,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.993939394,0.909090909
Total,Census Place,3400160,Absecon Highlands,"Absecon Highlands, NJ",825,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.993939394,0.909090909
Total,Census Place,3400160,Absecon Highlands,"Absecon Highlands, NJ",825,R,All Wired,0.993939394,0.993939394,0.993939394,0.993939394,0.993939394,0.909090909
Total,Census Place,3400160,Absecon Highlands,"Absecon Highlands, NJ",825,B,All Wired,0.993939394,0.993939394,0.993939394,0.993939394,0.993939394,0.909090909
Total,Census Place,3400160,Absecon Highlands,"Absecon Highlands, NJ",825,R,Any Terrestrial,0.998787879,0.998787879,0.998787879,0.996363636,0.993939394,0.909090909
Total,Census Place,3400160,Absecon Highlands,"Absecon Highlands, NJ",825,B,Any Terrestrial,0.998787879,0.998787879,0.998787879,0.995151515,0.993939394,0.909090909
Total,Census Place,3400160,Absecon Highlands,"Absecon Highlands, NJ",825,R,All Wired and Licensed Fixed Wireless,0.998787879,0.998787879,0.998787879,0.996363636,0.993939394,0.909090909
Total,Census Place,3400160,Absecon Highlands,"Absecon Highlands, NJ",825,B,All Wired and Licensed Fixed Wireless,0.998787879,0.998787879,0.998787879,0.995151515,0.993939394,0.909090909
Total,Census Place,3400160,Absecon Highlands,"Absecon Highlands, NJ",825,R,Copper,0.000000000,0,0,0,0,0
Total,Census Place,3400160,Absecon Highlands,"Absecon Highlands, NJ",825,B,Copper,0,0,0,0.000000000,0,0
Total,Census Place,3400160,Absecon Highlands,"Absecon Highlands, NJ",825,R,Cable/Fiber,0.993939394,0.993939394,0.993939394,0.993939394,0.993939394,0.909090909
Total,Census Place,3400160,Absecon Highlands,"Absecon Highlands, NJ",825,B,Cable/Fiber,0.993939394,0.993939394,0.993939394,0.993939394,0.993939394,0.909090909
Total,Census Place,3400160,Absecon Highlands,"Absecon Highlands, NJ",825,R,Cable,0.993939394,0.993939394,0.993939394,0.993939394,0.993939394,0.909090909
Total,Census Place,3400160,Absecon Highlands,"Absecon Highlands, NJ",825,B,Cable,0.993939394,0.993939394,0.993939394,0.993939394,0.993939394,0.909090909
Total,Census Place,3400160,Absecon Highlands,"Absecon Highlands, NJ",825,R,Fiber,0,0,0,0,0.000000000,0
Total,Census Place,3400160,Absecon Highlands,"Absecon Highlands, NJ",825,B,Fiber,0.006060606,0.006060606,0.006060606,0.006060606,0.006060606,0
Total,Census Place,3400160,Absecon Highlands,"Absecon Highlands, NJ",825,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,3400160,Absecon Highlands,"Absecon Highlands, NJ",825,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,3400160,Absecon Highlands,"Absecon Highlands, NJ",825,R,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,3400160,Absecon Highlands,"Absecon Highlands, NJ",825,B,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,3400160,Absecon Highlands,"Absecon Highlands, NJ",825,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,3400160,Absecon Highlands,"Absecon Highlands, NJ",825,B,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Total,Census Place,3400160,Absecon Highlands,"Absecon Highlands, NJ",825,R,All Fixed Wireless,0.883636364,0.872727273,0.872727273,0.786666667,0,0
Total,Census Place,3400160,Absecon Highlands,"Absecon Highlands, NJ",825,B,All Fixed Wireless,0.833939394,0.798787879,0.798787879,0.515151515,0,0.000000000
Total,Census Place,3400160,Absecon Highlands,"Absecon Highlands, NJ",825,R,Unlicensed Fixed Wireless,0,0.000000000,0,0,0,0
Total,Census Place,3400160,Absecon Highlands,"Absecon Highlands, NJ",825,B,Unlicensed Fixed Wireless,0.000000000,0,0,0,0,0
Total,Census Place,3400160,Absecon Highlands,"Absecon Highlands, NJ",825,R,Licensed Fixed Wireless,0.883636364,0.872727273,0.872727273,0.786666667,0,0
Total,Census Place,3400160,Absecon Highlands,"Absecon Highlands, NJ",825,B,Licensed Fixed Wireless,0.833939394,0.798787879,0.798787879,0.515151515,0,0.000000000
Total,Census Place,3400160,Absecon Highlands,"Absecon Highlands, NJ",825,R,Other,0.000000000,0,0,0,0,0
Total,Census Place,3400160,Absecon Highlands,"Absecon Highlands, NJ",825,B,Other,0,0,0,0,0,0.000000000
Total,Census Place,3400640,Allamuchy,"Allamuchy, NJ",56,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.946428571,0.946428571
Total,Census Place,3400640,Allamuchy,"Allamuchy, NJ",56,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.964285714,0.946428571
Total,Census Place,3400640,Allamuchy,"Allamuchy, NJ",56,R,All Wired,0.946428571,0.946428571,0.946428571,0.946428571,0.946428571,0.946428571
Total,Census Place,3400640,Allamuchy,"Allamuchy, NJ",56,B,All Wired,0.964285714,0.964285714,0.964285714,0.964285714,0.964285714,0.946428571
Total,Census Place,3400640,Allamuchy,"Allamuchy, NJ",56,R,Any Terrestrial,0.946428571,0.946428571,0.946428571,0.946428571,0.946428571,0.946428571
Total,Census Place,3400640,Allamuchy,"Allamuchy, NJ",56,B,Any Terrestrial,1.000000000,1.000000000,1.000000000,0.964285714,0.964285714,0.946428571
Total,Census Place,3400640,Allamuchy,"Allamuchy, NJ",56,R,All Wired and Licensed Fixed Wireless,0.946428571,0.946428571,0.946428571,0.946428571,0.946428571,0.946428571
Total,Census Place,3400640,Allamuchy,"Allamuchy, NJ",56,B,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,0.964285714,0.964285714,0.946428571
Total,Census Place,3400640,Allamuchy,"Allamuchy, NJ",56,R,Copper,0,0,0,0,0,0.000000000
Total,Census Place,3400640,Allamuchy,"Allamuchy, NJ",56,B,Copper,0.000000000,0,0,0,0,0
Total,Census Place,3400640,Allamuchy,"Allamuchy, NJ",56,R,Cable/Fiber,0.946428571,0.946428571,0.946428571,0.946428571,0.946428571,0.946428571
Total,Census Place,3400640,Allamuchy,"Allamuchy, NJ",56,B,Cable/Fiber,0.964285714,0.964285714,0.964285714,0.964285714,0.964285714,0.946428571
Total,Census Place,3400640,Allamuchy,"Allamuchy, NJ",56,R,Cable,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0
Total,Census Place,3400640,Allamuchy,"Allamuchy, NJ",56,B,Cable,0.303571429,0.303571429,0.303571429,0.303571429,0.303571429,0
Total,Census Place,3400640,Allamuchy,"Allamuchy, NJ",56,R,Fiber,0.946428571,0.946428571,0.946428571,0.946428571,0.946428571,0.946428571
Total,Census Place,3400640,Allamuchy,"Allamuchy, NJ",56,B,Fiber,0.946428571,0.946428571,0.946428571,0.946428571,0.946428571,0.946428571
