area_data_type,geography_type,geography_id,geography_desc,geography_desc_full,total_units,biz_res,technology,speed_02_02,speed_10_1,speed_25_3,speed_100_20,speed_250_25,speed_1000_100
Total,Census Place,3500240,Abeytas,"Abeytas, NM",49,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000,0
Total,Census Place,3500240,Abeytas,"Abeytas, NM",49,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,3500240,Abeytas,"Abeytas, NM",49,R,All Wired,0,0.000000000,0,0,0,0
Total,Census Place,3500240,Abeytas,"Abeytas, NM",49,B,All Wired,0,0,0,0,0,0.000000000
Total,Census Place,3500240,Abeytas,"Abeytas, NM",49,R,Any Terrestrial,0.836734694,0.755102041,0.448979592,0,0,0
Total,Census Place,3500240,Abeytas,"Abeytas, NM",49,B,Any Terrestrial,0.836734694,0.489795918,0.489795918,0,0.000000000,0
Total,Census Place,3500240,Abeytas,"Abeytas, NM",49,R,All Wired and Licensed Fixed Wireless,0.571428571,0.448979592,0.448979592,0,0,0
Total,Census Place,3500240,Abeytas,"Abeytas, NM",49,B,All Wired and Licensed Fixed Wireless,0.612244898,0.489795918,0.489795918,0,0,0
Total,Census Place,3500240,Abeytas,"Abeytas, NM",49,R,Copper,0,0.000000000,0,0,0,0
Total,Census Place,3500240,Abeytas,"Abeytas, NM",49,B,Copper,0,0,0,0,0,0.000000000
Total,Census Place,3500240,Abeytas,"Abeytas, NM",49,R,Cable/Fiber,0,0.000000000,0,0,0,0
Total,Census Place,3500240,Abeytas,"Abeytas, NM",49,B,Cable/Fiber,0.000000000,0,0,0,0,0
Total,Census Place,3500240,Abeytas,"Abeytas, NM",49,R,Cable,0,0,0,0,0.000000000,0
Total,Census Place,3500240,Abeytas,"Abeytas, NM",49,B,Cable,0,0.000000000,0,0,0,0
Total,Census Place,3500240,Abeytas,"Abeytas, NM",49,R,Fiber,0,0,0,0,0.000000000,0
Total,Census Place,3500240,Abeytas,"Abeytas, NM",49,B,Fiber,0,0,0,0,0.000000000,0
Total,Census Place,3500240,Abeytas,"Abeytas, NM",49,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,3500240,Abeytas,"Abeytas, NM",49,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Total,Census Place,3500240,Abeytas,"Abeytas, NM",49,R,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0.000000000
Total,Census Place,3500240,Abeytas,"Abeytas, NM",49,B,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0.000000000
Total,Census Place,3500240,Abeytas,"Abeytas, NM",49,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Total,Census Place,3500240,Abeytas,"Abeytas, NM",49,B,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,3500240,Abeytas,"Abeytas, NM",49,R,All Fixed Wireless,0.836734694,0.755102041,0.448979592,0,0,0
Total,Census Place,3500240,Abeytas,"Abeytas, NM",49,B,All Fixed Wireless,0.836734694,0.489795918,0.489795918,0.000000000,0,0
Total,Census Place,3500240,Abeytas,"Abeytas, NM",49,R,Unlicensed Fixed Wireless,0.836734694,0.632653061,0,0,0.000000000,0
Total,Census Place,3500240,Abeytas,"Abeytas, NM",49,B,Unlicensed Fixed Wireless,0.795918367,0.000000000,0,0,0,0
Total,Census Place,3500240,Abeytas,"Abeytas, NM",49,R,Licensed Fixed Wireless,0.571428571,0.448979592,0.448979592,0,0.000000000,0
Total,Census Place,3500240,Abeytas,"Abeytas, NM",49,B,Licensed Fixed Wireless,0.612244898,0.489795918,0.489795918,0,0.000000000,0
Total,Census Place,3500240,Abeytas,"Abeytas, NM",49,R,Other,0,0.000000000,0,0,0,0
Total,Census Place,3500240,Abeytas,"Abeytas, NM",49,B,Other,0.000000000,0,0,0,0,0
Total,Census Place,3500310,Abiquiu,"Abiquiu, NM",212,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,3500310,Abiquiu,"Abiquiu, NM",212,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,3500310,Abiquiu,"Abiquiu, NM",212,R,All Wired,0.759433962,0.759433962,0.306603774,0.075471698,0,0.000000000
Total,Census Place,3500310,Abiquiu,"Abiquiu, NM",212,B,All Wired,0.759433962,0.759433962,0.306603774,0.075471698,0,0.000000000
Total,Census Place,3500310,Abiquiu,"Abiquiu, NM",212,R,Any Terrestrial,0.801886792,0.773584906,0.334905660,0.099056604,0.000000000,0
Total,Census Place,3500310,Abiquiu,"Abiquiu, NM",212,B,Any Terrestrial,0.806603774,0.773584906,0.325471698,0.080188679,0,0.000000000
Total,Census Place,3500310,Abiquiu,"Abiquiu, NM",212,R,All Wired and Licensed Fixed Wireless,0.801886792,0.773584906,0.334905660,0.099056604,0,0.000000000
Total,Census Place,3500310,Abiquiu,"Abiquiu, NM",212,B,All Wired and Licensed Fixed Wireless,0.806603774,0.773584906,0.325471698,0.080188679,0,0.000000000
Total,Census Place,3500310,Abiquiu,"Abiquiu, NM",212,R,Copper,0.759433962,0.759433962,0.306603774,0.075471698,0.000000000,0
Total,Census Place,3500310,Abiquiu,"Abiquiu, NM",212,B,Copper,0.759433962,0.759433962,0.306603774,0.075471698,0.000000000,0
Total,Census Place,3500310,Abiquiu,"Abiquiu, NM",212,R,Cable/Fiber,0,0,0,0,0,0.000000000
Total,Census Place,3500310,Abiquiu,"Abiquiu, NM",212,B,Cable/Fiber,0,0.000000000,0,0,0,0
Total,Census Place,3500310,Abiquiu,"Abiquiu, NM",212,R,Cable,0.000000000,0,0,0,0,0
Total,Census Place,3500310,Abiquiu,"Abiquiu, NM",212,B,Cable,0.000000000,0,0,0,0,0
Total,Census Place,3500310,Abiquiu,"Abiquiu, NM",212,R,Fiber,0,0.000000000,0,0,0,0
Total,Census Place,3500310,Abiquiu,"Abiquiu, NM",212,B,Fiber,0,0.000000000,0,0,0,0
Total,Census Place,3500310,Abiquiu,"Abiquiu, NM",212,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,3500310,Abiquiu,"Abiquiu, NM",212,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,3500310,Abiquiu,"Abiquiu, NM",212,R,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0.000000000
Total,Census Place,3500310,Abiquiu,"Abiquiu, NM",212,B,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,3500310,Abiquiu,"Abiquiu, NM",212,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,3500310,Abiquiu,"Abiquiu, NM",212,B,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,3500310,Abiquiu,"Abiquiu, NM",212,R,All Fixed Wireless,0.066037736,0.028301887,0.028301887,0.023584906,0,0
Total,Census Place,3500310,Abiquiu,"Abiquiu, NM",212,B,All Fixed Wireless,0.099056604,0.056603774,0.056603774,0.004716981,0,0
Total,Census Place,3500310,Abiquiu,"Abiquiu, NM",212,R,Unlicensed Fixed Wireless,0,0,0,0,0.000000000,0
Total,Census Place,3500310,Abiquiu,"Abiquiu, NM",212,B,Unlicensed Fixed Wireless,0,0.000000000,0,0,0,0
Total,Census Place,3500310,Abiquiu,"Abiquiu, NM",212,R,Licensed Fixed Wireless,0.066037736,0.028301887,0.028301887,0.023584906,0,0.000000000
Total,Census Place,3500310,Abiquiu,"Abiquiu, NM",212,B,Licensed Fixed Wireless,0.099056604,0.056603774,0.056603774,0.004716981,0.000000000,0
Total,Census Place,3500310,Abiquiu,"Abiquiu, NM",212,R,Other,0,0,0,0,0,0.000000000
Total,Census Place,3500310,Abiquiu,"Abiquiu, NM",212,B,Other,0,0.000000000,0,0,0,0
Total,Census Place,3500765,Acomita Lake,"Acomita Lake, NM",255,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000,0
Total,Census Place,3500765,Acomita Lake,"Acomita Lake, NM",255,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000,0
Total,Census Place,3500765,Acomita Lake,"Acomita Lake, NM",255,R,All Wired,0.270588235,0,0,0,0.000000000,0
Total,Census Place,3500765,Acomita Lake,"Acomita Lake, NM",255,B,All Wired,0.270588235,0,0.000000000,0,0,0
Total,Census Place,3500765,Acomita Lake,"Acomita Lake, NM",255,R,Any Terrestrial,0.650980392,0.498039216,0.498039216,0.498039216,0,0
Total,Census Place,3500765,Acomita Lake,"Acomita Lake, NM",255,B,Any Terrestrial,0.996078431,0.996078431,0.996078431,0.501960784,0,0
Total,Census Place,3500765,Acomita Lake,"Acomita Lake, NM",255,R,All Wired and Licensed Fixed Wireless,0.270588235,0,0,0,0,0.000000000
Total,Census Place,3500765,Acomita Lake,"Acomita Lake, NM",255,B,All Wired and Licensed Fixed Wireless,0.996078431,0.996078431,0.996078431,0,0,0.000000000
Total,Census Place,3500765,Acomita Lake,"Acomita Lake, NM",255,R,Copper,0.270588235,0.000000000,0,0,0,0
Total,Census Place,3500765,Acomita Lake,"Acomita Lake, NM",255,B,Copper,0.270588235,0.000000000,0,0,0,0
Total,Census Place,3500765,Acomita Lake,"Acomita Lake, NM",255,R,Cable/Fiber,0.000000000,0,0,0,0,0
