area_data_type,geography_type,geography_id,geography_desc,geography_desc_full,total_units,biz_res,technology,speed_02_02,speed_10_1,speed_25_3,speed_100_20,speed_250_25,speed_1000_100
Total,Census Place,3200500,Alamo,"Alamo, NV",430,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,3200500,Alamo,"Alamo, NV",430,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,3200500,Alamo,"Alamo, NV",430,R,All Wired,0.902325581,0.902325581,0.718604651,0.288372093,0,0
Total,Census Place,3200500,Alamo,"Alamo, NV",430,B,All Wired,0.902325581,0.902325581,0.718604651,0.288372093,0,0
Total,Census Place,3200500,Alamo,"Alamo, NV",430,R,Any Terrestrial,0.995348837,0.995348837,0.995348837,0.523255814,0,0
Total,Census Place,3200500,Alamo,"Alamo, NV",430,B,Any Terrestrial,0.995348837,0.995348837,0.995348837,0.523255814,0.000000000,0
Total,Census Place,3200500,Alamo,"Alamo, NV",430,R,All Wired and Licensed Fixed Wireless,0.902325581,0.902325581,0.718604651,0.288372093,0,0
Total,Census Place,3200500,Alamo,"Alamo, NV",430,B,All Wired and Licensed Fixed Wireless,0.902325581,0.902325581,0.718604651,0.288372093,0.000000000,0
Total,Census Place,3200500,Alamo,"Alamo, NV",430,R,Copper,0.765116279,0.765116279,0.460465116,0.000000000,0,0
Total,Census Place,3200500,Alamo,"Alamo, NV",430,B,Copper,0.765116279,0.765116279,0.460465116,0,0,0
Total,Census Place,3200500,Alamo,"Alamo, NV",430,R,Cable/Fiber,0.288372093,0.288372093,0.288372093,0.288372093,0,0
Total,Census Place,3200500,Alamo,"Alamo, NV",430,B,Cable/Fiber,0.288372093,0.288372093,0.288372093,0.288372093,0.000000000,0
Total,Census Place,3200500,Alamo,"Alamo, NV",430,R,Cable,0,0,0,0.000000000,0,0
Total,Census Place,3200500,Alamo,"Alamo, NV",430,B,Cable,0.000000000,0,0,0,0,0
Total,Census Place,3200500,Alamo,"Alamo, NV",430,R,Fiber,0.288372093,0.288372093,0.288372093,0.288372093,0,0
Total,Census Place,3200500,Alamo,"Alamo, NV",430,B,Fiber,0.288372093,0.288372093,0.288372093,0.288372093,0,0
Total,Census Place,3200500,Alamo,"Alamo, NV",430,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,3200500,Alamo,"Alamo, NV",430,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,3200500,Alamo,"Alamo, NV",430,R,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0.000000000,0
Total,Census Place,3200500,Alamo,"Alamo, NV",430,B,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,3200500,Alamo,"Alamo, NV",430,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Total,Census Place,3200500,Alamo,"Alamo, NV",430,B,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,3200500,Alamo,"Alamo, NV",430,R,All Fixed Wireless,0.948837209,0.948837209,0.948837209,0.234883721,0,0
Total,Census Place,3200500,Alamo,"Alamo, NV",430,B,All Fixed Wireless,0.948837209,0.948837209,0.948837209,0.234883721,0,0
Total,Census Place,3200500,Alamo,"Alamo, NV",430,R,Unlicensed Fixed Wireless,0.948837209,0.948837209,0.948837209,0.234883721,0,0
Total,Census Place,3200500,Alamo,"Alamo, NV",430,B,Unlicensed Fixed Wireless,0.948837209,0.948837209,0.948837209,0.234883721,0,0
Total,Census Place,3200500,Alamo,"Alamo, NV",430,R,Licensed Fixed Wireless,0,0,0,0,0,0.000000000
Total,Census Place,3200500,Alamo,"Alamo, NV",430,B,Licensed Fixed Wireless,0,0.000000000,0,0,0,0
Total,Census Place,3200500,Alamo,"Alamo, NV",430,R,Other,0.000000000,0,0,0,0,0
Total,Census Place,3200500,Alamo,"Alamo, NV",430,B,Other,0,0.000000000,0,0,0,0
