area_data_type,geography_type,geography_id,geography_desc,geography_desc_full,total_units,biz_res,technology,speed_02_02,speed_10_1,speed_25_3,speed_100_20,speed_250_25,speed_1000_100
Total,Census Place,3600155,Accord,"Accord, NY",302,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.897350993,0
Total,Census Place,3600155,Accord,"Accord, NY",302,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.208609272,0
Total,Census Place,3600155,Accord,"Accord, NY",302,R,All Wired,0.897350993,0.897350993,0.897350993,0.897350993,0.897350993,0
Total,Census Place,3600155,Accord,"Accord, NY",302,B,All Wired,0.208609272,0.208609272,0.208609272,0.208609272,0.208609272,0
Total,Census Place,3600155,Accord,"Accord, NY",302,R,Any Terrestrial,0.920529801,0.910596026,0.910596026,0.903973510,0.897350993,0
Total,Census Place,3600155,Accord,"Accord, NY",302,B,Any Terrestrial,0.884105960,0.619205298,0.592715232,0.354304636,0.208609272,0.000000000
Total,Census Place,3600155,Accord,"Accord, NY",302,R,All Wired and Licensed Fixed Wireless,0.920529801,0.910596026,0.910596026,0.903973510,0.897350993,0
Total,Census Place,3600155,Accord,"Accord, NY",302,B,All Wired and Licensed Fixed Wireless,0.884105960,0.619205298,0.592715232,0.354304636,0.208609272,0
Total,Census Place,3600155,Accord,"Accord, NY",302,R,Copper,0,0.000000000,0,0,0,0
Total,Census Place,3600155,Accord,"Accord, NY",302,B,Copper,0,0,0,0,0,0.000000000
Total,Census Place,3600155,Accord,"Accord, NY",302,R,Cable/Fiber,0.897350993,0.897350993,0.897350993,0.897350993,0.897350993,0.000000000
Total,Census Place,3600155,Accord,"Accord, NY",302,B,Cable/Fiber,0.208609272,0.208609272,0.208609272,0.208609272,0.208609272,0
Total,Census Place,3600155,Accord,"Accord, NY",302,R,Cable,0.897350993,0.897350993,0.897350993,0.897350993,0.897350993,0.000000000
Total,Census Place,3600155,Accord,"Accord, NY",302,B,Cable,0.198675497,0.198675497,0.198675497,0.198675497,0.198675497,0
Total,Census Place,3600155,Accord,"Accord, NY",302,R,Fiber,0,0,0.000000000,0,0,0
Total,Census Place,3600155,Accord,"Accord, NY",302,B,Fiber,0.009933775,0.009933775,0.009933775,0.009933775,0.009933775,0
Total,Census Place,3600155,Accord,"Accord, NY",302,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,3600155,Accord,"Accord, NY",302,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000,0
Total,Census Place,3600155,Accord,"Accord, NY",302,R,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0.000000000,0
Total,Census Place,3600155,Accord,"Accord, NY",302,B,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0.000000000
Total,Census Place,3600155,Accord,"Accord, NY",302,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,3600155,Accord,"Accord, NY",302,B,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,3600155,Accord,"Accord, NY",302,R,All Fixed Wireless,0.754966887,0.420529801,0.420529801,0.198675497,0,0
Total,Census Place,3600155,Accord,"Accord, NY",302,B,All Fixed Wireless,0.877483444,0.612582781,0.579470199,0.215231788,0,0
Total,Census Place,3600155,Accord,"Accord, NY",302,R,Unlicensed Fixed Wireless,0,0,0,0.000000000,0,0
Total,Census Place,3600155,Accord,"Accord, NY",302,B,Unlicensed Fixed Wireless,0,0,0,0,0.000000000,0
Total,Census Place,3600155,Accord,"Accord, NY",302,R,Licensed Fixed Wireless,0.754966887,0.420529801,0.420529801,0.198675497,0,0.000000000
Total,Census Place,3600155,Accord,"Accord, NY",302,B,Licensed Fixed Wireless,0.877483444,0.612582781,0.579470199,0.215231788,0,0
Total,Census Place,3600155,Accord,"Accord, NY",302,R,Other,0,0,0.000000000,0,0,0
Total,Census Place,3600155,Accord,"Accord, NY",302,B,Other,0,0,0,0,0.000000000,0
Total,Census Place,3600199,Adams,"Adams, NY",939,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.761448349,0
Total,Census Place,3600199,Adams,"Adams, NY",939,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.184238552,0
Total,Census Place,3600199,Adams,"Adams, NY",939,R,All Wired,0.953141640,0.953141640,0.897763578,0.761448349,0.761448349,0.000000000
Total,Census Place,3600199,Adams,"Adams, NY",939,B,All Wired,0.200212993,0.200212993,0.200212993,0.184238552,0.184238552,0
Total,Census Place,3600199,Adams,"Adams, NY",939,R,Any Terrestrial,0.965921193,0.965921193,0.932907348,0.854100106,0.761448349,0
Total,Census Place,3600199,Adams,"Adams, NY",939,B,Any Terrestrial,0.223642173,0.217252396,0.217252396,0.188498403,0.184238552,0
Total,Census Place,3600199,Adams,"Adams, NY",939,R,All Wired and Licensed Fixed Wireless,0.965921193,0.965921193,0.932907348,0.854100106,0.761448349,0.000000000
Total,Census Place,3600199,Adams,"Adams, NY",939,B,All Wired and Licensed Fixed Wireless,0.223642173,0.217252396,0.217252396,0.188498403,0.184238552,0.000000000
Total,Census Place,3600199,Adams,"Adams, NY",939,R,Copper,0.870074547,0.870074547,0.424920128,0,0,0
Total,Census Place,3600199,Adams,"Adams, NY",939,B,Copper,0.092651757,0.092651757,0.082002130,0,0,0
Total,Census Place,3600199,Adams,"Adams, NY",939,R,Cable/Fiber,0.761448349,0.761448349,0.761448349,0.761448349,0.761448349,0.000000000
Total,Census Place,3600199,Adams,"Adams, NY",939,B,Cable/Fiber,0.184238552,0.184238552,0.184238552,0.184238552,0.184238552,0
Total,Census Place,3600199,Adams,"Adams, NY",939,R,Cable,0.761448349,0.761448349,0.761448349,0.761448349,0.761448349,0
Total,Census Place,3600199,Adams,"Adams, NY",939,B,Cable,0.126730564,0.126730564,0.126730564,0.126730564,0.126730564,0
Total,Census Place,3600199,Adams,"Adams, NY",939,R,Fiber,0.000000000,0,0,0,0,0
Total,Census Place,3600199,Adams,"Adams, NY",939,B,Fiber,0.087326944,0.087326944,0.087326944,0.087326944,0.087326944,0.000000000
Total,Census Place,3600199,Adams,"Adams, NY",939,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,3600199,Adams,"Adams, NY",939,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000,0
Total,Census Place,3600199,Adams,"Adams, NY",939,R,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0.000000000
Total,Census Place,3600199,Adams,"Adams, NY",939,B,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,3600199,Adams,"Adams, NY",939,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,3600199,Adams,"Adams, NY",939,B,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000,0
Total,Census Place,3600199,Adams,"Adams, NY",939,R,All Fixed Wireless,0.462193823,0.462193823,0.462193823,0.405750799,0,0.000000000
Total,Census Place,3600199,Adams,"Adams, NY",939,B,All Fixed Wireless,0.203407881,0.197018104,0.197018104,0.014909478,0,0
Total,Census Place,3600199,Adams,"Adams, NY",939,R,Unlicensed Fixed Wireless,0,0,0,0.000000000,0,0
Total,Census Place,3600199,Adams,"Adams, NY",939,B,Unlicensed Fixed Wireless,0,0,0,0,0,0.000000000
Total,Census Place,3600199,Adams,"Adams, NY",939,R,Licensed Fixed Wireless,0.462193823,0.462193823,0.462193823,0.405750799,0,0
Total,Census Place,3600199,Adams,"Adams, NY",939,B,Licensed Fixed Wireless,0.203407881,0.197018104,0.197018104,0.014909478,0,0
Total,Census Place,3600199,Adams,"Adams, NY",939,R,Other,0,0,0,0,0.000000000,0
Total,Census Place,3600199,Adams,"Adams, NY",939,B,Other,0.000000000,0,0,0,0,0
Total,Census Place,3600232,Adams Center,"Adams Center, NY",720,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.895833333,0
Total,Census Place,3600232,Adams Center,"Adams Center, NY",720,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.088888889,0
Total,Census Place,3600232,Adams Center,"Adams Center, NY",720,R,All Wired,0.930555556,0.930555556,0.904166667,0.895833333,0.895833333,0
Total,Census Place,3600232,Adams Center,"Adams Center, NY",720,B,All Wired,0.100000000,0.100000000,0.093055556,0.088888889,0.088888889,0
Total,Census Place,3600232,Adams Center,"Adams Center, NY",720,R,Any Terrestrial,0.943055556,0.941666667,0.926388889,0.901388889,0.895833333,0
Total,Census Place,3600232,Adams Center,"Adams Center, NY",720,B,Any Terrestrial,0.597222222,0.504166667,0.502777778,0.195833333,0.088888889,0
Total,Census Place,3600232,Adams Center,"Adams Center, NY",720,R,All Wired and Licensed Fixed Wireless,0.943055556,0.941666667,0.926388889,0.901388889,0.895833333,0
Total,Census Place,3600232,Adams Center,"Adams Center, NY",720,B,All Wired and Licensed Fixed Wireless,0.597222222,0.504166667,0.502777778,0.195833333,0.088888889,0
Total,Census Place,3600232,Adams Center,"Adams Center, NY",720,R,Copper,0.781944444,0.781944444,0.234722222,0,0,0.000000000
Total,Census Place,3600232,Adams Center,"Adams Center, NY",720,B,Copper,0.050000000,0.050000000,0.018055556,0,0.000000000,0
Total,Census Place,3600232,Adams Center,"Adams Center, NY",720,R,Cable/Fiber,0.895833333,0.895833333,0.895833333,0.895833333,0.895833333,0
Total,Census Place,3600232,Adams Center,"Adams Center, NY",720,B,Cable/Fiber,0.088888889,0.088888889,0.088888889,0.088888889,0.088888889,0
Total,Census Place,3600232,Adams Center,"Adams Center, NY",720,R,Cable,0.895833333,0.895833333,0.895833333,0.895833333,0.895833333,0.000000000
Total,Census Place,3600232,Adams Center,"Adams Center, NY",720,B,Cable,0.086111111,0.086111111,0.086111111,0.086111111,0.086111111,0
Total,Census Place,3600232,Adams Center,"Adams Center, NY",720,R,Fiber,0,0,0.000000000,0,0,0
Total,Census Place,3600232,Adams Center,"Adams Center, NY",720,B,Fiber,0.009722222,0.009722222,0.009722222,0.009722222,0.009722222,0
Total,Census Place,3600232,Adams Center,"Adams Center, NY",720,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,3600232,Adams Center,"Adams Center, NY",720,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Total,Census Place,3600232,Adams Center,"Adams Center, NY",720,R,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,3600232,Adams Center,"Adams Center, NY",720,B,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,3600232,Adams Center,"Adams Center, NY",720,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,3600232,Adams Center,"Adams Center, NY",720,B,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,3600232,Adams Center,"Adams Center, NY",720,R,All Fixed Wireless,0.526388889,0.429166667,0.429166667,0.112500000,0,0
Total,Census Place,3600232,Adams Center,"Adams Center, NY",720,B,All Fixed Wireless,0.594444444,0.501388889,0.501388889,0.118055556,0.000000000,0
Total,Census Place,3600232,Adams Center,"Adams Center, NY",720,R,Unlicensed Fixed Wireless,0,0,0,0,0.000000000,0
Total,Census Place,3600232,Adams Center,"Adams Center, NY",720,B,Unlicensed Fixed Wireless,0,0,0,0,0,0.000000000
Total,Census Place,3600232,Adams Center,"Adams Center, NY",720,R,Licensed Fixed Wireless,0.526388889,0.429166667,0.429166667,0.112500000,0,0.000000000
Total,Census Place,3600232,Adams Center,"Adams Center, NY",720,B,Licensed Fixed Wireless,0.594444444,0.501388889,0.501388889,0.118055556,0,0
Total,Census Place,3600232,Adams Center,"Adams Center, NY",720,R,Other,0,0,0.000000000,0,0,0
Total,Census Place,3600232,Adams Center,"Adams Center, NY",720,B,Other,0,0,0,0,0.000000000,0
Total,Census Place,3600276,Addison,"Addison, NY",864,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.998842593,0.998842593
Total,Census Place,3600276,Addison,"Addison, NY",864,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.998842593,0.998842593
Total,Census Place,3600276,Addison,"Addison, NY",864,R,All Wired,0.998842593,0.998842593,0.998842593,0.998842593,0.998842593,0.998842593
Total,Census Place,3600276,Addison,"Addison, NY",864,B,All Wired,0.998842593,0.998842593,0.998842593,0.998842593,0.998842593,0.998842593
Total,Census Place,3600276,Addison,"Addison, NY",864,R,Any Terrestrial,0.998842593,0.998842593,0.998842593,0.998842593,0.998842593,0.998842593
Total,Census Place,3600276,Addison,"Addison, NY",864,B,Any Terrestrial,0.998842593,0.998842593,0.998842593,0.998842593,0.998842593,0.998842593
Total,Census Place,3600276,Addison,"Addison, NY",864,R,All Wired and Licensed Fixed Wireless,0.998842593,0.998842593,0.998842593,0.998842593,0.998842593,0.998842593
Total,Census Place,3600276,Addison,"Addison, NY",864,B,All Wired and Licensed Fixed Wireless,0.998842593,0.998842593,0.998842593,0.998842593,0.998842593,0.998842593
Total,Census Place,3600276,Addison,"Addison, NY",864,R,Copper,0,0,0,0,0.000000000,0
Total,Census Place,3600276,Addison,"Addison, NY",864,B,Copper,0,0.000000000,0,0,0,0
Total,Census Place,3600276,Addison,"Addison, NY",864,R,Cable/Fiber,0.998842593,0.998842593,0.998842593,0.998842593,0.998842593,0.998842593
Total,Census Place,3600276,Addison,"Addison, NY",864,B,Cable/Fiber,0.998842593,0.998842593,0.998842593,0.998842593,0.998842593,0.998842593
Total,Census Place,3600276,Addison,"Addison, NY",864,R,Cable,0.906250000,0.906250000,0.906250000,0.906250000,0.906250000,0
Total,Census Place,3600276,Addison,"Addison, NY",864,B,Cable,0.187500000,0.187500000,0.187500000,0.187500000,0.187500000,0
Total,Census Place,3600276,Addison,"Addison, NY",864,R,Fiber,0.998842593,0.998842593,0.998842593,0.998842593,0.998842593,0.998842593
Total,Census Place,3600276,Addison,"Addison, NY",864,B,Fiber,0.998842593,0.998842593,0.998842593,0.998842593,0.998842593,0.998842593
Total,Census Place,3600276,Addison,"Addison, NY",864,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,3600276,Addison,"Addison, NY",864,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000,0
Total,Census Place,3600276,Addison,"Addison, NY",864,R,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0.000000000,0
Total,Census Place,3600276,Addison,"Addison, NY",864,B,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,3600276,Addison,"Addison, NY",864,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000,0
Total,Census Place,3600276,Addison,"Addison, NY",864,B,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,3600276,Addison,"Addison, NY",864,R,All Fixed Wireless,0.901620370,0.900462963,0.900462963,0.890046296,0,0
Total,Census Place,3600276,Addison,"Addison, NY",864,B,All Fixed Wireless,0.996527778,0.995370370,0.995370370,0.968750000,0,0
Total,Census Place,3600276,Addison,"Addison, NY",864,R,Unlicensed Fixed Wireless,0,0.000000000,0,0,0,0
Total,Census Place,3600276,Addison,"Addison, NY",864,B,Unlicensed Fixed Wireless,0.000000000,0,0,0,0,0
Total,Census Place,3600276,Addison,"Addison, NY",864,R,Licensed Fixed Wireless,0.901620370,0.900462963,0.900462963,0.890046296,0,0
Total,Census Place,3600276,Addison,"Addison, NY",864,B,Licensed Fixed Wireless,0.996527778,0.995370370,0.995370370,0.968750000,0,0
Total,Census Place,3600276,Addison,"Addison, NY",864,R,Other,0,0.000000000,0,0,0,0
Total,Census Place,3600276,Addison,"Addison, NY",864,B,Other,0,0,0,0,0,0.000000000
Total,Census Place,3600342,Afton,"Afton, NY",515,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.895145631,0.046601942
Total,Census Place,3600342,Afton,"Afton, NY",515,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.209708738,0.046601942
Total,Census Place,3600342,Afton,"Afton, NY",515,R,All Wired,0.996116505,0.996116505,0.996116505,0.955339806,0.895145631,0.046601942
Total,Census Place,3600342,Afton,"Afton, NY",515,B,All Wired,0.996116505,0.996116505,0.996116505,0.466019417,0.209708738,0.046601942
Total,Census Place,3600342,Afton,"Afton, NY",515,R,Any Terrestrial,0.996116505,0.996116505,0.996116505,0.976699029,0.895145631,0.046601942
Total,Census Place,3600342,Afton,"Afton, NY",515,B,Any Terrestrial,0.998058252,0.998058252,0.998058252,0.968932039,0.209708738,0.046601942
Total,Census Place,3600342,Afton,"Afton, NY",515,R,All Wired and Licensed Fixed Wireless,0.996116505,0.996116505,0.996116505,0.976699029,0.895145631,0.046601942
Total,Census Place,3600342,Afton,"Afton, NY",515,B,All Wired and Licensed Fixed Wireless,0.998058252,0.998058252,0.998058252,0.968932039,0.209708738,0.046601942
Total,Census Place,3600342,Afton,"Afton, NY",515,R,Copper,0.949514563,0.949514563,0.945631068,0.351456311,0,0
Total,Census Place,3600342,Afton,"Afton, NY",515,B,Copper,0.949514563,0.949514563,0.945631068,0.351456311,0.000000000,0
Total,Census Place,3600342,Afton,"Afton, NY",515,R,Cable/Fiber,0.895145631,0.895145631,0.895145631,0.895145631,0.895145631,0.046601942
Total,Census Place,3600342,Afton,"Afton, NY",515,B,Cable/Fiber,0.209708738,0.209708738,0.209708738,0.209708738,0.209708738,0.046601942
