area_data_type,geography_type,geography_id,geography_desc,geography_desc_full,total_units,biz_res,technology,speed_02_02,speed_10_1,speed_25_3,speed_100_20,speed_250_25,speed_1000_100
Total,Census Place,3900142,Aberdeen,"Aberdeen, OH",836,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.886363636,0.886363636
Total,Census Place,3900142,Aberdeen,"Aberdeen, OH",836,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.184210526,0.184210526
Total,Census Place,3900142,Aberdeen,"Aberdeen, OH",836,R,All Wired,0.886363636,0.886363636,0.886363636,0.886363636,0.886363636,0.886363636
Total,Census Place,3900142,Aberdeen,"Aberdeen, OH",836,B,All Wired,0.184210526,0.184210526,0.184210526,0.184210526,0.184210526,0.184210526
Total,Census Place,3900142,Aberdeen,"Aberdeen, OH",836,R,Any Terrestrial,0.888755981,0.886363636,0.886363636,0.886363636,0.886363636,0.886363636
Total,Census Place,3900142,Aberdeen,"Aberdeen, OH",836,B,Any Terrestrial,0.534688995,0.271531100,0.236842105,0.184210526,0.184210526,0.184210526
Total,Census Place,3900142,Aberdeen,"Aberdeen, OH",836,R,All Wired and Licensed Fixed Wireless,0.888755981,0.886363636,0.886363636,0.886363636,0.886363636,0.886363636
Total,Census Place,3900142,Aberdeen,"Aberdeen, OH",836,B,All Wired and Licensed Fixed Wireless,0.534688995,0.271531100,0.236842105,0.184210526,0.184210526,0.184210526
Total,Census Place,3900142,Aberdeen,"Aberdeen, OH",836,R,Copper,0,0.000000000,0,0,0,0
Total,Census Place,3900142,Aberdeen,"Aberdeen, OH",836,B,Copper,0,0,0.000000000,0,0,0
Total,Census Place,3900142,Aberdeen,"Aberdeen, OH",836,R,Cable/Fiber,0.886363636,0.886363636,0.886363636,0.886363636,0.886363636,0.886363636
Total,Census Place,3900142,Aberdeen,"Aberdeen, OH",836,B,Cable/Fiber,0.184210526,0.184210526,0.184210526,0.184210526,0.184210526,0.184210526
Total,Census Place,3900142,Aberdeen,"Aberdeen, OH",836,R,Cable,0.886363636,0.886363636,0.886363636,0.886363636,0.886363636,0.886363636
Total,Census Place,3900142,Aberdeen,"Aberdeen, OH",836,B,Cable,0.165071770,0.165071770,0.165071770,0.165071770,0.165071770,0.165071770
Total,Census Place,3900142,Aberdeen,"Aberdeen, OH",836,R,Fiber,0,0,0,0.000000000,0,0
Total,Census Place,3900142,Aberdeen,"Aberdeen, OH",836,B,Fiber,0.043062201,0.043062201,0.043062201,0.043062201,0.043062201,0.043062201
Total,Census Place,3900142,Aberdeen,"Aberdeen, OH",836,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,3900142,Aberdeen,"Aberdeen, OH",836,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000,0
Total,Census Place,3900142,Aberdeen,"Aberdeen, OH",836,R,GSO Satellite,1.000000000,1.000000000,1.000000000,0.000000000,0,0
Total,Census Place,3900142,Aberdeen,"Aberdeen, OH",836,B,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,3900142,Aberdeen,"Aberdeen, OH",836,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,3900142,Aberdeen,"Aberdeen, OH",836,B,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,3900142,Aberdeen,"Aberdeen, OH",836,R,All Fixed Wireless,0.308612440,0.005980861,0.005980861,0.003588517,0.001196172,0.001196172
Total,Census Place,3900142,Aberdeen,"Aberdeen, OH",836,B,All Fixed Wireless,0.491626794,0.227272727,0.186602871,0,0,0.000000000
Total,Census Place,3900142,Aberdeen,"Aberdeen, OH",836,R,Unlicensed Fixed Wireless,0,0,0,0,0,0.000000000
Total,Census Place,3900142,Aberdeen,"Aberdeen, OH",836,B,Unlicensed Fixed Wireless,0,0.000000000,0,0,0,0
Total,Census Place,3900142,Aberdeen,"Aberdeen, OH",836,R,Licensed Fixed Wireless,0.308612440,0.005980861,0.005980861,0.003588517,0.001196172,0.001196172
Total,Census Place,3900142,Aberdeen,"Aberdeen, OH",836,B,Licensed Fixed Wireless,0.491626794,0.227272727,0.186602871,0,0,0
Total,Census Place,3900142,Aberdeen,"Aberdeen, OH",836,R,Other,0,0,0,0,0.000000000,0
Total,Census Place,3900142,Aberdeen,"Aberdeen, OH",836,B,Other,0,0,0,0,0.000000000,0
Total,Census Place,3900198,Ada,"Ada, OH",1699,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.977045321,0.001765745
Total,Census Place,3900198,Ada,"Ada, OH",1699,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.704532078,0.002354326
Total,Census Place,3900198,Ada,"Ada, OH",1699,R,All Wired,0.979399647,0.972925250,0.966450853,0.931724544,0.931724544,0.001765745
Total,Census Place,3900198,Ada,"Ada, OH",1699,B,All Wired,0.844025898,0.776927604,0.579752796,0.173631548,0.165979988,0.002354326
Total,Census Place,3900198,Ada,"Ada, OH",1699,R,Any Terrestrial,0.998234255,0.995291348,0.995291348,0.994114185,0.977045321,0.001765745
Total,Census Place,3900198,Ada,"Ada, OH",1699,B,Any Terrestrial,0.998234255,0.995879929,0.992937022,0.958210712,0.704532078,0.002354326
Total,Census Place,3900198,Ada,"Ada, OH",1699,R,All Wired and Licensed Fixed Wireless,0.996468511,0.993525603,0.992937022,0.986462625,0.977045321,0.001765745
Total,Census Place,3900198,Ada,"Ada, OH",1699,B,All Wired and Licensed Fixed Wireless,0.991171277,0.969393761,0.939964685,0.782224838,0.704532078,0.002354326
Total,Census Place,3900198,Ada,"Ada, OH",1699,R,Copper,0.738081224,0.665685697,0.460859329,0,0.000000000,0
Total,Census Place,3900198,Ada,"Ada, OH",1699,B,Copper,0.738081224,0.665685697,0.460859329,0,0,0
Total,Census Place,3900198,Ada,"Ada, OH",1699,R,Cable/Fiber,0.931724544,0.931724544,0.931724544,0.931724544,0.931724544,0.001765745
Total,Census Place,3900198,Ada,"Ada, OH",1699,B,Cable/Fiber,0.173631548,0.173631548,0.173631548,0.173631548,0.165979988,0.002354326
Total,Census Place,3900198,Ada,"Ada, OH",1699,R,Cable,0.931724544,0.931724544,0.931724544,0.931724544,0.931724544,0
Total,Census Place,3900198,Ada,"Ada, OH",1699,B,Cable,0.110064744,0.110064744,0.110064744,0.110064744,0.110064744,0
Total,Census Place,3900198,Ada,"Ada, OH",1699,R,Fiber,0.045320777,0.045320777,0.045320777,0.045320777,0.037669217,0.001765745
Total,Census Place,3900198,Ada,"Ada, OH",1699,B,Fiber,0.076515597,0.076515597,0.076515597,0.076515597,0.068864038,0.002354326
Total,Census Place,3900198,Ada,"Ada, OH",1699,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,3900198,Ada,"Ada, OH",1699,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,3900198,Ada,"Ada, OH",1699,R,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0.000000000
Total,Census Place,3900198,Ada,"Ada, OH",1699,B,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,3900198,Ada,"Ada, OH",1699,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,3900198,Ada,"Ada, OH",1699,B,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000,0
Total,Census Place,3900198,Ada,"Ada, OH",1699,R,All Fixed Wireless,0.991171277,0.984696881,0.984696881,0.961742201,0.650382578,0
Total,Census Place,3900198,Ada,"Ada, OH",1699,B,All Fixed Wireless,0.997057092,0.985874044,0.982342554,0.944084756,0.650382578,0
Total,Census Place,3900198,Ada,"Ada, OH",1699,R,Unlicensed Fixed Wireless,0.708652148,0.708652148,0.708652148,0.705709241,0,0
Total,Census Place,3900198,Ada,"Ada, OH",1699,B,Unlicensed Fixed Wireless,0.705709241,0.705709241,0.705709241,0.705709241,0,0
Total,Census Place,3900198,Ada,"Ada, OH",1699,R,Licensed Fixed Wireless,0.977633902,0.955856386,0.955856386,0.897586816,0.650382578,0
Total,Census Place,3900198,Ada,"Ada, OH",1699,B,Licensed Fixed Wireless,0.989405533,0.910535609,0.901118305,0.746909947,0.650382578,0
Total,Census Place,3900198,Ada,"Ada, OH",1699,R,Other,0,0,0,0,0.000000000,0
Total,Census Place,3900198,Ada,"Ada, OH",1699,B,Other,0,0,0,0,0.000000000,0
Total,Census Place,3900380,Adamsville,"Adamsville, OH",74,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.878378378,0.013513514
Total,Census Place,3900380,Adamsville,"Adamsville, OH",74,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.135135135,0
Total,Census Place,3900380,Adamsville,"Adamsville, OH",74,R,All Wired,0.932432432,0.918918919,0.918918919,0.878378378,0.878378378,0.013513514
Total,Census Place,3900380,Adamsville,"Adamsville, OH",74,B,All Wired,0.770270270,0.756756757,0.743243243,0.135135135,0.135135135,0
Total,Census Place,3900380,Adamsville,"Adamsville, OH",74,R,Any Terrestrial,0.945945946,0.932432432,0.932432432,0.891891892,0.878378378,0.013513514
Total,Census Place,3900380,Adamsville,"Adamsville, OH",74,B,Any Terrestrial,0.851351351,0.824324324,0.810810811,0.283783784,0.135135135,0
Total,Census Place,3900380,Adamsville,"Adamsville, OH",74,R,All Wired and Licensed Fixed Wireless,0.932432432,0.918918919,0.918918919,0.878378378,0.878378378,0.013513514
Total,Census Place,3900380,Adamsville,"Adamsville, OH",74,B,All Wired and Licensed Fixed Wireless,0.810810811,0.783783784,0.770270270,0.135135135,0.135135135,0
Total,Census Place,3900380,Adamsville,"Adamsville, OH",74,R,Copper,0.689189189,0.662162162,0.648648649,0,0,0.000000000
Total,Census Place,3900380,Adamsville,"Adamsville, OH",74,B,Copper,0.689189189,0.662162162,0.648648649,0,0.000000000,0
Total,Census Place,3900380,Adamsville,"Adamsville, OH",74,R,Cable/Fiber,0.878378378,0.878378378,0.878378378,0.878378378,0.878378378,0.013513514
Total,Census Place,3900380,Adamsville,"Adamsville, OH",74,B,Cable/Fiber,0.135135135,0.135135135,0.135135135,0.135135135,0.135135135,0.000000000
