area_data_type,geography_type,geography_id,geography_desc,geography_desc_full,total_units,biz_res,technology,speed_02_02,speed_10_1,speed_25_3,speed_100_20,speed_250_25,speed_1000_100
Total,Census Place,4000100,Achille,"Achille, OK",245,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0
Total,Census Place,4000100,Achille,"Achille, OK",245,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0
Total,Census Place,4000100,Achille,"Achille, OK",245,R,All Wired,0.991836735,0.991836735,0.991836735,0.955102041,0.955102041,0
Total,Census Place,4000100,Achille,"Achille, OK",245,B,All Wired,0.971428571,0.971428571,0.971428571,0.955102041,0.955102041,0
Total,Census Place,4000100,Achille,"Achille, OK",245,R,Any Terrestrial,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0
Total,Census Place,4000100,Achille,"Achille, OK",245,B,Any Terrestrial,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0
Total,Census Place,4000100,Achille,"Achille, OK",245,R,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0
Total,Census Place,4000100,Achille,"Achille, OK",245,B,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0
Total,Census Place,4000100,Achille,"Achille, OK",245,R,Copper,0.775510204,0.775510204,0.775510204,0,0,0.000000000
Total,Census Place,4000100,Achille,"Achille, OK",245,B,Copper,0.248979592,0.248979592,0.248979592,0,0,0
Total,Census Place,4000100,Achille,"Achille, OK",245,R,Cable/Fiber,0.955102041,0.955102041,0.955102041,0.955102041,0.955102041,0
Total,Census Place,4000100,Achille,"Achille, OK",245,B,Cable/Fiber,0.955102041,0.955102041,0.955102041,0.955102041,0.955102041,0
Total,Census Place,4000100,Achille,"Achille, OK",245,R,Cable,0.955102041,0.955102041,0.955102041,0.955102041,0.955102041,0
Total,Census Place,4000100,Achille,"Achille, OK",245,B,Cable,0.955102041,0.955102041,0.955102041,0.955102041,0.955102041,0
Total,Census Place,4000100,Achille,"Achille, OK",245,R,Fiber,0,0.000000000,0,0,0,0
Total,Census Place,4000100,Achille,"Achille, OK",245,B,Fiber,0.000000000,0,0,0,0,0
Total,Census Place,4000100,Achille,"Achille, OK",245,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,4000100,Achille,"Achille, OK",245,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,4000100,Achille,"Achille, OK",245,R,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,4000100,Achille,"Achille, OK",245,B,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0.000000000,0
Total,Census Place,4000100,Achille,"Achille, OK",245,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000,0
Total,Census Place,4000100,Achille,"Achille, OK",245,B,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
