area_data_type,geography_type,geography_id,geography_desc,geography_desc_full,total_units,biz_res,technology,speed_02_02,speed_10_1,speed_25_3,speed_100_20,speed_250_25,speed_1000_100
Total,Census Place,4100275,Adair Village,"Adair Village, OR",475,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.995789474,0.949473684
Total,Census Place,4100275,Adair Village,"Adair Village, OR",475,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.995789474,0.949473684
Total,Census Place,4100275,Adair Village,"Adair Village, OR",475,R,All Wired,1.000000000,0.995789474,0.995789474,0.995789474,0.995789474,0.949473684
Total,Census Place,4100275,Adair Village,"Adair Village, OR",475,B,All Wired,1.000000000,0.995789474,0.995789474,0.995789474,0.995789474,0.949473684
Total,Census Place,4100275,Adair Village,"Adair Village, OR",475,R,Any Terrestrial,1.000000000,1.000000000,1.000000000,0.995789474,0.995789474,0.949473684
Total,Census Place,4100275,Adair Village,"Adair Village, OR",475,B,Any Terrestrial,1.000000000,1.000000000,1.000000000,1.000000000,0.995789474,0.949473684
Total,Census Place,4100275,Adair Village,"Adair Village, OR",475,R,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,0.995789474,0.995789474,0.949473684
Total,Census Place,4100275,Adair Village,"Adair Village, OR",475,B,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,1.000000000,0.995789474,0.949473684
Total,Census Place,4100275,Adair Village,"Adair Village, OR",475,R,Copper,0.591578947,0.254736842,0,0,0,0.000000000
Total,Census Place,4100275,Adair Village,"Adair Village, OR",475,B,Copper,0.591578947,0.254736842,0,0,0.000000000,0
Total,Census Place,4100275,Adair Village,"Adair Village, OR",475,R,Cable/Fiber,0.995789474,0.995789474,0.995789474,0.995789474,0.995789474,0.949473684
Total,Census Place,4100275,Adair Village,"Adair Village, OR",475,B,Cable/Fiber,0.995789474,0.995789474,0.995789474,0.995789474,0.995789474,0.949473684
Total,Census Place,4100275,Adair Village,"Adair Village, OR",475,R,Cable,0.993684211,0.993684211,0.993684211,0.993684211,0.993684211,0
Total,Census Place,4100275,Adair Village,"Adair Village, OR",475,B,Cable,0.993684211,0.993684211,0.993684211,0.993684211,0.993684211,0
Total,Census Place,4100275,Adair Village,"Adair Village, OR",475,R,Fiber,0.949473684,0.949473684,0.949473684,0.949473684,0.949473684,0.949473684
Total,Census Place,4100275,Adair Village,"Adair Village, OR",475,B,Fiber,0.949473684,0.949473684,0.949473684,0.949473684,0.949473684,0.949473684
Total,Census Place,4100275,Adair Village,"Adair Village, OR",475,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Total,Census Place,4100275,Adair Village,"Adair Village, OR",475,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,4100275,Adair Village,"Adair Village, OR",475,R,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0.000000000
Total,Census Place,4100275,Adair Village,"Adair Village, OR",475,B,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,4100275,Adair Village,"Adair Village, OR",475,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Total,Census Place,4100275,Adair Village,"Adair Village, OR",475,B,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,4100275,Adair Village,"Adair Village, OR",475,R,All Fixed Wireless,0.989473684,0.844210526,0.831578947,0.437894737,0,0
Total,Census Place,4100275,Adair Village,"Adair Village, OR",475,B,All Fixed Wireless,0.997894737,0.842105263,0.829473684,0.397894737,0,0.000000000
Total,Census Place,4100275,Adair Village,"Adair Village, OR",475,R,Unlicensed Fixed Wireless,0.086315789,0.086315789,0.065263158,0.004210526,0,0
Total,Census Place,4100275,Adair Village,"Adair Village, OR",475,B,Unlicensed Fixed Wireless,0.084210526,0.084210526,0.063157895,0.004210526,0,0
Total,Census Place,4100275,Adair Village,"Adair Village, OR",475,R,Licensed Fixed Wireless,0.983157895,0.823157895,0.823157895,0.437894737,0,0.000000000
Total,Census Place,4100275,Adair Village,"Adair Village, OR",475,B,Licensed Fixed Wireless,0.997894737,0.829473684,0.829473684,0.397894737,0,0
Total,Census Place,4100275,Adair Village,"Adair Village, OR",475,R,Other,0,0,0,0,0,0.000000000
Total,Census Place,4100275,Adair Village,"Adair Village, OR",475,B,Other,0,0,0,0.000000000,0,0
Total,Census Place,4100350,Adams,"Adams, OR",172,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,4100350,Adams,"Adams, OR",172,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,4100350,Adams,"Adams, OR",172,R,All Wired,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,4100350,Adams,"Adams, OR",172,B,All Wired,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,4100350,Adams,"Adams, OR",172,R,Any Terrestrial,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,4100350,Adams,"Adams, OR",172,B,Any Terrestrial,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,4100350,Adams,"Adams, OR",172,R,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,4100350,Adams,"Adams, OR",172,B,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,4100350,Adams,"Adams, OR",172,R,Copper,0.883720930,0.000000000,0,0,0,0
Total,Census Place,4100350,Adams,"Adams, OR",172,B,Copper,0.883720930,0,0,0,0,0
Total,Census Place,4100350,Adams,"Adams, OR",172,R,Cable/Fiber,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,4100350,Adams,"Adams, OR",172,B,Cable/Fiber,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,4100350,Adams,"Adams, OR",172,R,Cable,0,0.000000000,0,0,0,0
Total,Census Place,4100350,Adams,"Adams, OR",172,B,Cable,0,0,0,0,0.000000000,0
