area_data_type,geography_type,geography_id,geography_desc,geography_desc_full,total_units,biz_res,technology,speed_02_02,speed_10_1,speed_25_3,speed_100_20,speed_250_25,speed_1000_100
Total,Census Place,4403520,Ashaway,"Ashaway, RI",720,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.975000000,0
Total,Census Place,4403520,Ashaway,"Ashaway, RI",720,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.866666667,0.001388889
Total,Census Place,4403520,Ashaway,"Ashaway, RI",720,R,All Wired,0.975000000,0.975000000,0.975000000,0.975000000,0.975000000,0
Total,Census Place,4403520,Ashaway,"Ashaway, RI",720,B,All Wired,0.866666667,0.866666667,0.866666667,0.866666667,0.866666667,0.001388889
Total,Census Place,4403520,Ashaway,"Ashaway, RI",720,R,Any Terrestrial,0.983333333,0.976388889,0.976388889,0.975000000,0.975000000,0
Total,Census Place,4403520,Ashaway,"Ashaway, RI",720,B,Any Terrestrial,0.952777778,0.916666667,0.898611111,0.866666667,0.866666667,0.001388889
Total,Census Place,4403520,Ashaway,"Ashaway, RI",720,R,All Wired and Licensed Fixed Wireless,0.983333333,0.976388889,0.976388889,0.975000000,0.975000000,0
Total,Census Place,4403520,Ashaway,"Ashaway, RI",720,B,All Wired and Licensed Fixed Wireless,0.952777778,0.916666667,0.898611111,0.866666667,0.866666667,0.001388889
Total,Census Place,4403520,Ashaway,"Ashaway, RI",720,R,Copper,0,0,0,0.000000000,0,0
Total,Census Place,4403520,Ashaway,"Ashaway, RI",720,B,Copper,0,0,0,0,0,0.000000000
Total,Census Place,4403520,Ashaway,"Ashaway, RI",720,R,Cable/Fiber,0.975000000,0.975000000,0.975000000,0.975000000,0.975000000,0.000000000
Total,Census Place,4403520,Ashaway,"Ashaway, RI",720,B,Cable/Fiber,0.866666667,0.866666667,0.866666667,0.866666667,0.866666667,0.001388889
Total,Census Place,4403520,Ashaway,"Ashaway, RI",720,R,Cable,0.883333333,0.883333333,0.883333333,0.883333333,0.883333333,0
Total,Census Place,4403520,Ashaway,"Ashaway, RI",720,B,Cable,0.088888889,0.088888889,0.088888889,0.088888889,0.088888889,0
Total,Census Place,4403520,Ashaway,"Ashaway, RI",720,R,Fiber,0.847222222,0.847222222,0.847222222,0.847222222,0.847222222,0.000000000
Total,Census Place,4403520,Ashaway,"Ashaway, RI",720,B,Fiber,0.847222222,0.847222222,0.847222222,0.847222222,0.847222222,0.001388889
Total,Census Place,4403520,Ashaway,"Ashaway, RI",720,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,4403520,Ashaway,"Ashaway, RI",720,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,4403520,Ashaway,"Ashaway, RI",720,R,GSO Satellite,1.000000000,1.000000000,1.000000000,0.000000000,0,0
Total,Census Place,4403520,Ashaway,"Ashaway, RI",720,B,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0.000000000,0
Total,Census Place,4403520,Ashaway,"Ashaway, RI",720,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,4403520,Ashaway,"Ashaway, RI",720,B,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,4403520,Ashaway,"Ashaway, RI",720,R,All Fixed Wireless,0.562500000,0.236111111,0.236111111,0.037500000,0,0
