area_data_type,geography_type,geography_id,geography_desc,geography_desc_full,total_units,biz_res,technology,speed_02_02,speed_10_1,speed_25_3,speed_100_20,speed_250_25,speed_1000_100
Total,Census Place,4600100,Aberdeen,"Aberdeen, SD",14938,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.998460303,0.844624448
Total,Census Place,4600100,Aberdeen,"Aberdeen, SD",14938,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.998460303,0.844624448
Total,Census Place,4600100,Aberdeen,"Aberdeen, SD",14938,R,All Wired,0.999330566,0.998928906,0.998728076,0.998192529,0.998192529,0.806265899
Total,Census Place,4600100,Aberdeen,"Aberdeen, SD",14938,B,All Wired,0.999330566,0.998928906,0.998728076,0.998192529,0.998192529,0.806265899
Total,Census Place,4600100,Aberdeen,"Aberdeen, SD",14938,R,Any Terrestrial,0.999732227,0.999397510,0.999397510,0.998995850,0.998460303,0.844624448
Total,Census Place,4600100,Aberdeen,"Aberdeen, SD",14938,B,Any Terrestrial,0.999799170,0.999665283,0.999665283,0.998795019,0.998460303,0.844624448
Total,Census Place,4600100,Aberdeen,"Aberdeen, SD",14938,R,All Wired and Licensed Fixed Wireless,0.999732227,0.999397510,0.999397510,0.998928906,0.998393359,0.834917660
Total,Census Place,4600100,Aberdeen,"Aberdeen, SD",14938,B,All Wired and Licensed Fixed Wireless,0.999799170,0.999665283,0.999665283,0.998728076,0.998393359,0.834917660
Total,Census Place,4600100,Aberdeen,"Aberdeen, SD",14938,R,Copper,0.888204579,0.750569019,0.697215156,0,0.000000000,0
Total,Census Place,4600100,Aberdeen,"Aberdeen, SD",14938,B,Copper,0.888204579,0.750569019,0.697215156,0,0.000000000,0
Total,Census Place,4600100,Aberdeen,"Aberdeen, SD",14938,R,Cable/Fiber,0.998192529,0.998192529,0.998192529,0.998192529,0.998192529,0.806265899
Total,Census Place,4600100,Aberdeen,"Aberdeen, SD",14938,B,Cable/Fiber,0.998192529,0.998192529,0.998192529,0.998192529,0.998192529,0.806265899
Total,Census Place,4600100,Aberdeen,"Aberdeen, SD",14938,R,Cable,0.983130272,0.983130272,0.983130272,0.983130272,0.983130272,0.068683893
Total,Census Place,4600100,Aberdeen,"Aberdeen, SD",14938,B,Cable,0.983130272,0.983130272,0.983130272,0.983130272,0.983130272,0.068683893
Total,Census Place,4600100,Aberdeen,"Aberdeen, SD",14938,R,Fiber,0.786182889,0.786182889,0.786182889,0.786182889,0.786182889,0.786182889
Total,Census Place,4600100,Aberdeen,"Aberdeen, SD",14938,B,Fiber,0.786182889,0.786182889,0.786182889,0.786182889,0.786182889,0.786182889
Total,Census Place,4600100,Aberdeen,"Aberdeen, SD",14938,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,4600100,Aberdeen,"Aberdeen, SD",14938,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Total,Census Place,4600100,Aberdeen,"Aberdeen, SD",14938,R,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0.000000000,0
Total,Census Place,4600100,Aberdeen,"Aberdeen, SD",14938,B,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0.000000000,0
Total,Census Place,4600100,Aberdeen,"Aberdeen, SD",14938,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,4600100,Aberdeen,"Aberdeen, SD",14938,B,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,4600100,Aberdeen,"Aberdeen, SD",14938,R,All Fixed Wireless,0.673784978,0.664546793,0.664546793,0.610925157,0.362096666,0.362096666
Total,Census Place,4600100,Aberdeen,"Aberdeen, SD",14938,B,All Fixed Wireless,0.728009104,0.726737180,0.700562324,0.502209131,0.362096666,0.362096666
Total,Census Place,4600100,Aberdeen,"Aberdeen, SD",14938,R,Unlicensed Fixed Wireless,0.183357879,0.183357879,0.183357879,0.183357879,0.183357879,0.183357879
Total,Census Place,4600100,Aberdeen,"Aberdeen, SD",14938,B,Unlicensed Fixed Wireless,0.183357879,0.183357879,0.183357879,0.183357879,0.183357879,0.183357879
Total,Census Place,4600100,Aberdeen,"Aberdeen, SD",14938,R,Licensed Fixed Wireless,0.570692194,0.560182086,0.560182086,0.467800241,0.178738787,0.178738787
Total,Census Place,4600100,Aberdeen,"Aberdeen, SD",14938,B,Licensed Fixed Wireless,0.681617352,0.679408221,0.647275405,0.329227474,0.178738787,0.178738787
Total,Census Place,4600100,Aberdeen,"Aberdeen, SD",14938,R,Other,0,0,0,0.000000000,0,0
Total,Census Place,4600100,Aberdeen,"Aberdeen, SD",14938,B,Other,0,0,0,0,0,0.000000000
Total,Census Place,4600460,Agar,"Agar, SD",76,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,4600460,Agar,"Agar, SD",76,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,4600460,Agar,"Agar, SD",76,R,All Wired,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,4600460,Agar,"Agar, SD",76,B,All Wired,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,4600460,Agar,"Agar, SD",76,R,Any Terrestrial,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,4600460,Agar,"Agar, SD",76,B,Any Terrestrial,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,4600460,Agar,"Agar, SD",76,R,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,4600460,Agar,"Agar, SD",76,B,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,4600460,Agar,"Agar, SD",76,R,Copper,0,0.000000000,0,0,0,0
Total,Census Place,4600460,Agar,"Agar, SD",76,B,Copper,0,0,0,0,0,0.000000000
Total,Census Place,4600460,Agar,"Agar, SD",76,R,Cable/Fiber,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,4600460,Agar,"Agar, SD",76,B,Cable/Fiber,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,4600460,Agar,"Agar, SD",76,R,Cable,0,0,0,0.000000000,0,0
Total,Census Place,4600460,Agar,"Agar, SD",76,B,Cable,0,0,0,0,0.000000000,0
Total,Census Place,4600460,Agar,"Agar, SD",76,R,Fiber,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,4600460,Agar,"Agar, SD",76,B,Fiber,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,4600460,Agar,"Agar, SD",76,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,4600460,Agar,"Agar, SD",76,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Total,Census Place,4600460,Agar,"Agar, SD",76,R,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,4600460,Agar,"Agar, SD",76,B,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0.000000000,0
Total,Census Place,4600460,Agar,"Agar, SD",76,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Total,Census Place,4600460,Agar,"Agar, SD",76,B,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000,0
Total,Census Place,4600460,Agar,"Agar, SD",76,R,All Fixed Wireless,0.723684211,0.723684211,0.723684211,0.000000000,0,0
Total,Census Place,4600460,Agar,"Agar, SD",76,B,All Fixed Wireless,0.815789474,0.815789474,0.815789474,0,0,0
Total,Census Place,4600460,Agar,"Agar, SD",76,R,Unlicensed Fixed Wireless,0.710526316,0.710526316,0.710526316,0,0.000000000,0
Total,Census Place,4600460,Agar,"Agar, SD",76,B,Unlicensed Fixed Wireless,0.710526316,0.710526316,0.710526316,0,0,0
Total,Census Place,4600460,Agar,"Agar, SD",76,R,Licensed Fixed Wireless,0.144736842,0.144736842,0.144736842,0,0.000000000,0
Total,Census Place,4600460,Agar,"Agar, SD",76,B,Licensed Fixed Wireless,0.381578947,0.381578947,0.381578947,0.000000000,0,0
Total,Census Place,4600460,Agar,"Agar, SD",76,R,Other,0.000000000,0,0,0,0,0
Total,Census Place,4600460,Agar,"Agar, SD",76,B,Other,0,0.000000000,0,0,0,0
Total,Census Place,4600520,Agency Village,"Agency Village, SD",479,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,4600520,Agency Village,"Agency Village, SD",479,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,4600520,Agency Village,"Agency Village, SD",479,R,All Wired,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,4600520,Agency Village,"Agency Village, SD",479,B,All Wired,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,4600520,Agency Village,"Agency Village, SD",479,R,Any Terrestrial,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,4600520,Agency Village,"Agency Village, SD",479,B,Any Terrestrial,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,4600520,Agency Village,"Agency Village, SD",479,R,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,4600520,Agency Village,"Agency Village, SD",479,B,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,4600520,Agency Village,"Agency Village, SD",479,R,Copper,0.000000000,0,0,0,0,0
Total,Census Place,4600520,Agency Village,"Agency Village, SD",479,B,Copper,0,0,0,0.000000000,0,0
Total,Census Place,4600520,Agency Village,"Agency Village, SD",479,R,Cable/Fiber,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,4600520,Agency Village,"Agency Village, SD",479,B,Cable/Fiber,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,4600520,Agency Village,"Agency Village, SD",479,R,Cable,0,0,0,0,0.000000000,0
Total,Census Place,4600520,Agency Village,"Agency Village, SD",479,B,Cable,0.000000000,0,0,0,0,0
Total,Census Place,4600520,Agency Village,"Agency Village, SD",479,R,Fiber,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,4600520,Agency Village,"Agency Village, SD",479,B,Fiber,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,4600520,Agency Village,"Agency Village, SD",479,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,4600520,Agency Village,"Agency Village, SD",479,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000,0
Total,Census Place,4600520,Agency Village,"Agency Village, SD",479,R,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0.000000000,0
Total,Census Place,4600520,Agency Village,"Agency Village, SD",479,B,GSO Satellite,1.000000000,1.000000000,1.000000000,0.000000000,0,0
Total,Census Place,4600520,Agency Village,"Agency Village, SD",479,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
