area_data_type,geography_type,geography_id,geography_desc,geography_desc_full,total_units,biz_res,technology,speed_02_02,speed_10_1,speed_25_3,speed_100_20,speed_250_25,speed_1000_100
Total,Census Place,4700200,Adams,"Adams, TN",316,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.977848101,0.870253165
Total,Census Place,4700200,Adams,"Adams, TN",316,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.933544304,0.202531646
Total,Census Place,4700200,Adams,"Adams, TN",316,R,All Wired,0.984177215,0.981012658,0.977848101,0.977848101,0.977848101,0.870253165
Total,Census Place,4700200,Adams,"Adams, TN",316,B,All Wired,0.965189873,0.936708861,0.933544304,0.933544304,0.933544304,0.202531646
Total,Census Place,4700200,Adams,"Adams, TN",316,R,Any Terrestrial,0.987341772,0.984177215,0.981012658,0.981012658,0.977848101,0.870253165
Total,Census Place,4700200,Adams,"Adams, TN",316,B,Any Terrestrial,0.968354430,0.946202532,0.946202532,0.939873418,0.933544304,0.202531646
Total,Census Place,4700200,Adams,"Adams, TN",316,R,All Wired and Licensed Fixed Wireless,0.987341772,0.984177215,0.981012658,0.981012658,0.977848101,0.870253165
Total,Census Place,4700200,Adams,"Adams, TN",316,B,All Wired and Licensed Fixed Wireless,0.968354430,0.946202532,0.946202532,0.939873418,0.933544304,0.202531646
Total,Census Place,4700200,Adams,"Adams, TN",316,R,Copper,0.762658228,0.414556962,0,0,0,0
Total,Census Place,4700200,Adams,"Adams, TN",316,B,Copper,0.762658228,0.414556962,0,0.000000000,0,0
Total,Census Place,4700200,Adams,"Adams, TN",316,R,Cable/Fiber,0.977848101,0.977848101,0.977848101,0.977848101,0.977848101,0.870253165
Total,Census Place,4700200,Adams,"Adams, TN",316,B,Cable/Fiber,0.933544304,0.933544304,0.933544304,0.933544304,0.933544304,0.202531646
Total,Census Place,4700200,Adams,"Adams, TN",316,R,Cable,0.911392405,0.911392405,0.911392405,0.911392405,0.911392405,0
Total,Census Place,4700200,Adams,"Adams, TN",316,B,Cable,0.911392405,0.911392405,0.911392405,0.911392405,0.911392405,0.000000000
Total,Census Place,4700200,Adams,"Adams, TN",316,R,Fiber,0.870253165,0.870253165,0.870253165,0.870253165,0.870253165,0.870253165
Total,Census Place,4700200,Adams,"Adams, TN",316,B,Fiber,0.202531646,0.202531646,0.202531646,0.202531646,0.202531646,0.202531646
Total,Census Place,4700200,Adams,"Adams, TN",316,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Total,Census Place,4700200,Adams,"Adams, TN",316,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,4700200,Adams,"Adams, TN",316,R,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,4700200,Adams,"Adams, TN",316,B,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
