area_data_type,geography_type,geography_id,geography_desc,geography_desc_full,total_units,biz_res,technology,speed_02_02,speed_10_1,speed_25_3,speed_100_20,speed_250_25,speed_1000_100
Total,Census Place,7816300,Charlotte Amalie,"Charlotte Amalie, VI",2849,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,7816300,Charlotte Amalie,"Charlotte Amalie, VI",2849,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.328887329,0.328887329
Total,Census Place,7816300,Charlotte Amalie,"Charlotte Amalie, VI",2849,R,All Wired,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,7816300,Charlotte Amalie,"Charlotte Amalie, VI",2849,B,All Wired,0.328887329,0.328887329,0.328887329,0.328887329,0.328887329,0.328887329
Total,Census Place,7816300,Charlotte Amalie,"Charlotte Amalie, VI",2849,R,Any Terrestrial,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,7816300,Charlotte Amalie,"Charlotte Amalie, VI",2849,B,Any Terrestrial,0.871533872,0.871533872,0.871533872,0.795015795,0.328887329,0.328887329
Total,Census Place,7816300,Charlotte Amalie,"Charlotte Amalie, VI",2849,R,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,7816300,Charlotte Amalie,"Charlotte Amalie, VI",2849,B,All Wired and Licensed Fixed Wireless,0.328887329,0.328887329,0.328887329,0.328887329,0.328887329,0.328887329
Total,Census Place,7816300,Charlotte Amalie,"Charlotte Amalie, VI",2849,R,Copper,0.000000000,0,0,0,0,0
Total,Census Place,7816300,Charlotte Amalie,"Charlotte Amalie, VI",2849,B,Copper,0.000000000,0,0,0,0,0
Total,Census Place,7816300,Charlotte Amalie,"Charlotte Amalie, VI",2849,R,Cable/Fiber,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,7816300,Charlotte Amalie,"Charlotte Amalie, VI",2849,B,Cable/Fiber,0.328887329,0.328887329,0.328887329,0.328887329,0.328887329,0.328887329
Total,Census Place,7816300,Charlotte Amalie,"Charlotte Amalie, VI",2849,R,Cable,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,7816300,Charlotte Amalie,"Charlotte Amalie, VI",2849,B,Cable,0.097578098,0.097578098,0.097578098,0.097578098,0.097578098,0.097578098
