area_data_type,geography_type,geography_id,geography_desc,geography_desc_full,total_units,biz_res,technology,speed_02_02,speed_10_1,speed_25_3,speed_100_20,speed_250_25,speed_1000_100
Total,Census Place,5100110,Abbs Valley,"Abbs Valley, VA",195,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.994871795,0.994871795
Total,Census Place,5100110,Abbs Valley,"Abbs Valley, VA",195,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.994871795,0.994871795
Total,Census Place,5100110,Abbs Valley,"Abbs Valley, VA",195,R,All Wired,0.994871795,0.994871795,0.994871795,0.994871795,0.994871795,0.994871795
Total,Census Place,5100110,Abbs Valley,"Abbs Valley, VA",195,B,All Wired,0.994871795,0.994871795,0.994871795,0.994871795,0.994871795,0.994871795
Total,Census Place,5100110,Abbs Valley,"Abbs Valley, VA",195,R,Any Terrestrial,0.994871795,0.994871795,0.994871795,0.994871795,0.994871795,0.994871795
Total,Census Place,5100110,Abbs Valley,"Abbs Valley, VA",195,B,Any Terrestrial,0.994871795,0.994871795,0.994871795,0.994871795,0.994871795,0.994871795
Total,Census Place,5100110,Abbs Valley,"Abbs Valley, VA",195,R,All Wired and Licensed Fixed Wireless,0.994871795,0.994871795,0.994871795,0.994871795,0.994871795,0.994871795
Total,Census Place,5100110,Abbs Valley,"Abbs Valley, VA",195,B,All Wired and Licensed Fixed Wireless,0.994871795,0.994871795,0.994871795,0.994871795,0.994871795,0.994871795
Total,Census Place,5100110,Abbs Valley,"Abbs Valley, VA",195,R,Copper,0.000000000,0,0,0,0,0
Total,Census Place,5100110,Abbs Valley,"Abbs Valley, VA",195,B,Copper,0,0,0.000000000,0,0,0
Total,Census Place,5100110,Abbs Valley,"Abbs Valley, VA",195,R,Cable/Fiber,0.994871795,0.994871795,0.994871795,0.994871795,0.994871795,0.994871795
Total,Census Place,5100110,Abbs Valley,"Abbs Valley, VA",195,B,Cable/Fiber,0.994871795,0.994871795,0.994871795,0.994871795,0.994871795,0.994871795
Total,Census Place,5100110,Abbs Valley,"Abbs Valley, VA",195,R,Cable,0.938461538,0.938461538,0.938461538,0.938461538,0.938461538,0
