area_data_type,geography_type,geography_id,geography_desc,geography_desc_full,total_units,biz_res,technology,speed_02_02,speed_10_1,speed_25_3,speed_100_20,speed_250_25,speed_1000_100
Total,Census Place,5300100,Aberdeen,"Aberdeen, WA",7888,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.993154158,0.525862069
Total,Census Place,5300100,Aberdeen,"Aberdeen, WA",7888,B,Any Technology,1.000000000,1.000000000,1.000000000,0.998351927,0.994548682,0.527256592
Total,Census Place,5300100,Aberdeen,"Aberdeen, WA",7888,R,All Wired,0.997591278,0.997084178,0.993280933,0.993154158,0.993154158,0.525862069
Total,Census Place,5300100,Aberdeen,"Aberdeen, WA",7888,B,All Wired,0.997718053,0.997210953,0.994802231,0.994675456,0.994548682,0.527256592
Total,Census Place,5300100,Aberdeen,"Aberdeen, WA",7888,R,Any Terrestrial,0.997718053,0.997337728,0.993407708,0.993280933,0.993154158,0.525862069
Total,Census Place,5300100,Aberdeen,"Aberdeen, WA",7888,B,Any Terrestrial,0.999873225,0.999873225,0.999619675,0.996830629,0.994548682,0.527256592
Total,Census Place,5300100,Aberdeen,"Aberdeen, WA",7888,R,All Wired and Licensed Fixed Wireless,0.997718053,0.997337728,0.993407708,0.993280933,0.993154158,0.525862069
Total,Census Place,5300100,Aberdeen,"Aberdeen, WA",7888,B,All Wired and Licensed Fixed Wireless,0.999873225,0.999873225,0.999619675,0.996830629,0.994548682,0.527256592
Total,Census Place,5300100,Aberdeen,"Aberdeen, WA",7888,R,Copper,0.372844828,0.186359026,0.029792089,0,0,0.000000000
Total,Census Place,5300100,Aberdeen,"Aberdeen, WA",7888,B,Copper,0.372844828,0.186359026,0.029792089,0,0.000000000,0
Total,Census Place,5300100,Aberdeen,"Aberdeen, WA",7888,R,Cable/Fiber,0.993154158,0.993154158,0.993154158,0.993154158,0.993154158,0.525862069
Total,Census Place,5300100,Aberdeen,"Aberdeen, WA",7888,B,Cable/Fiber,0.994675456,0.994675456,0.994675456,0.994675456,0.994548682,0.527256592
Total,Census Place,5300100,Aberdeen,"Aberdeen, WA",7888,R,Cable,0.992393509,0.992393509,0.992393509,0.992393509,0.992393509,0
Total,Census Place,5300100,Aberdeen,"Aberdeen, WA",7888,B,Cable,0.992393509,0.992393509,0.992393509,0.992393509,0.992393509,0
Total,Census Place,5300100,Aberdeen,"Aberdeen, WA",7888,R,Fiber,0.603321501,0.603321501,0.603321501,0.603321501,0.603321501,0.525862069
Total,Census Place,5300100,Aberdeen,"Aberdeen, WA",7888,B,Fiber,0.605983773,0.605983773,0.605983773,0.605349899,0.604716024,0.527256592
Total,Census Place,5300100,Aberdeen,"Aberdeen, WA",7888,R,All Satellite,1.000000000,1.000000000,1.000000000,0.997084178,0,0
Total,Census Place,5300100,Aberdeen,"Aberdeen, WA",7888,B,All Satellite,1.000000000,1.000000000,1.000000000,0.658975659,0,0
Total,Census Place,5300100,Aberdeen,"Aberdeen, WA",7888,R,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,5300100,Aberdeen,"Aberdeen, WA",7888,B,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0.000000000,0
Total,Census Place,5300100,Aberdeen,"Aberdeen, WA",7888,R,NGSO Satellite,0.997084178,0.997084178,0.997084178,0.997084178,0,0.000000000
Total,Census Place,5300100,Aberdeen,"Aberdeen, WA",7888,B,NGSO Satellite,0.658975659,0.658975659,0.658975659,0.658975659,0.000000000,0
Total,Census Place,5300100,Aberdeen,"Aberdeen, WA",7888,R,All Fixed Wireless,0.899340771,0.892748479,0.687246450,0.207276876,0.000000000,0
Total,Census Place,5300100,Aberdeen,"Aberdeen, WA",7888,B,All Fixed Wireless,0.950177485,0.328853955,0.248605477,0.053498986,0,0
Total,Census Place,5300100,Aberdeen,"Aberdeen, WA",7888,R,Unlicensed Fixed Wireless,0,0,0,0,0,0.000000000
Total,Census Place,5300100,Aberdeen,"Aberdeen, WA",7888,B,Unlicensed Fixed Wireless,0,0,0.000000000,0,0,0
Total,Census Place,5300100,Aberdeen,"Aberdeen, WA",7888,R,Licensed Fixed Wireless,0.899340771,0.892748479,0.687246450,0.207276876,0,0
Total,Census Place,5300100,Aberdeen,"Aberdeen, WA",7888,B,Licensed Fixed Wireless,0.950177485,0.328853955,0.248605477,0.053498986,0,0
Total,Census Place,5300100,Aberdeen,"Aberdeen, WA",7888,R,Other,0.000000000,0,0,0,0,0
Total,Census Place,5300100,Aberdeen,"Aberdeen, WA",7888,B,Other,0.000000000,0,0,0,0,0
