area_data_type,geography_type,geography_id,geography_desc,geography_desc_full,total_units,biz_res,technology,speed_02_02,speed_10_1,speed_25_3,speed_100_20,speed_250_25,speed_1000_100
Total,Census Place,5500100,Abbotsford,"Abbotsford, WI",1281,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.844652615,0
Total,Census Place,5500100,Abbotsford,"Abbotsford, WI",1281,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.401249024,0.001561280
Total,Census Place,5500100,Abbotsford,"Abbotsford, WI",1281,R,All Wired,0.896174863,0.896174863,0.865729899,0.844652615,0.844652615,0
Total,Census Place,5500100,Abbotsford,"Abbotsford, WI",1281,B,All Wired,0.416861827,0.416861827,0.407494145,0.401249024,0.401249024,0.001561280
Total,Census Place,5500100,Abbotsford,"Abbotsford, WI",1281,R,Any Terrestrial,0.997658080,0.997658080,0.997658080,0.855581577,0.844652615,0
Total,Census Place,5500100,Abbotsford,"Abbotsford, WI",1281,B,Any Terrestrial,1.000000000,1.000000000,1.000000000,0.402029664,0.401249024,0.001561280
Total,Census Place,5500100,Abbotsford,"Abbotsford, WI",1281,R,All Wired and Licensed Fixed Wireless,0.995316159,0.995316159,0.995316159,0.855581577,0.844652615,0
Total,Census Place,5500100,Abbotsford,"Abbotsford, WI",1281,B,All Wired and Licensed Fixed Wireless,0.985167838,0.985167838,0.983606557,0.402029664,0.401249024,0.001561280
Total,Census Place,5500100,Abbotsford,"Abbotsford, WI",1281,R,Copper,0.629195941,0.629195941,0.120218579,0,0,0
Total,Census Place,5500100,Abbotsford,"Abbotsford, WI",1281,B,Copper,0.063231850,0.063231850,0.023419204,0,0.000000000,0
Total,Census Place,5500100,Abbotsford,"Abbotsford, WI",1281,R,Cable/Fiber,0.844652615,0.844652615,0.844652615,0.844652615,0.844652615,0.000000000
Total,Census Place,5500100,Abbotsford,"Abbotsford, WI",1281,B,Cable/Fiber,0.401249024,0.401249024,0.401249024,0.401249024,0.401249024,0.001561280
Total,Census Place,5500100,Abbotsford,"Abbotsford, WI",1281,R,Cable,0.844652615,0.844652615,0.844652615,0.844652615,0.844652615,0
Total,Census Place,5500100,Abbotsford,"Abbotsford, WI",1281,B,Cable,0.383294301,0.383294301,0.383294301,0.383294301,0.383294301,0
Total,Census Place,5500100,Abbotsford,"Abbotsford, WI",1281,R,Fiber,0,0,0,0,0,0.000000000
Total,Census Place,5500100,Abbotsford,"Abbotsford, WI",1281,B,Fiber,0.033567525,0.033567525,0.033567525,0.033567525,0.033567525,0.001561280
Total,Census Place,5500100,Abbotsford,"Abbotsford, WI",1281,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,5500100,Abbotsford,"Abbotsford, WI",1281,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000,0
Total,Census Place,5500100,Abbotsford,"Abbotsford, WI",1281,R,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0.000000000
Total,Census Place,5500100,Abbotsford,"Abbotsford, WI",1281,B,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0.000000000
Total,Census Place,5500100,Abbotsford,"Abbotsford, WI",1281,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,5500100,Abbotsford,"Abbotsford, WI",1281,B,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
