area_data_type,geography_type,geography_id,geography_desc,geography_desc_full,total_units,biz_res,technology,speed_02_02,speed_10_1,speed_25_3,speed_100_20,speed_250_25,speed_1000_100
Total,Census Place,5400196,Accoville,"Accoville, WV",239,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.552301255,0
Total,Census Place,5400196,Accoville,"Accoville, WV",239,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.100418410,0
Total,Census Place,5400196,Accoville,"Accoville, WV",239,R,All Wired,0.640167364,0.640167364,0.573221757,0.552301255,0.552301255,0
Total,Census Place,5400196,Accoville,"Accoville, WV",239,B,All Wired,0.112970711,0.112970711,0.112970711,0.100418410,0.100418410,0
Total,Census Place,5400196,Accoville,"Accoville, WV",239,R,Any Terrestrial,0.640167364,0.640167364,0.573221757,0.552301255,0.552301255,0
Total,Census Place,5400196,Accoville,"Accoville, WV",239,B,Any Terrestrial,0.259414226,0.255230126,0.255230126,0.100418410,0.100418410,0.000000000
Total,Census Place,5400196,Accoville,"Accoville, WV",239,R,All Wired and Licensed Fixed Wireless,0.640167364,0.640167364,0.573221757,0.552301255,0.552301255,0
Total,Census Place,5400196,Accoville,"Accoville, WV",239,B,All Wired and Licensed Fixed Wireless,0.259414226,0.255230126,0.255230126,0.100418410,0.100418410,0.000000000
Total,Census Place,5400196,Accoville,"Accoville, WV",239,R,Copper,0.221757322,0.221757322,0.066945607,0,0,0.000000000
Total,Census Place,5400196,Accoville,"Accoville, WV",239,B,Copper,0.012552301,0.012552301,0.012552301,0,0.000000000,0
Total,Census Place,5400196,Accoville,"Accoville, WV",239,R,Cable/Fiber,0.552301255,0.552301255,0.552301255,0.552301255,0.552301255,0
Total,Census Place,5400196,Accoville,"Accoville, WV",239,B,Cable/Fiber,0.100418410,0.100418410,0.100418410,0.100418410,0.100418410,0
Total,Census Place,5400196,Accoville,"Accoville, WV",239,R,Cable,0.552301255,0.552301255,0.552301255,0.552301255,0.552301255,0
Total,Census Place,5400196,Accoville,"Accoville, WV",239,B,Cable,0.100418410,0.100418410,0.100418410,0.100418410,0.100418410,0
Total,Census Place,5400196,Accoville,"Accoville, WV",239,R,Fiber,0.000000000,0,0,0,0,0
Total,Census Place,5400196,Accoville,"Accoville, WV",239,B,Fiber,0,0,0,0,0.000000000,0
Total,Census Place,5400196,Accoville,"Accoville, WV",239,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,5400196,Accoville,"Accoville, WV",239,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,5400196,Accoville,"Accoville, WV",239,R,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0.000000000
Total,Census Place,5400196,Accoville,"Accoville, WV",239,B,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,5400196,Accoville,"Accoville, WV",239,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,5400196,Accoville,"Accoville, WV",239,B,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,5400196,Accoville,"Accoville, WV",239,R,All Fixed Wireless,0.004184100,0,0,0,0.000000000,0
Total,Census Place,5400196,Accoville,"Accoville, WV",239,B,All Fixed Wireless,0.246861925,0.242677824,0.242677824,0,0,0.000000000
Total,Census Place,5400196,Accoville,"Accoville, WV",239,R,Unlicensed Fixed Wireless,0,0.000000000,0,0,0,0
Total,Census Place,5400196,Accoville,"Accoville, WV",239,B,Unlicensed Fixed Wireless,0,0.000000000,0,0,0,0
Total,Census Place,5400196,Accoville,"Accoville, WV",239,R,Licensed Fixed Wireless,0.004184100,0,0,0,0.000000000,0
Total,Census Place,5400196,Accoville,"Accoville, WV",239,B,Licensed Fixed Wireless,0.246861925,0.242677824,0.242677824,0,0.000000000,0
Total,Census Place,5400196,Accoville,"Accoville, WV",239,R,Other,0,0,0.000000000,0,0,0
Total,Census Place,5400196,Accoville,"Accoville, WV",239,B,Other,0.000000000,0,0,0,0,0
Total,Census Place,5400364,Addison (Webster Springs),"Addison (Webster Springs), WV",443,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.972911964,0.000000000
Total,Census Place,5400364,Addison (Webster Springs),"Addison (Webster Springs), WV",443,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.988713318,0.693002257
Total,Census Place,5400364,Addison (Webster Springs),"Addison (Webster Springs), WV",443,R,All Wired,0.981941309,0.981941309,0.977426637,0.972911964,0.972911964,0
Total,Census Place,5400364,Addison (Webster Springs),"Addison (Webster Springs), WV",443,B,All Wired,0.988713318,0.988713318,0.988713318,0.988713318,0.988713318,0.693002257
Total,Census Place,5400364,Addison (Webster Springs),"Addison (Webster Springs), WV",443,R,Any Terrestrial,0.988713318,0.988713318,0.984198646,0.972911964,0.972911964,0
Total,Census Place,5400364,Addison (Webster Springs),"Addison (Webster Springs), WV",443,B,Any Terrestrial,1.000000000,1.000000000,0.993227991,0.988713318,0.988713318,0.693002257
Total,Census Place,5400364,Addison (Webster Springs),"Addison (Webster Springs), WV",443,R,All Wired and Licensed Fixed Wireless,0.988713318,0.988713318,0.984198646,0.972911964,0.972911964,0
Total,Census Place,5400364,Addison (Webster Springs),"Addison (Webster Springs), WV",443,B,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,0.993227991,0.988713318,0.988713318,0.693002257
Total,Census Place,5400364,Addison (Webster Springs),"Addison (Webster Springs), WV",443,R,Copper,0.706546275,0.706546275,0.455981941,0,0,0.000000000
Total,Census Place,5400364,Addison (Webster Springs),"Addison (Webster Springs), WV",443,B,Copper,0.169300226,0.169300226,0.121896163,0,0,0
Total,Census Place,5400364,Addison (Webster Springs),"Addison (Webster Springs), WV",443,R,Cable/Fiber,0.972911964,0.972911964,0.972911964,0.972911964,0.972911964,0
Total,Census Place,5400364,Addison (Webster Springs),"Addison (Webster Springs), WV",443,B,Cable/Fiber,0.988713318,0.988713318,0.988713318,0.988713318,0.988713318,0.693002257
Total,Census Place,5400364,Addison (Webster Springs),"Addison (Webster Springs), WV",443,R,Cable,0.972911964,0.972911964,0.972911964,0.972911964,0.972911964,0.000000000
Total,Census Place,5400364,Addison (Webster Springs),"Addison (Webster Springs), WV",443,B,Cable,0.972911964,0.972911964,0.972911964,0.972911964,0.972911964,0.000000000
Total,Census Place,5400364,Addison (Webster Springs),"Addison (Webster Springs), WV",443,R,Fiber,0,0,0,0,0,0.000000000
Total,Census Place,5400364,Addison (Webster Springs),"Addison (Webster Springs), WV",443,B,Fiber,0.693002257,0.693002257,0.693002257,0.693002257,0.693002257,0.693002257
Total,Census Place,5400364,Addison (Webster Springs),"Addison (Webster Springs), WV",443,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000,0
Total,Census Place,5400364,Addison (Webster Springs),"Addison (Webster Springs), WV",443,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000,0
Total,Census Place,5400364,Addison (Webster Springs),"Addison (Webster Springs), WV",443,R,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,5400364,Addison (Webster Springs),"Addison (Webster Springs), WV",443,B,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,5400364,Addison (Webster Springs),"Addison (Webster Springs), WV",443,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Total,Census Place,5400364,Addison (Webster Springs),"Addison (Webster Springs), WV",443,B,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,5400364,Addison (Webster Springs),"Addison (Webster Springs), WV",443,R,All Fixed Wireless,0.805869074,0.781038375,0.625282167,0.004514673,0,0
Total,Census Place,5400364,Addison (Webster Springs),"Addison (Webster Springs), WV",443,B,All Fixed Wireless,0.911963883,0.826185102,0.717832957,0.004514673,0.000000000,0
Total,Census Place,5400364,Addison (Webster Springs),"Addison (Webster Springs), WV",443,R,Unlicensed Fixed Wireless,0.000000000,0,0,0,0,0
