area_data_type,geography_type,geography_id,geography_desc,geography_desc_full,total_units,biz_res,technology,speed_02_02,speed_10_1,speed_25_3,speed_100_20,speed_250_25,speed_1000_100
Total,Census Place,0800320,Acres Green,"Acres Green, CO",1055,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.001895735
Total,Census Place,0800320,Acres Green,"Acres Green, CO",1055,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.001895735
Total,Census Place,0800320,Acres Green,"Acres Green, CO",1055,R,All Wired,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.001895735
Total,Census Place,0800320,Acres Green,"Acres Green, CO",1055,B,All Wired,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.001895735
Total,Census Place,0800320,Acres Green,"Acres Green, CO",1055,R,Any Terrestrial,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.001895735
Total,Census Place,0800320,Acres Green,"Acres Green, CO",1055,B,Any Terrestrial,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.001895735
Total,Census Place,0800320,Acres Green,"Acres Green, CO",1055,R,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.001895735
Total,Census Place,0800320,Acres Green,"Acres Green, CO",1055,B,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.001895735
Total,Census Place,0800320,Acres Green,"Acres Green, CO",1055,R,Copper,0.998104265,0.998104265,0.886255924,0.061611374,0,0
Total,Census Place,0800320,Acres Green,"Acres Green, CO",1055,B,Copper,0.998104265,0.998104265,0.886255924,0.061611374,0,0
Total,Census Place,0800320,Acres Green,"Acres Green, CO",1055,R,Cable/Fiber,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.001895735
Total,Census Place,0800320,Acres Green,"Acres Green, CO",1055,B,Cable/Fiber,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.001895735
Total,Census Place,0800320,Acres Green,"Acres Green, CO",1055,R,Cable,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.001895735
Total,Census Place,0800320,Acres Green,"Acres Green, CO",1055,B,Cable,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.001895735
Total,Census Place,0800320,Acres Green,"Acres Green, CO",1055,R,Fiber,0.000000000,0,0,0,0,0
Total,Census Place,0800320,Acres Green,"Acres Green, CO",1055,B,Fiber,0,0.000000000,0,0,0,0
Total,Census Place,0800320,Acres Green,"Acres Green, CO",1055,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Total,Census Place,0800320,Acres Green,"Acres Green, CO",1055,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000,0
Total,Census Place,0800320,Acres Green,"Acres Green, CO",1055,R,GSO Satellite,1.000000000,1.000000000,1.000000000,0.000000000,0,0
Total,Census Place,0800320,Acres Green,"Acres Green, CO",1055,B,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0.000000000,0
Total,Census Place,0800320,Acres Green,"Acres Green, CO",1055,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Total,Census Place,0800320,Acres Green,"Acres Green, CO",1055,B,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,0800320,Acres Green,"Acres Green, CO",1055,R,All Fixed Wireless,0.918483412,0.772511848,0.772511848,0.583886256,0.194312796,0
Total,Census Place,0800320,Acres Green,"Acres Green, CO",1055,B,All Fixed Wireless,1.000000000,0.833175355,0.828436019,0.449289100,0.194312796,0.000000000
Total,Census Place,0800320,Acres Green,"Acres Green, CO",1055,R,Unlicensed Fixed Wireless,0,0,0,0,0,0.000000000
Total,Census Place,0800320,Acres Green,"Acres Green, CO",1055,B,Unlicensed Fixed Wireless,0.000000000,0,0,0,0,0
Total,Census Place,0800320,Acres Green,"Acres Green, CO",1055,R,Licensed Fixed Wireless,0.918483412,0.772511848,0.772511848,0.583886256,0.194312796,0
Total,Census Place,0800320,Acres Green,"Acres Green, CO",1055,B,Licensed Fixed Wireless,1.000000000,0.833175355,0.828436019,0.449289100,0.194312796,0
Total,Census Place,0800320,Acres Green,"Acres Green, CO",1055,R,Other,0,0.000000000,0,0,0,0
Total,Census Place,0800320,Acres Green,"Acres Green, CO",1055,B,Other,0,0,0.000000000,0,0,0
Total,Census Place,0800620,Aetna Estates,"Aetna Estates, CO",497,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0
Total,Census Place,0800620,Aetna Estates,"Aetna Estates, CO",497,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0
Total,Census Place,0800620,Aetna Estates,"Aetna Estates, CO",497,R,All Wired,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0
Total,Census Place,0800620,Aetna Estates,"Aetna Estates, CO",497,B,All Wired,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0
Total,Census Place,0800620,Aetna Estates,"Aetna Estates, CO",497,R,Any Terrestrial,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000
Total,Census Place,0800620,Aetna Estates,"Aetna Estates, CO",497,B,Any Terrestrial,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0
Total,Census Place,0800620,Aetna Estates,"Aetna Estates, CO",497,R,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000
Total,Census Place,0800620,Aetna Estates,"Aetna Estates, CO",497,B,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000
Total,Census Place,0800620,Aetna Estates,"Aetna Estates, CO",497,R,Copper,0.796780684,0.796780684,0.796780684,0.002012072,0,0
Total,Census Place,0800620,Aetna Estates,"Aetna Estates, CO",497,B,Copper,0.796780684,0.796780684,0.796780684,0.002012072,0,0
Total,Census Place,0800620,Aetna Estates,"Aetna Estates, CO",497,R,Cable/Fiber,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0
Total,Census Place,0800620,Aetna Estates,"Aetna Estates, CO",497,B,Cable/Fiber,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0
Total,Census Place,0800620,Aetna Estates,"Aetna Estates, CO",497,R,Cable,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0
Total,Census Place,0800620,Aetna Estates,"Aetna Estates, CO",497,B,Cable,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0
Total,Census Place,0800620,Aetna Estates,"Aetna Estates, CO",497,R,Fiber,0,0.000000000,0,0,0,0
Total,Census Place,0800620,Aetna Estates,"Aetna Estates, CO",497,B,Fiber,0,0,0,0,0,0.000000000
Total,Census Place,0800620,Aetna Estates,"Aetna Estates, CO",497,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000,0
Total,Census Place,0800620,Aetna Estates,"Aetna Estates, CO",497,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,0800620,Aetna Estates,"Aetna Estates, CO",497,R,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0.000000000
Total,Census Place,0800620,Aetna Estates,"Aetna Estates, CO",497,B,GSO Satellite,1.000000000,1.000000000,1.000000000,0.000000000,0,0
Total,Census Place,0800620,Aetna Estates,"Aetna Estates, CO",497,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Total,Census Place,0800620,Aetna Estates,"Aetna Estates, CO",497,B,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Total,Census Place,0800620,Aetna Estates,"Aetna Estates, CO",497,R,All Fixed Wireless,0.957746479,0.957746479,0.806841046,0.806841046,0.000000000,0
Total,Census Place,0800620,Aetna Estates,"Aetna Estates, CO",497,B,All Fixed Wireless,0.951710262,0.768611670,0,0,0,0
Total,Census Place,0800620,Aetna Estates,"Aetna Estates, CO",497,R,Unlicensed Fixed Wireless,0.768611670,0.768611670,0,0,0.000000000,0
Total,Census Place,0800620,Aetna Estates,"Aetna Estates, CO",497,B,Unlicensed Fixed Wireless,0.768611670,0.768611670,0,0.000000000,0,0
Total,Census Place,0800620,Aetna Estates,"Aetna Estates, CO",497,R,Licensed Fixed Wireless,0.812877264,0.806841046,0.806841046,0.806841046,0.000000000,0
Total,Census Place,0800620,Aetna Estates,"Aetna Estates, CO",497,B,Licensed Fixed Wireless,0.804828974,0.002012072,0,0,0,0.000000000
Total,Census Place,0800620,Aetna Estates,"Aetna Estates, CO",497,R,Other,0,0,0.000000000,0,0,0
Total,Census Place,0800620,Aetna Estates,"Aetna Estates, CO",497,B,Other,0,0,0,0,0.000000000,0
Total,Census Place,0800760,Aguilar,"Aguilar, CO",320,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.459375000,0.453125000
Total,Census Place,0800760,Aguilar,"Aguilar, CO",320,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.459375000,0.453125000
Total,Census Place,0800760,Aguilar,"Aguilar, CO",320,R,All Wired,0.478125000,0.471875000,0.471875000,0.459375000,0.459375000,0.453125000
Total,Census Place,0800760,Aguilar,"Aguilar, CO",320,B,All Wired,0.478125000,0.471875000,0.471875000,0.459375000,0.459375000,0.453125000
Total,Census Place,0800760,Aguilar,"Aguilar, CO",320,R,Any Terrestrial,1.000000000,1.000000000,1.000000000,0.506250000,0.459375000,0.453125000
Total,Census Place,0800760,Aguilar,"Aguilar, CO",320,B,Any Terrestrial,1.000000000,1.000000000,1.000000000,0.509375000,0.459375000,0.453125000
