area_data_type,geography_type,geography_id,geography_desc,geography_desc_full,total_units,biz_res,technology,speed_02_02,speed_10_1,speed_25_3,speed_100_20,speed_250_25,speed_1000_100
Total,Census Place,6600100,Adacao,"Adacao, GU",1206,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.995854063,0.732172471
Total,Census Place,6600100,Adacao,"Adacao, GU",1206,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.995854063,0.732172471
Total,Census Place,6600100,Adacao,"Adacao, GU",1206,R,All Wired,0.999170813,0.999170813,0.999170813,0.980099502,0.732172471,0.732172471
Total,Census Place,6600100,Adacao,"Adacao, GU",1206,B,All Wired,0.999170813,0.999170813,0.999170813,0.980099502,0.732172471,0.732172471
Total,Census Place,6600100,Adacao,"Adacao, GU",1206,R,Any Terrestrial,1.000000000,1.000000000,1.000000000,1.000000000,0.995854063,0.732172471
Total,Census Place,6600100,Adacao,"Adacao, GU",1206,B,Any Terrestrial,1.000000000,1.000000000,1.000000000,1.000000000,0.995854063,0.732172471
Total,Census Place,6600100,Adacao,"Adacao, GU",1206,R,All Wired and Licensed Fixed Wireless,0.999170813,0.999170813,0.999170813,0.992537313,0.732172471,0.732172471
Total,Census Place,6600100,Adacao,"Adacao, GU",1206,B,All Wired and Licensed Fixed Wireless,0.999170813,0.999170813,0.999170813,0.992537313,0.732172471,0.732172471
Total,Census Place,6600100,Adacao,"Adacao, GU",1206,R,Copper,0.268656716,0.268656716,0.268656716,0.247927032,0,0
Total,Census Place,6600100,Adacao,"Adacao, GU",1206,B,Copper,0.268656716,0.268656716,0.268656716,0.247927032,0,0
Total,Census Place,6600100,Adacao,"Adacao, GU",1206,R,Cable/Fiber,0.997512438,0.997512438,0.997512438,0.732172471,0.732172471,0.732172471
Total,Census Place,6600100,Adacao,"Adacao, GU",1206,B,Cable/Fiber,0.997512438,0.997512438,0.997512438,0.732172471,0.732172471,0.732172471
Total,Census Place,6600100,Adacao,"Adacao, GU",1206,R,Cable,0.723880597,0.723880597,0.723880597,0,0,0
Total,Census Place,6600100,Adacao,"Adacao, GU",1206,B,Cable,0.723880597,0.723880597,0.723880597,0,0,0
Total,Census Place,6600100,Adacao,"Adacao, GU",1206,R,Fiber,0.732172471,0.732172471,0.732172471,0.732172471,0.732172471,0.732172471
Total,Census Place,6600100,Adacao,"Adacao, GU",1206,B,Fiber,0.732172471,0.732172471,0.732172471,0.732172471,0.732172471,0.732172471
Total,Census Place,6600100,Adacao,"Adacao, GU",1206,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Total,Census Place,6600100,Adacao,"Adacao, GU",1206,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,6600100,Adacao,"Adacao, GU",1206,R,GSO Satellite,0,0,0,0,0.000000000,0
Total,Census Place,6600100,Adacao,"Adacao, GU",1206,B,GSO Satellite,0,0.000000000,0,0,0,0
Total,Census Place,6600100,Adacao,"Adacao, GU",1206,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Total,Census Place,6600100,Adacao,"Adacao, GU",1206,B,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,6600100,Adacao,"Adacao, GU",1206,R,All Fixed Wireless,1.000000000,1.000000000,1.000000000,1.000000000,0.793532338,0
Total,Census Place,6600100,Adacao,"Adacao, GU",1206,B,All Fixed Wireless,0.987562189,0.987562189,0.987562189,0.986733002,0.793532338,0
Total,Census Place,6600100,Adacao,"Adacao, GU",1206,R,Unlicensed Fixed Wireless,1.000000000,1.000000000,1.000000000,1.000000000,0.793532338,0
Total,Census Place,6600100,Adacao,"Adacao, GU",1206,B,Unlicensed Fixed Wireless,0.980928690,0.980928690,0.980928690,0.980928690,0.793532338,0
Total,Census Place,6600100,Adacao,"Adacao, GU",1206,R,Licensed Fixed Wireless,0.390547264,0.390547264,0.390547264,0.243781095,0,0
Total,Census Place,6600100,Adacao,"Adacao, GU",1206,B,Licensed Fixed Wireless,0.390547264,0.390547264,0.390547264,0.243781095,0,0
Total,Census Place,6600100,Adacao,"Adacao, GU",1206,R,Other,0,0.000000000,0,0,0,0
Total,Census Place,6600100,Adacao,"Adacao, GU",1206,B,Other,0,0,0,0,0,0.000000000
Total,Census Place,6600850,Afame,"Afame, GU",261,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.984674330,0.969348659
Total,Census Place,6600850,Afame,"Afame, GU",261,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.984674330,0.969348659
Total,Census Place,6600850,Afame,"Afame, GU",261,R,All Wired,1.000000000,1.000000000,1.000000000,0.988505747,0.969348659,0.969348659
Total,Census Place,6600850,Afame,"Afame, GU",261,B,All Wired,1.000000000,1.000000000,1.000000000,0.988505747,0.969348659,0.969348659
Total,Census Place,6600850,Afame,"Afame, GU",261,R,Any Terrestrial,1.000000000,1.000000000,1.000000000,1.000000000,0.984674330,0.969348659
Total,Census Place,6600850,Afame,"Afame, GU",261,B,Any Terrestrial,1.000000000,1.000000000,1.000000000,1.000000000,0.984674330,0.969348659
Total,Census Place,6600850,Afame,"Afame, GU",261,R,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,1.000000000,0.969348659,0.969348659
Total,Census Place,6600850,Afame,"Afame, GU",261,B,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,1.000000000,0.969348659,0.969348659
Total,Census Place,6600850,Afame,"Afame, GU",261,R,Copper,1.000000000,1.000000000,1.000000000,0.689655172,0,0.000000000
Total,Census Place,6600850,Afame,"Afame, GU",261,B,Copper,1.000000000,1.000000000,1.000000000,0.689655172,0,0
Total,Census Place,6600850,Afame,"Afame, GU",261,R,Cable/Fiber,1.000000000,1.000000000,1.000000000,0.969348659,0.969348659,0.969348659
Total,Census Place,6600850,Afame,"Afame, GU",261,B,Cable/Fiber,1.000000000,1.000000000,1.000000000,0.969348659,0.969348659,0.969348659
Total,Census Place,6600850,Afame,"Afame, GU",261,R,Cable,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,6600850,Afame,"Afame, GU",261,B,Cable,1.000000000,1.000000000,1.000000000,0,0,0.000000000
Total,Census Place,6600850,Afame,"Afame, GU",261,R,Fiber,0.969348659,0.969348659,0.969348659,0.969348659,0.969348659,0.969348659
Total,Census Place,6600850,Afame,"Afame, GU",261,B,Fiber,0.969348659,0.969348659,0.969348659,0.969348659,0.969348659,0.969348659
Total,Census Place,6600850,Afame,"Afame, GU",261,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,6600850,Afame,"Afame, GU",261,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,6600850,Afame,"Afame, GU",261,R,GSO Satellite,0.000000000,0,0,0,0,0
Total,Census Place,6600850,Afame,"Afame, GU",261,B,GSO Satellite,0,0,0,0,0,0.000000000
Total,Census Place,6600850,Afame,"Afame, GU",261,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000,0
Total,Census Place,6600850,Afame,"Afame, GU",261,B,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,6600850,Afame,"Afame, GU",261,R,All Fixed Wireless,1.000000000,1.000000000,1.000000000,1.000000000,0.498084291,0
Total,Census Place,6600850,Afame,"Afame, GU",261,B,All Fixed Wireless,0.996168582,0.996168582,0.996168582,0.996168582,0.498084291,0.000000000
Total,Census Place,6600850,Afame,"Afame, GU",261,R,Unlicensed Fixed Wireless,1.000000000,1.000000000,1.000000000,1.000000000,0.498084291,0
Total,Census Place,6600850,Afame,"Afame, GU",261,B,Unlicensed Fixed Wireless,0.639846743,0.639846743,0.639846743,0.639846743,0.498084291,0
Total,Census Place,6600850,Afame,"Afame, GU",261,R,Licensed Fixed Wireless,0.988505747,0.988505747,0.988505747,0.988505747,0,0
Total,Census Place,6600850,Afame,"Afame, GU",261,B,Licensed Fixed Wireless,0.988505747,0.988505747,0.988505747,0.988505747,0,0
Total,Census Place,6600850,Afame,"Afame, GU",261,R,Other,0.000000000,0,0,0,0,0
Total,Census Place,6600850,Afame,"Afame, GU",261,B,Other,0,0,0,0.000000000,0,0
Total,Census Place,6604000,Agana Heights,"Agana Heights, GU",1056,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.887310606,0
Total,Census Place,6604000,Agana Heights,"Agana Heights, GU",1056,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.893939394,0.162878788
Total,Census Place,6604000,Agana Heights,"Agana Heights, GU",1056,R,All Wired,1.000000000,1.000000000,1.000000000,0.774621212,0,0.000000000
Total,Census Place,6604000,Agana Heights,"Agana Heights, GU",1056,B,All Wired,1.000000000,1.000000000,1.000000000,0.822916667,0.162878788,0.162878788
Total,Census Place,6604000,Agana Heights,"Agana Heights, GU",1056,R,Any Terrestrial,1.000000000,1.000000000,1.000000000,1.000000000,0.887310606,0
Total,Census Place,6604000,Agana Heights,"Agana Heights, GU",1056,B,Any Terrestrial,1.000000000,1.000000000,1.000000000,1.000000000,0.893939394,0.162878788
Total,Census Place,6604000,Agana Heights,"Agana Heights, GU",1056,R,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,6604000,Agana Heights,"Agana Heights, GU",1056,B,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,1.000000000,0.162878788,0.162878788
Total,Census Place,6604000,Agana Heights,"Agana Heights, GU",1056,R,Copper,0.980113636,0.980113636,0.980113636,0.774621212,0,0
Total,Census Place,6604000,Agana Heights,"Agana Heights, GU",1056,B,Copper,0.980113636,0.980113636,0.980113636,0.774621212,0,0.000000000
Total,Census Place,6604000,Agana Heights,"Agana Heights, GU",1056,R,Cable/Fiber,0.999053030,0.999053030,0.999053030,0,0,0
Total,Census Place,6604000,Agana Heights,"Agana Heights, GU",1056,B,Cable/Fiber,0.999053030,0.999053030,0.999053030,0.162878788,0.162878788,0.162878788
Total,Census Place,6604000,Agana Heights,"Agana Heights, GU",1056,R,Cable,0.999053030,0.999053030,0.999053030,0,0.000000000,0
Total,Census Place,6604000,Agana Heights,"Agana Heights, GU",1056,B,Cable,0.999053030,0.999053030,0.999053030,0,0.000000000,0
Total,Census Place,6604000,Agana Heights,"Agana Heights, GU",1056,R,Fiber,0.162878788,0.162878788,0.162878788,0,0.000000000,0
Total,Census Place,6604000,Agana Heights,"Agana Heights, GU",1056,B,Fiber,0.162878788,0.162878788,0.162878788,0.162878788,0.162878788,0.162878788
Total,Census Place,6604000,Agana Heights,"Agana Heights, GU",1056,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,6604000,Agana Heights,"Agana Heights, GU",1056,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,6604000,Agana Heights,"Agana Heights, GU",1056,R,GSO Satellite,0,0.000000000,0,0,0,0
Total,Census Place,6604000,Agana Heights,"Agana Heights, GU",1056,B,GSO Satellite,0.000000000,0,0,0,0,0
Total,Census Place,6604000,Agana Heights,"Agana Heights, GU",1056,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
