area_data_type,geography_type,geography_id,geography_desc,geography_desc_full,total_units,biz_res,technology,speed_02_02,speed_10_1,speed_25_3,speed_100_20,speed_250_25,speed_1000_100
Total,Census Place,1500400,Ahuimanu,"Ahuimanu, HI",3334,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.996400720,0.415116977
Total,Census Place,1500400,Ahuimanu,"Ahuimanu, HI",3334,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.496700660,0
Total,Census Place,1500400,Ahuimanu,"Ahuimanu, HI",3334,R,All Wired,0.996400720,0.996400720,0.996400720,0.996400720,0.996400720,0.415116977
Total,Census Place,1500400,Ahuimanu,"Ahuimanu, HI",3334,B,All Wired,0.760647870,0.519496101,0.496700660,0.496700660,0.496700660,0
Total,Census Place,1500400,Ahuimanu,"Ahuimanu, HI",3334,R,Any Terrestrial,0.996400720,0.996400720,0.996400720,0.996400720,0.996400720,0.415116977
Total,Census Place,1500400,Ahuimanu,"Ahuimanu, HI",3334,B,Any Terrestrial,0.908218356,0.865926815,0.841631674,0.497300540,0.496700660,0
Total,Census Place,1500400,Ahuimanu,"Ahuimanu, HI",3334,R,All Wired and Licensed Fixed Wireless,0.996400720,0.996400720,0.996400720,0.996400720,0.996400720,0.415116977
Total,Census Place,1500400,Ahuimanu,"Ahuimanu, HI",3334,B,All Wired and Licensed Fixed Wireless,0.908218356,0.865926815,0.841631674,0.497300540,0.496700660,0
Total,Census Place,1500400,Ahuimanu,"Ahuimanu, HI",3334,R,Copper,0.313737253,0.040791842,0,0,0.000000000,0
Total,Census Place,1500400,Ahuimanu,"Ahuimanu, HI",3334,B,Copper,0.313737253,0.040791842,0,0,0.000000000,0
Total,Census Place,1500400,Ahuimanu,"Ahuimanu, HI",3334,R,Cable/Fiber,0.996400720,0.996400720,0.996400720,0.996400720,0.996400720,0.415116977
Total,Census Place,1500400,Ahuimanu,"Ahuimanu, HI",3334,B,Cable/Fiber,0.496700660,0.496700660,0.496700660,0.496700660,0.496700660,0
Total,Census Place,1500400,Ahuimanu,"Ahuimanu, HI",3334,R,Cable,0.994001200,0.994001200,0.994001200,0.994001200,0.994001200,0.000000000
Total,Census Place,1500400,Ahuimanu,"Ahuimanu, HI",3334,B,Cable,0.095680864,0.095680864,0.095680864,0.095680864,0.095680864,0
Total,Census Place,1500400,Ahuimanu,"Ahuimanu, HI",3334,R,Fiber,0.416016797,0.416016797,0.416016797,0.416016797,0.416016797,0.415116977
Total,Census Place,1500400,Ahuimanu,"Ahuimanu, HI",3334,B,Fiber,0.416316737,0.416316737,0.416316737,0.416316737,0.416316737,0
Total,Census Place,1500400,Ahuimanu,"Ahuimanu, HI",3334,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,1500400,Ahuimanu,"Ahuimanu, HI",3334,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,1500400,Ahuimanu,"Ahuimanu, HI",3334,R,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0.000000000
Total,Census Place,1500400,Ahuimanu,"Ahuimanu, HI",3334,B,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,1500400,Ahuimanu,"Ahuimanu, HI",3334,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Total,Census Place,1500400,Ahuimanu,"Ahuimanu, HI",3334,B,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,1500400,Ahuimanu,"Ahuimanu, HI",3334,R,All Fixed Wireless,0.100179964,0.023395321,0.023395321,0.000899820,0,0.000000000
Total,Census Place,1500400,Ahuimanu,"Ahuimanu, HI",3334,B,All Fixed Wireless,0.588782244,0.582483503,0.516796641,0.000899820,0.000000000,0
Total,Census Place,1500400,Ahuimanu,"Ahuimanu, HI",3334,R,Unlicensed Fixed Wireless,0,0,0,0,0,0.000000000
Total,Census Place,1500400,Ahuimanu,"Ahuimanu, HI",3334,B,Unlicensed Fixed Wireless,0,0,0,0,0.000000000,0
Total,Census Place,1500400,Ahuimanu,"Ahuimanu, HI",3334,R,Licensed Fixed Wireless,0.100179964,0.023395321,0.023395321,0.000899820,0,0
Total,Census Place,1500400,Ahuimanu,"Ahuimanu, HI",3334,B,Licensed Fixed Wireless,0.588782244,0.582483503,0.516796641,0.000899820,0,0
Total,Census Place,1500400,Ahuimanu,"Ahuimanu, HI",3334,R,Other,0.000000000,0,0,0,0,0
Total,Census Place,1500400,Ahuimanu,"Ahuimanu, HI",3334,B,Other,0.000000000,0,0,0,0,0
Total,Census Place,1500550,Aiea,"Aiea, HI",3159,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.976891421,0.649572650
