area_data_type,geography_type,geography_id,geography_desc,geography_desc_full,total_units,biz_res,technology,speed_02_02,speed_10_1,speed_25_3,speed_100_20,speed_250_25,speed_1000_100
Total,Census Place,3300980,Alton,"Alton, NH",333,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,3300980,Alton,"Alton, NH",333,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,3300980,Alton,"Alton, NH",333,R,All Wired,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,3300980,Alton,"Alton, NH",333,B,All Wired,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,3300980,Alton,"Alton, NH",333,R,Any Terrestrial,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,3300980,Alton,"Alton, NH",333,B,Any Terrestrial,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,3300980,Alton,"Alton, NH",333,R,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,3300980,Alton,"Alton, NH",333,B,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,3300980,Alton,"Alton, NH",333,R,Copper,0.012012012,0.012012012,0.003003003,0,0,0
Total,Census Place,3300980,Alton,"Alton, NH",333,B,Copper,0.000000000,0,0,0,0,0
Total,Census Place,3300980,Alton,"Alton, NH",333,R,Cable/Fiber,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,3300980,Alton,"Alton, NH",333,B,Cable/Fiber,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,3300980,Alton,"Alton, NH",333,R,Cable,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0
Total,Census Place,3300980,Alton,"Alton, NH",333,B,Cable,0.279279279,0.279279279,0.279279279,0.279279279,0.279279279,0
Total,Census Place,3300980,Alton,"Alton, NH",333,R,Fiber,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,3300980,Alton,"Alton, NH",333,B,Fiber,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,3300980,Alton,"Alton, NH",333,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,3300980,Alton,"Alton, NH",333,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,3300980,Alton,"Alton, NH",333,R,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,3300980,Alton,"Alton, NH",333,B,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,3300980,Alton,"Alton, NH",333,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000,0
Total,Census Place,3300980,Alton,"Alton, NH",333,B,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,3300980,Alton,"Alton, NH",333,R,All Fixed Wireless,0.792792793,0.618618619,0.006006006,0,0,0
Total,Census Place,3300980,Alton,"Alton, NH",333,B,All Fixed Wireless,0.663663664,0.291291291,0.291291291,0,0,0
Total,Census Place,3300980,Alton,"Alton, NH",333,R,Unlicensed Fixed Wireless,0,0,0.000000000,0,0,0
Total,Census Place,3300980,Alton,"Alton, NH",333,B,Unlicensed Fixed Wireless,0,0.000000000,0,0,0,0
Total,Census Place,3300980,Alton,"Alton, NH",333,R,Licensed Fixed Wireless,0.792792793,0.618618619,0.006006006,0,0,0
Total,Census Place,3300980,Alton,"Alton, NH",333,B,Licensed Fixed Wireless,0.663663664,0.291291291,0.291291291,0,0,0
Total,Census Place,3300980,Alton,"Alton, NH",333,R,Other,0,0,0,0.000000000,0,0
