area_data_type,geography_type,geography_id,geography_desc,geography_desc_full,total_units,biz_res,technology,speed_02_02,speed_10_1,speed_25_3,speed_100_20,speed_250_25,speed_1000_100
Total,Census Place,7200186,Aceitunas,"Aceitunas, PR",517,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.996131528
Total,Census Place,7200186,Aceitunas,"Aceitunas, PR",517,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000
Total,Census Place,7200186,Aceitunas,"Aceitunas, PR",517,R,All Wired,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.996131528
Total,Census Place,7200186,Aceitunas,"Aceitunas, PR",517,B,All Wired,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0
Total,Census Place,7200186,Aceitunas,"Aceitunas, PR",517,R,Any Terrestrial,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.996131528
Total,Census Place,7200186,Aceitunas,"Aceitunas, PR",517,B,Any Terrestrial,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0
Total,Census Place,7200186,Aceitunas,"Aceitunas, PR",517,R,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.996131528
Total,Census Place,7200186,Aceitunas,"Aceitunas, PR",517,B,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000
Total,Census Place,7200186,Aceitunas,"Aceitunas, PR",517,R,Copper,0.003868472,0,0,0,0,0
Total,Census Place,7200186,Aceitunas,"Aceitunas, PR",517,B,Copper,0,0,0,0.000000000,0,0
Total,Census Place,7200186,Aceitunas,"Aceitunas, PR",517,R,Cable/Fiber,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.996131528
Total,Census Place,7200186,Aceitunas,"Aceitunas, PR",517,B,Cable/Fiber,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000
Total,Census Place,7200186,Aceitunas,"Aceitunas, PR",517,R,Cable,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0
Total,Census Place,7200186,Aceitunas,"Aceitunas, PR",517,B,Cable,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0
Total,Census Place,7200186,Aceitunas,"Aceitunas, PR",517,R,Fiber,0.996131528,0.996131528,0.996131528,0.996131528,0.996131528,0.996131528
Total,Census Place,7200186,Aceitunas,"Aceitunas, PR",517,B,Fiber,0,0,0,0.000000000,0,0
Total,Census Place,7200186,Aceitunas,"Aceitunas, PR",517,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Total,Census Place,7200186,Aceitunas,"Aceitunas, PR",517,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000,0
Total,Census Place,7200186,Aceitunas,"Aceitunas, PR",517,R,GSO Satellite,1.000000000,1.000000000,1.000000000,0.000000000,0,0
Total,Census Place,7200186,Aceitunas,"Aceitunas, PR",517,B,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,7200186,Aceitunas,"Aceitunas, PR",517,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Total,Census Place,7200186,Aceitunas,"Aceitunas, PR",517,B,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,7200186,Aceitunas,"Aceitunas, PR",517,R,All Fixed Wireless,1.000000000,1.000000000,1.000000000,1.000000000,0.350096712,0
Total,Census Place,7200186,Aceitunas,"Aceitunas, PR",517,B,All Fixed Wireless,1.000000000,1.000000000,1.000000000,1.000000000,0.350096712,0.000000000
Total,Census Place,7200186,Aceitunas,"Aceitunas, PR",517,R,Unlicensed Fixed Wireless,1.000000000,1.000000000,1.000000000,1.000000000,0.350096712,0.000000000
Total,Census Place,7200186,Aceitunas,"Aceitunas, PR",517,B,Unlicensed Fixed Wireless,1.000000000,1.000000000,1.000000000,1.000000000,0.350096712,0
Total,Census Place,7200186,Aceitunas,"Aceitunas, PR",517,R,Licensed Fixed Wireless,0.032882012,0.032882012,0.032882012,0.030947776,0,0
Total,Census Place,7200186,Aceitunas,"Aceitunas, PR",517,B,Licensed Fixed Wireless,0.032882012,0.032882012,0.032882012,0.030947776,0,0
Total,Census Place,7200186,Aceitunas,"Aceitunas, PR",517,R,Other,0,0.000000000,0,0,0,0
Total,Census Place,7200186,Aceitunas,"Aceitunas, PR",517,B,Other,0,0,0,0,0.000000000,0
Total,Census Place,7200358,Adjuntas,"Adjuntas, PR",1633,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.988977342,0.450704225
Total,Census Place,7200358,Adjuntas,"Adjuntas, PR",1633,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.987752603,0
Total,Census Place,7200358,Adjuntas,"Adjuntas, PR",1633,R,All Wired,1.000000000,1.000000000,0.898958971,0.898958971,0.898958971,0.450704225
Total,Census Place,7200358,Adjuntas,"Adjuntas, PR",1633,B,All Wired,0.894060012,0.894060012,0.894060012,0.894060012,0.894060012,0
Total,Census Place,7200358,Adjuntas,"Adjuntas, PR",1633,R,Any Terrestrial,1.000000000,1.000000000,0.990814452,0.990814452,0.988977342,0.450704225
Total,Census Place,7200358,Adjuntas,"Adjuntas, PR",1633,B,Any Terrestrial,0.989589712,0.989589712,0.989589712,0.989589712,0.987752603,0
Total,Census Place,7200358,Adjuntas,"Adjuntas, PR",1633,R,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,0.971830986,0.898958971,0.898958971,0.450704225
Total,Census Place,7200358,Adjuntas,"Adjuntas, PR",1633,B,All Wired and Licensed Fixed Wireless,0.968769137,0.968769137,0.968769137,0.894060012,0.894060012,0
Total,Census Place,7200358,Adjuntas,"Adjuntas, PR",1633,R,Copper,0.549295775,0.549295775,0,0.000000000,0,0
Total,Census Place,7200358,Adjuntas,"Adjuntas, PR",1633,B,Copper,0,0,0,0,0.000000000,0
Total,Census Place,7200358,Adjuntas,"Adjuntas, PR",1633,R,Cable/Fiber,0.898958971,0.898958971,0.898958971,0.898958971,0.898958971,0.450704225
Total,Census Place,7200358,Adjuntas,"Adjuntas, PR",1633,B,Cable/Fiber,0.894060012,0.894060012,0.894060012,0.894060012,0.894060012,0
Total,Census Place,7200358,Adjuntas,"Adjuntas, PR",1633,R,Cable,0.894060012,0.894060012,0.894060012,0.894060012,0.894060012,0
Total,Census Place,7200358,Adjuntas,"Adjuntas, PR",1633,B,Cable,0.894060012,0.894060012,0.894060012,0.894060012,0.894060012,0
Total,Census Place,7200358,Adjuntas,"Adjuntas, PR",1633,R,Fiber,0.450704225,0.450704225,0.450704225,0.450704225,0.450704225,0.450704225
Total,Census Place,7200358,Adjuntas,"Adjuntas, PR",1633,B,Fiber,0,0,0,0,0,0.000000000
Total,Census Place,7200358,Adjuntas,"Adjuntas, PR",1633,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,7200358,Adjuntas,"Adjuntas, PR",1633,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,7200358,Adjuntas,"Adjuntas, PR",1633,R,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0.000000000,0
Total,Census Place,7200358,Adjuntas,"Adjuntas, PR",1633,B,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
