area_data_type,geography_type,geography_id,geography_desc,geography_desc_full,total_units,biz_res,technology,speed_02_02,speed_10_1,speed_25_3,speed_100_20,speed_250_25,speed_1000_100
Total,Census Place,5600245,Afton,"Afton, WY",1258,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,5600245,Afton,"Afton, WY",1258,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,5600245,Afton,"Afton, WY",1258,R,All Wired,0.987281399,0.987281399,0.986486486,0.986486486,0,0
Total,Census Place,5600245,Afton,"Afton, WY",1258,B,All Wired,0.987281399,0.987281399,0.986486486,0.986486486,0.000000000,0
Total,Census Place,5600245,Afton,"Afton, WY",1258,R,Any Terrestrial,1.000000000,1.000000000,0.986486486,0.986486486,0,0
Total,Census Place,5600245,Afton,"Afton, WY",1258,B,Any Terrestrial,1.000000000,1.000000000,0.988076312,0.986486486,0,0
Total,Census Place,5600245,Afton,"Afton, WY",1258,R,All Wired and Licensed Fixed Wireless,0.987281399,0.987281399,0.986486486,0.986486486,0,0
Total,Census Place,5600245,Afton,"Afton, WY",1258,B,All Wired and Licensed Fixed Wireless,0.988871224,0.988871224,0.988076312,0.986486486,0.000000000,0
Total,Census Place,5600245,Afton,"Afton, WY",1258,R,Copper,0.828298887,0.768680445,0.676470588,0.135135135,0.000000000,0
Total,Census Place,5600245,Afton,"Afton, WY",1258,B,Copper,0.828298887,0.768680445,0.676470588,0.135135135,0,0
Total,Census Place,5600245,Afton,"Afton, WY",1258,R,Cable/Fiber,0.986486486,0.986486486,0.986486486,0.986486486,0,0
Total,Census Place,5600245,Afton,"Afton, WY",1258,B,Cable/Fiber,0.986486486,0.986486486,0.986486486,0.986486486,0,0
Total,Census Place,5600245,Afton,"Afton, WY",1258,R,Cable,0.000000000,0,0,0,0,0
Total,Census Place,5600245,Afton,"Afton, WY",1258,B,Cable,0,0,0,0,0,0.000000000
Total,Census Place,5600245,Afton,"Afton, WY",1258,R,Fiber,0.986486486,0.986486486,0.986486486,0.986486486,0,0
Total,Census Place,5600245,Afton,"Afton, WY",1258,B,Fiber,0.986486486,0.986486486,0.986486486,0.986486486,0,0.000000000
Total,Census Place,5600245,Afton,"Afton, WY",1258,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000,0
Total,Census Place,5600245,Afton,"Afton, WY",1258,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,5600245,Afton,"Afton, WY",1258,R,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,5600245,Afton,"Afton, WY",1258,B,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,5600245,Afton,"Afton, WY",1258,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,5600245,Afton,"Afton, WY",1258,B,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,5600245,Afton,"Afton, WY",1258,R,All Fixed Wireless,1.000000000,1.000000000,0,0,0,0.000000000
Total,Census Place,5600245,Afton,"Afton, WY",1258,B,All Fixed Wireless,1.000000000,1.000000000,0.076311606,0,0,0
Total,Census Place,5600245,Afton,"Afton, WY",1258,R,Unlicensed Fixed Wireless,1.000000000,1.000000000,0,0.000000000,0,0
Total,Census Place,5600245,Afton,"Afton, WY",1258,B,Unlicensed Fixed Wireless,1.000000000,1.000000000,0,0,0,0.000000000
Total,Census Place,5600245,Afton,"Afton, WY",1258,R,Licensed Fixed Wireless,0.003179650,0,0,0,0.000000000,0
Total,Census Place,5600245,Afton,"Afton, WY",1258,B,Licensed Fixed Wireless,0.080286169,0.077106518,0.076311606,0,0,0.000000000
Total,Census Place,5600245,Afton,"Afton, WY",1258,R,Other,0,0,0,0,0,0.000000000
Total,Census Place,5600245,Afton,"Afton, WY",1258,B,Other,0.000000000,0,0,0,0,0
Total,Census Place,5600680,Albany,"Albany, WY",56,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,5600680,Albany,"Albany, WY",56,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000,0
Total,Census Place,5600680,Albany,"Albany, WY",56,R,All Wired,0.017857143,0,0,0,0,0
Total,Census Place,5600680,Albany,"Albany, WY",56,B,All Wired,0.017857143,0,0.000000000,0,0,0
Total,Census Place,5600680,Albany,"Albany, WY",56,R,Any Terrestrial,0.410714286,0.410714286,0.410714286,0.339285714,0,0.000000000
Total,Census Place,5600680,Albany,"Albany, WY",56,B,Any Terrestrial,0.392857143,0.392857143,0.392857143,0.339285714,0,0.000000000
Total,Census Place,5600680,Albany,"Albany, WY",56,R,All Wired and Licensed Fixed Wireless,0.410714286,0.410714286,0.410714286,0.339285714,0,0
Total,Census Place,5600680,Albany,"Albany, WY",56,B,All Wired and Licensed Fixed Wireless,0.392857143,0.392857143,0.392857143,0.339285714,0,0.000000000
Total,Census Place,5600680,Albany,"Albany, WY",56,R,Copper,0.017857143,0,0,0,0.000000000,0
Total,Census Place,5600680,Albany,"Albany, WY",56,B,Copper,0.017857143,0,0,0,0,0
Total,Census Place,5600680,Albany,"Albany, WY",56,R,Cable/Fiber,0.000000000,0,0,0,0,0
Total,Census Place,5600680,Albany,"Albany, WY",56,B,Cable/Fiber,0,0,0,0,0.000000000,0
Total,Census Place,5600680,Albany,"Albany, WY",56,R,Cable,0,0,0,0,0.000000000,0
Total,Census Place,5600680,Albany,"Albany, WY",56,B,Cable,0,0,0,0,0,0.000000000
Total,Census Place,5600680,Albany,"Albany, WY",56,R,Fiber,0,0,0,0,0,0.000000000
Total,Census Place,5600680,Albany,"Albany, WY",56,B,Fiber,0,0.000000000,0,0,0,0
Total,Census Place,5600680,Albany,"Albany, WY",56,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
