area_data_type,geography_type,geography_id,geography_desc,geography_desc_full,total_units,biz_res,technology,speed_02_02,speed_10_1,speed_25_3,speed_100_20,speed_250_25,speed_1000_100
Total,Census Place,6000100,Aasu,"Aasu, AS",73,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,6000100,Aasu,"Aasu, AS",73,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,6000100,Aasu,"Aasu, AS",73,R,All Wired,1.000000000,1.000000000,1.000000000,0,0.000000000,0
Total,Census Place,6000100,Aasu,"Aasu, AS",73,B,All Wired,1.000000000,1.000000000,1.000000000,0,0,0.000000000
Total,Census Place,6000100,Aasu,"Aasu, AS",73,R,Any Terrestrial,1.000000000,1.000000000,1.000000000,0,0,0.000000000
Total,Census Place,6000100,Aasu,"Aasu, AS",73,B,Any Terrestrial,1.000000000,1.000000000,1.000000000,0,0,0.000000000
Total,Census Place,6000100,Aasu,"Aasu, AS",73,R,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,0.000000000,0,0
Total,Census Place,6000100,Aasu,"Aasu, AS",73,B,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,0,0.000000000,0
Total,Census Place,6000100,Aasu,"Aasu, AS",73,R,Copper,0,0.000000000,0,0,0,0
Total,Census Place,6000100,Aasu,"Aasu, AS",73,B,Copper,0.000000000,0,0,0,0,0
Total,Census Place,6000100,Aasu,"Aasu, AS",73,R,Cable/Fiber,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,6000100,Aasu,"Aasu, AS",73,B,Cable/Fiber,1.000000000,1.000000000,1.000000000,0,0,0.000000000
Total,Census Place,6000100,Aasu,"Aasu, AS",73,R,Cable,0.013698630,0.013698630,0.013698630,0,0,0.000000000
Total,Census Place,6000100,Aasu,"Aasu, AS",73,B,Cable,0.013698630,0.013698630,0.013698630,0,0,0.000000000
Total,Census Place,6000100,Aasu,"Aasu, AS",73,R,Fiber,1.000000000,1.000000000,1.000000000,0,0,0.000000000
Total,Census Place,6000100,Aasu,"Aasu, AS",73,B,Fiber,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,6000100,Aasu,"Aasu, AS",73,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,6000100,Aasu,"Aasu, AS",73,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,6000100,Aasu,"Aasu, AS",73,R,GSO Satellite,0,0.000000000,0,0,0,0
Total,Census Place,6000100,Aasu,"Aasu, AS",73,B,GSO Satellite,0,0.000000000,0,0,0,0
Total,Census Place,6000100,Aasu,"Aasu, AS",73,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Total,Census Place,6000100,Aasu,"Aasu, AS",73,B,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Total,Census Place,6000100,Aasu,"Aasu, AS",73,R,All Fixed Wireless,0.972602740,0.972602740,0.972602740,0,0,0.000000000
Total,Census Place,6000100,Aasu,"Aasu, AS",73,B,All Fixed Wireless,0.972602740,0.972602740,0.972602740,0,0,0.000000000
Total,Census Place,6000100,Aasu,"Aasu, AS",73,R,Unlicensed Fixed Wireless,0,0,0,0,0,0.000000000
Total,Census Place,6000100,Aasu,"Aasu, AS",73,B,Unlicensed Fixed Wireless,0.000000000,0,0,0,0,0
Total,Census Place,6000100,Aasu,"Aasu, AS",73,R,Licensed Fixed Wireless,0.972602740,0.972602740,0.972602740,0,0,0
Total,Census Place,6000100,Aasu,"Aasu, AS",73,B,Licensed Fixed Wireless,0.972602740,0.972602740,0.972602740,0,0,0
Total,Census Place,6000100,Aasu,"Aasu, AS",73,R,Other,0,0.000000000,0,0,0,0
Total,Census Place,6000100,Aasu,"Aasu, AS",73,B,Other,0,0,0.000000000,0,0,0
Total,Census Place,6002500,Afao,"Afao, AS",25,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Total,Census Place,6002500,Afao,"Afao, AS",25,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000,0
Total,Census Place,6002500,Afao,"Afao, AS",25,R,All Wired,1.000000000,1.000000000,1.000000000,0,0,0.000000000
Total,Census Place,6002500,Afao,"Afao, AS",25,B,All Wired,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,6002500,Afao,"Afao, AS",25,R,Any Terrestrial,1.000000000,1.000000000,1.000000000,0,0,0.000000000
Total,Census Place,6002500,Afao,"Afao, AS",25,B,Any Terrestrial,1.000000000,1.000000000,1.000000000,0.000000000,0,0
Total,Census Place,6002500,Afao,"Afao, AS",25,R,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,0,0.000000000,0
Total,Census Place,6002500,Afao,"Afao, AS",25,B,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,6002500,Afao,"Afao, AS",25,R,Copper,0.000000000,0,0,0,0,0
Total,Census Place,6002500,Afao,"Afao, AS",25,B,Copper,0,0,0,0,0.000000000,0
Total,Census Place,6002500,Afao,"Afao, AS",25,R,Cable/Fiber,1.000000000,1.000000000,1.000000000,0.000000000,0,0
Total,Census Place,6002500,Afao,"Afao, AS",25,B,Cable/Fiber,1.000000000,1.000000000,1.000000000,0,0,0.000000000
Total,Census Place,6002500,Afao,"Afao, AS",25,R,Cable,0,0.000000000,0,0,0,0
Total,Census Place,6002500,Afao,"Afao, AS",25,B,Cable,0,0,0,0.000000000,0,0
Total,Census Place,6002500,Afao,"Afao, AS",25,R,Fiber,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,6002500,Afao,"Afao, AS",25,B,Fiber,1.000000000,1.000000000,1.000000000,0.000000000,0,0
Total,Census Place,6002500,Afao,"Afao, AS",25,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,6002500,Afao,"Afao, AS",25,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,6002500,Afao,"Afao, AS",25,R,GSO Satellite,0,0,0,0,0,0.000000000
Total,Census Place,6002500,Afao,"Afao, AS",25,B,GSO Satellite,0,0,0,0,0.000000000,0
Total,Census Place,6002500,Afao,"Afao, AS",25,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Total,Census Place,6002500,Afao,"Afao, AS",25,B,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,6002500,Afao,"Afao, AS",25,R,All Fixed Wireless,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,6002500,Afao,"Afao, AS",25,B,All Fixed Wireless,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,6002500,Afao,"Afao, AS",25,R,Unlicensed Fixed Wireless,0.000000000,0,0,0,0,0
Total,Census Place,6002500,Afao,"Afao, AS",25,B,Unlicensed Fixed Wireless,0,0,0,0,0.000000000,0
Total,Census Place,6002500,Afao,"Afao, AS",25,R,Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,6002500,Afao,"Afao, AS",25,B,Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,0,0.000000000,0
Total,Census Place,6002500,Afao,"Afao, AS",25,R,Other,0,0.000000000,0,0,0,0
Total,Census Place,6002500,Afao,"Afao, AS",25,B,Other,0,0,0,0,0,0.000000000
Total,Census Place,6003300,Afono,"Afono, AS",90,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,6003300,Afono,"Afono, AS",90,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0,0
