area_data_type,geography_type,geography_id,geography_desc,geography_desc_full,total_units,biz_res,technology,speed_02_02,speed_10_1,speed_25_3,speed_100_20,speed_250_25,speed_1000_100
Total,Census Place,0901150,Ansonia,"Ansonia, CT",9212,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.999348676,0.998914459
Total,Census Place,0901150,Ansonia,"Ansonia, CT",9212,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.999023013,0.983716891
Total,Census Place,0901150,Ansonia,"Ansonia, CT",9212,R,All Wired,0.999348676,0.999348676,0.999348676,0.999348676,0.999348676,0.998914459
Total,Census Place,0901150,Ansonia,"Ansonia, CT",9212,B,All Wired,0.999240122,0.999240122,0.999240122,0.999240122,0.999023013,0.983716891
Total,Census Place,0901150,Ansonia,"Ansonia, CT",9212,R,Any Terrestrial,0.999348676,0.999348676,0.999348676,0.999348676,0.999348676,0.998914459
Total,Census Place,0901150,Ansonia,"Ansonia, CT",9212,B,Any Terrestrial,1.000000000,1.000000000,1.000000000,0.999240122,0.999023013,0.983716891
Total,Census Place,0901150,Ansonia,"Ansonia, CT",9212,R,All Wired and Licensed Fixed Wireless,0.999348676,0.999348676,0.999348676,0.999348676,0.999348676,0.998914459
Total,Census Place,0901150,Ansonia,"Ansonia, CT",9212,B,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,0.999240122,0.999023013,0.983716891
Total,Census Place,0901150,Ansonia,"Ansonia, CT",9212,R,Copper,0.356165871,0.356165871,0.017260096,0,0,0
Total,Census Place,0901150,Ansonia,"Ansonia, CT",9212,B,Copper,0.057316544,0.057316544,0.013243595,0,0,0
Total,Census Place,0901150,Ansonia,"Ansonia, CT",9212,R,Cable/Fiber,0.999348676,0.999348676,0.999348676,0.999348676,0.999348676,0.998914459
Total,Census Place,0901150,Ansonia,"Ansonia, CT",9212,B,Cable/Fiber,0.999240122,0.999240122,0.999240122,0.999240122,0.999023013,0.983716891
Total,Census Place,0901150,Ansonia,"Ansonia, CT",9212,R,Cable,0.999023013,0.999023013,0.999023013,0.999023013,0.999023013,0.983282675
Total,Census Place,0901150,Ansonia,"Ansonia, CT",9212,B,Cable,0.999023013,0.999023013,0.999023013,0.999023013,0.999023013,0.983282675
