area_data_type,geography_type,geography_id,geography_desc,geography_desc_full,total_units,biz_res,technology,speed_02_02,speed_10_1,speed_25_3,speed_100_20,speed_250_25,speed_1000_100
Total,Census Place,1600100,Aberdeen,"Aberdeen, ID",789,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.079847909,0.007604563
Total,Census Place,1600100,Aberdeen,"Aberdeen, ID",789,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.977186312,0.975918885
Total,Census Place,1600100,Aberdeen,"Aberdeen, ID",789,R,All Wired,0.993662864,0.993662864,0.992395437,0.007604563,0.007604563,0.007604563
Total,Census Place,1600100,Aberdeen,"Aberdeen, ID",789,B,All Wired,0.996197719,0.996197719,0.996197719,0.975918885,0.975918885,0.975918885
Total,Census Place,1600100,Aberdeen,"Aberdeen, ID",789,R,Any Terrestrial,1.000000000,1.000000000,1.000000000,1.000000000,0.079847909,0.007604563
Total,Census Place,1600100,Aberdeen,"Aberdeen, ID",789,B,Any Terrestrial,1.000000000,1.000000000,1.000000000,1.000000000,0.977186312,0.975918885
Total,Census Place,1600100,Aberdeen,"Aberdeen, ID",789,R,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,1.000000000,0.007604563,0.007604563
Total,Census Place,1600100,Aberdeen,"Aberdeen, ID",789,B,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,1.000000000,0.975918885,0.975918885
Total,Census Place,1600100,Aberdeen,"Aberdeen, ID",789,R,Copper,0.730038023,0.726235741,0.352344740,0,0,0.000000000
Total,Census Place,1600100,Aberdeen,"Aberdeen, ID",789,B,Copper,0.730038023,0.726235741,0.352344740,0,0,0
Total,Census Place,1600100,Aberdeen,"Aberdeen, ID",789,R,Cable/Fiber,0.988593156,0.988593156,0.988593156,0.007604563,0.007604563,0.007604563
Total,Census Place,1600100,Aberdeen,"Aberdeen, ID",789,B,Cable/Fiber,0.994930292,0.994930292,0.994930292,0.975918885,0.975918885,0.975918885
Total,Census Place,1600100,Aberdeen,"Aberdeen, ID",789,R,Cable,0.982256020,0.982256020,0.982256020,0,0,0
Total,Census Place,1600100,Aberdeen,"Aberdeen, ID",789,B,Cable,0.982256020,0.982256020,0.982256020,0,0.000000000,0
Total,Census Place,1600100,Aberdeen,"Aberdeen, ID",789,R,Fiber,0.007604563,0.007604563,0.007604563,0.007604563,0.007604563,0.007604563
Total,Census Place,1600100,Aberdeen,"Aberdeen, ID",789,B,Fiber,0.975918885,0.975918885,0.975918885,0.975918885,0.975918885,0.975918885
Total,Census Place,1600100,Aberdeen,"Aberdeen, ID",789,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Total,Census Place,1600100,Aberdeen,"Aberdeen, ID",789,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,1600100,Aberdeen,"Aberdeen, ID",789,R,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0.000000000,0
Total,Census Place,1600100,Aberdeen,"Aberdeen, ID",789,B,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,1600100,Aberdeen,"Aberdeen, ID",789,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000,0
Total,Census Place,1600100,Aberdeen,"Aberdeen, ID",789,B,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,1600100,Aberdeen,"Aberdeen, ID",789,R,All Fixed Wireless,1.000000000,1.000000000,1.000000000,1.000000000,0.072243346,0.000000000
Total,Census Place,1600100,Aberdeen,"Aberdeen, ID",789,B,All Fixed Wireless,1.000000000,1.000000000,1.000000000,1.000000000,0.072243346,0
Total,Census Place,1600100,Aberdeen,"Aberdeen, ID",789,R,Unlicensed Fixed Wireless,0.422053232,0.422053232,0.422053232,0.391634981,0.072243346,0
Total,Census Place,1600100,Aberdeen,"Aberdeen, ID",789,B,Unlicensed Fixed Wireless,0.422053232,0.422053232,0.422053232,0.391634981,0.072243346,0
Total,Census Place,1600100,Aberdeen,"Aberdeen, ID",789,R,Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,1600100,Aberdeen,"Aberdeen, ID",789,B,Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000,0
Total,Census Place,1600100,Aberdeen,"Aberdeen, ID",789,R,Other,0,0,0,0,0,0.000000000
Total,Census Place,1600100,Aberdeen,"Aberdeen, ID",789,B,Other,0.000000000,0,0,0,0,0
Total,Census Place,1600280,Acequia,"Acequia, ID",77,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.909090909
Total,Census Place,1600280,Acequia,"Acequia, ID",77,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.909090909
Total,Census Place,1600280,Acequia,"Acequia, ID",77,R,All Wired,0.935064935,0.935064935,0.922077922,0.909090909,0.909090909,0.909090909
Total,Census Place,1600280,Acequia,"Acequia, ID",77,B,All Wired,0.935064935,0.935064935,0.922077922,0.909090909,0.909090909,0.909090909
Total,Census Place,1600280,Acequia,"Acequia, ID",77,R,Any Terrestrial,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.909090909
Total,Census Place,1600280,Acequia,"Acequia, ID",77,B,Any Terrestrial,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.909090909
Total,Census Place,1600280,Acequia,"Acequia, ID",77,R,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,1.000000000,0.909090909,0.909090909
Total,Census Place,1600280,Acequia,"Acequia, ID",77,B,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,1.000000000,0.909090909,0.909090909
