area_data_type,geography_type,geography_id,geography_desc,geography_desc_full,total_units,biz_res,technology,speed_02_02,speed_10_1,speed_25_3,speed_100_20,speed_250_25,speed_1000_100
Total,Census Place,6900300,Achugao,"Achugao, MP",42,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.166666667,0.166666667
Total,Census Place,6900300,Achugao,"Achugao, MP",42,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.619047619,0.619047619
Total,Census Place,6900300,Achugao,"Achugao, MP",42,R,All Wired,1.000000000,1.000000000,1.000000000,0.166666667,0.166666667,0.166666667
Total,Census Place,6900300,Achugao,"Achugao, MP",42,B,All Wired,1.000000000,1.000000000,1.000000000,0.619047619,0.619047619,0.619047619
Total,Census Place,6900300,Achugao,"Achugao, MP",42,R,Any Terrestrial,1.000000000,1.000000000,1.000000000,0.166666667,0.166666667,0.166666667
Total,Census Place,6900300,Achugao,"Achugao, MP",42,B,Any Terrestrial,1.000000000,1.000000000,1.000000000,0.619047619,0.619047619,0.619047619
Total,Census Place,6900300,Achugao,"Achugao, MP",42,R,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,0.166666667,0.166666667,0.166666667
Total,Census Place,6900300,Achugao,"Achugao, MP",42,B,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,0.619047619,0.619047619,0.619047619
Total,Census Place,6900300,Achugao,"Achugao, MP",42,R,Copper,1.000000000,1.000000000,1.000000000,0.000000000,0,0
Total,Census Place,6900300,Achugao,"Achugao, MP",42,B,Copper,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,6900300,Achugao,"Achugao, MP",42,R,Cable/Fiber,0.904761905,0.904761905,0.904761905,0.166666667,0.166666667,0.166666667
Total,Census Place,6900300,Achugao,"Achugao, MP",42,B,Cable/Fiber,0.928571429,0.928571429,0.928571429,0.619047619,0.619047619,0.619047619
Total,Census Place,6900300,Achugao,"Achugao, MP",42,R,Cable,0.904761905,0.904761905,0.904761905,0.000000000,0,0
Total,Census Place,6900300,Achugao,"Achugao, MP",42,B,Cable,0.904761905,0.904761905,0.904761905,0,0,0
Total,Census Place,6900300,Achugao,"Achugao, MP",42,R,Fiber,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667
Total,Census Place,6900300,Achugao,"Achugao, MP",42,B,Fiber,0.619047619,0.619047619,0.619047619,0.619047619,0.619047619,0.619047619
Total,Census Place,6900300,Achugao,"Achugao, MP",42,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000,0
Total,Census Place,6900300,Achugao,"Achugao, MP",42,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Total,Census Place,6900300,Achugao,"Achugao, MP",42,R,GSO Satellite,0,0.000000000,0,0,0,0
Total,Census Place,6900300,Achugao,"Achugao, MP",42,B,GSO Satellite,0,0,0,0,0.000000000,0
Total,Census Place,6900300,Achugao,"Achugao, MP",42,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000,0
Total,Census Place,6900300,Achugao,"Achugao, MP",42,B,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Total,Census Place,6900300,Achugao,"Achugao, MP",42,R,All Fixed Wireless,0.000000000,0,0,0,0,0
Total,Census Place,6900300,Achugao,"Achugao, MP",42,B,All Fixed Wireless,0,0,0,0,0.000000000,0
Total,Census Place,6900300,Achugao,"Achugao, MP",42,R,Unlicensed Fixed Wireless,0.000000000,0,0,0,0,0
Total,Census Place,6900300,Achugao,"Achugao, MP",42,B,Unlicensed Fixed Wireless,0,0,0,0,0,0.000000000
Total,Census Place,6900300,Achugao,"Achugao, MP",42,R,Licensed Fixed Wireless,0,0,0.000000000,0,0,0
Total,Census Place,6900300,Achugao,"Achugao, MP",42,B,Licensed Fixed Wireless,0.000000000,0,0,0,0,0
Total,Census Place,6900300,Achugao,"Achugao, MP",42,R,Other,0,0,0.000000000,0,0,0
Total,Census Place,6900300,Achugao,"Achugao, MP",42,B,Other,0.000000000,0,0,0,0,0
Total,Census Place,6900450,Afetnas,"Afetnas, MP",164,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,6900450,Afetnas,"Afetnas, MP",164,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.134146341,0.134146341
Total,Census Place,6900450,Afetnas,"Afetnas, MP",164,R,All Wired,1.000000000,1.000000000,1.000000000,0,0,0.000000000
Total,Census Place,6900450,Afetnas,"Afetnas, MP",164,B,All Wired,1.000000000,1.000000000,1.000000000,0.134146341,0.134146341,0.134146341
Total,Census Place,6900450,Afetnas,"Afetnas, MP",164,R,Any Terrestrial,1.000000000,1.000000000,1.000000000,0,0,0.000000000
Total,Census Place,6900450,Afetnas,"Afetnas, MP",164,B,Any Terrestrial,1.000000000,1.000000000,1.000000000,0.134146341,0.134146341,0.134146341
Total,Census Place,6900450,Afetnas,"Afetnas, MP",164,R,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,0,0,0
