area_data_type,geography_type,geography_id,geography_desc,geography_desc_full,total_units,biz_res,technology,speed_02_02,speed_10_1,speed_25_3,speed_100_20,speed_250_25,speed_1000_100
Total,Census Place,5000400,Albany,"Albany, VT",89,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.662921348,0.662921348
Total,Census Place,5000400,Albany,"Albany, VT",89,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.651685393,0.651685393
Total,Census Place,5000400,Albany,"Albany, VT",89,R,All Wired,0.966292135,0.966292135,0.662921348,0.662921348,0.662921348,0.662921348
Total,Census Place,5000400,Albany,"Albany, VT",89,B,All Wired,0.662921348,0.662921348,0.651685393,0.651685393,0.651685393,0.651685393
Total,Census Place,5000400,Albany,"Albany, VT",89,R,Any Terrestrial,0.988764045,0.988764045,0.955056180,0.674157303,0.662921348,0.662921348
Total,Census Place,5000400,Albany,"Albany, VT",89,B,Any Terrestrial,0.898876404,0.876404494,0.876404494,0.662921348,0.651685393,0.651685393
Total,Census Place,5000400,Albany,"Albany, VT",89,R,All Wired and Licensed Fixed Wireless,0.977528090,0.977528090,0.921348315,0.662921348,0.662921348,0.662921348
Total,Census Place,5000400,Albany,"Albany, VT",89,B,All Wired and Licensed Fixed Wireless,0.685393258,0.674157303,0.674157303,0.651685393,0.651685393,0.651685393
Total,Census Place,5000400,Albany,"Albany, VT",89,R,Copper,0.842696629,0.842696629,0.011235955,0.000000000,0,0
Total,Census Place,5000400,Albany,"Albany, VT",89,B,Copper,0.067415730,0.067415730,0,0,0.000000000,0
Total,Census Place,5000400,Albany,"Albany, VT",89,R,Cable/Fiber,0.662921348,0.662921348,0.662921348,0.662921348,0.662921348,0.662921348
Total,Census Place,5000400,Albany,"Albany, VT",89,B,Cable/Fiber,0.651685393,0.651685393,0.651685393,0.651685393,0.651685393,0.651685393
Total,Census Place,5000400,Albany,"Albany, VT",89,R,Cable,0.000000000,0,0,0,0,0
Total,Census Place,5000400,Albany,"Albany, VT",89,B,Cable,0,0,0,0,0.000000000,0
Total,Census Place,5000400,Albany,"Albany, VT",89,R,Fiber,0.662921348,0.662921348,0.662921348,0.662921348,0.662921348,0.662921348
Total,Census Place,5000400,Albany,"Albany, VT",89,B,Fiber,0.651685393,0.651685393,0.651685393,0.651685393,0.651685393,0.651685393
Total,Census Place,5000400,Albany,"Albany, VT",89,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000,0
Total,Census Place,5000400,Albany,"Albany, VT",89,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000,0
Total,Census Place,5000400,Albany,"Albany, VT",89,R,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,5000400,Albany,"Albany, VT",89,B,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0.000000000
Total,Census Place,5000400,Albany,"Albany, VT",89,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Total,Census Place,5000400,Albany,"Albany, VT",89,B,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Total,Census Place,5000400,Albany,"Albany, VT",89,R,All Fixed Wireless,0.955056180,0.932584270,0.910112360,0.044943820,0.000000000,0
Total,Census Place,5000400,Albany,"Albany, VT",89,B,All Fixed Wireless,0.696629213,0.640449438,0.606741573,0.044943820,0.000000000,0
Total,Census Place,5000400,Albany,"Albany, VT",89,R,Unlicensed Fixed Wireless,0.617977528,0.573033708,0.528089888,0.044943820,0,0
Total,Census Place,5000400,Albany,"Albany, VT",89,B,Unlicensed Fixed Wireless,0.606741573,0.573033708,0.528089888,0.044943820,0,0
Total,Census Place,5000400,Albany,"Albany, VT",89,R,Licensed Fixed Wireless,0.910112360,0.876404494,0.842696629,0,0,0
Total,Census Place,5000400,Albany,"Albany, VT",89,B,Licensed Fixed Wireless,0.157303371,0.134831461,0.134831461,0,0,0
Total,Census Place,5000400,Albany,"Albany, VT",89,R,Other,0,0,0,0,0.000000000,0
Total,Census Place,5000400,Albany,"Albany, VT",89,B,Other,0.000000000,0,0,0,0,0
Total,Census Place,5000850,Alburgh,"Alburgh, VT",361,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,5000850,Alburgh,"Alburgh, VT",361,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Total,Census Place,5000850,Alburgh,"Alburgh, VT",361,R,All Wired,0.634349030,0.634349030,0.598337950,0,0,0.000000000
Total,Census Place,5000850,Alburgh,"Alburgh, VT",361,B,All Wired,0.030470914,0.030470914,0.030470914,0,0,0
Total,Census Place,5000850,Alburgh,"Alburgh, VT",361,R,Any Terrestrial,0.939058172,0.939058172,0.939058172,0,0,0
Total,Census Place,5000850,Alburgh,"Alburgh, VT",361,B,Any Terrestrial,0.343490305,0.274238227,0.274238227,0,0,0
Total,Census Place,5000850,Alburgh,"Alburgh, VT",361,R,All Wired and Licensed Fixed Wireless,0.939058172,0.939058172,0.939058172,0,0.000000000,0
Total,Census Place,5000850,Alburgh,"Alburgh, VT",361,B,All Wired and Licensed Fixed Wireless,0.343490305,0.274238227,0.274238227,0,0,0
Total,Census Place,5000850,Alburgh,"Alburgh, VT",361,R,Copper,0.634349030,0.634349030,0.598337950,0,0.000000000,0
Total,Census Place,5000850,Alburgh,"Alburgh, VT",361,B,Copper,0.030470914,0.030470914,0.030470914,0,0.000000000,0
