area_data_type,geography_type,geography_id,geography_desc,total_area,mobilebb_3g_area_st_pct,mobilebb_3g_area_iv_pct,mobilebb_4g_area_st_pct,mobilebb_4g_area_iv_pct,mobilebb_5g_spd1_area_st_pct,mobilebb_5g_spd1_area_iv_pct,mobilebb_5g_spd2_area_st_pct,mobilebb_5g_spd2_area_iv_pct
Total,Census Place,0100100,"Abanda, AL",8.215935000,0.000000000,0.000000000,1.000000000,0.871794872,0.012820513,0.000000000,0.000000000,0.000000000
Total,Census Place,0100124,"Abbeville, AL",41.711670000,0.000000000,0.000000000,1.000000000,0.896464646,0.893939394,0.363636364,0.694444444,0.272727273
Total,Census Place,0100460,"Adamsville, AL",69.519450000,0.000000000,0.000000000,1.000000000,0.898484848,0.953030303,0.769696970,0.862121212,0.686363636
Total,Census Place,0100484,"Addison, AL",9.795922500,0.000000000,0.000000000,1.000000000,0.956989247,0.989247312,0.849462366,0.935483871,0.677419355
Total,Census Place,0100676,"Akron, AL",1.790652500,0.000000000,0.000000000,1.000000000,0.058823529,0.235294118,0.000000000,0.000000000,0.000000000
Total,Census Place,0100820,"Alabaster, AL",66.991470000,0.000000000,0.000000000,1.000000000,0.992138365,1.000000000,0.971698113,0.988993711,0.880503145
Total,Census Place,0100988,"Albertville, AL",71.520767500,0.000000000,0.000000000,1.000000000,0.980854197,0.988217968,0.724594993,0.893961708,0.553755523
Total,Census Place,0101132,"Alexander City, AL",116.813742500,0.000000000,0.000000000,1.000000000,0.877366997,0.929666366,0.337240757,0.653742110,0.220919748
Total,Census Place,0101180,"Alexandria, AL",29.809097500,0.000000000,0.000000000,1.000000000,0.968197880,0.996466431,0.918727915,0.964664311,0.830388693
Total,Census Place,0101228,"Aliceville, AL",11.797240000,0.000000000,0.000000000,1.000000000,0.973214286,0.982142857,0.705357143,0.946428571,0.500000000
Total,Census Place,0101396,"Allgood, AL",2.738645000,0.000000000,0.000000000,1.000000000,1.000000000,1.000000000,0.923076923,1.000000000,0.807692308
Total,Census Place,0101660,"Altoona, AL",12.007905000,0.000000000,0.000000000,1.000000000,0.938596491,0.938596491,0.675438596,0.736842105,0.491228070
Total,Census Place,0101708,"Andalusia, AL",52.034255000,0.000000000,0.000000000,1.000000000,0.955465587,0.987854251,0.647773279,0.831983806,0.504048583
Total,Census Place,0101756,"Anderson, AL",3.475972500,0.000000000,0.000000000,1.000000000,1.000000000,1.000000000,0.969696970,1.000000000,0.848484848
Total,Census Place,0101852,"Anniston, AL",122.396365000,0.000000000,0.000000000,1.000000000,0.943201377,0.980206540,0.878657487,0.933734940,0.823580034
Total,Census Place,0102116,"Arab, AL",36.234380000,0.000000000,0.000000000,1.000000000,0.941860465,0.950581395,0.601744186,0.651162791,0.386627907
Total,Census Place,0102260,"Ardmore, AL",5.477290000,0.000000000,0.000000000,1.000000000,1.000000000,1.000000000,0.961538462,1.000000000,0.923076923
Total,Census Place,0102320,"Argo, AL",28.439775000,0.000000000,0.000000000,1.000000000,0.807407407,0.914814815,0.670370370,0.796296296,0.555555556
Total,Census Place,0102428,"Ariton, AL",13.377227500,0.000000000,0.000000000,1.000000000,0.881889764,0.763779528,0.110236220,0.291338583,0.023622047
Total,Census Place,0102500,"Arley, AL",10.111920000,0.000000000,0.000000000,1.000000000,0.916666667,0.958333333,0.593750000,0.541666667,0.260416667
Total,Census Place,0102836,"Ashford, AL",16.537202500,0.000000000,0.000000000,1.000000000,0.987261146,1.000000000,0.929936306,0.987261146,0.764331210
Total,Census Place,0102860,"Ashland, AL",19.486512500,0.000000000,0.000000000,1.000000000,0.902702703,0.983783784,0.627027027,0.859459459,0.572972973
Total,Census Place,0102908,"Ashville, AL",51.507592500,0.000000000,0.000000000,1.000000000,0.950920245,0.993865031,0.535787321,0.887525562,0.349693252
Total,Census Place,0102956,"Athens, AL",107.017820000,0.000000000,0.000000000,1.000000000,0.993110236,0.998031496,0.973425197,0.985236220,0.903543307
Total,Census Place,0103004,"Atmore, AL",56.247555000,0.000000000,0.000000000,1.000000000,0.923220974,0.979400749,0.702247191,0.833333333,0.477528090
Total,Census Place,0103028,"Attalla, AL",18.538520000,0.000000000,0.000000000,1.000000000,1.000000000,1.000000000,0.994318182,0.994318182,0.880681818
Total,Census Place,0103076,"Auburn, AL",164.424032500,0.000000000,0.000000000,1.000000000,0.914157591,0.963484946,0.821909033,0.900704676,0.736707239
Total,Census Place,0103220,"Autaugaville, AL",20.750502500,0.000000000,0.000000000,1.000000000,0.994923858,1.000000000,0.467005076,1.000000000,0.223350254
Total,Census Place,0103364,"Avon, AL",6.425282500,0.000000000,0.000000000,1.000000000,1.000000000,1.000000000,0.983606557,0.983606557,0.655737705
Total,Census Place,0103508,"Axis, AL",9.163927500,0.000000000,0.000000000,1.000000000,1.000000000,1.000000000,0.977011494,1.000000000,0.850574713
Total,Census Place,0103556,"Babbie, AL",30.125095000,0.000000000,0.000000000,1.000000000,0.825174825,0.709790210,0.311188811,0.486013986,0.265734266
Total,Census Place,0103676,"Baileyton, AL",13.903890000,0.000000000,0.000000000,1.000000000,1.000000000,1.000000000,0.977272727,0.962121212,0.787878788
Total,Census Place,0103724,"Bakerhill, AL",6.951945000,0.000000000,0.000000000,1.000000000,0.636363636,0.560606061,0.000000000,0.242424242,0.000000000
Total,Census Place,0103820,"Ballplay, AL",63.726162500,0.000000000,0.000000000,1.000000000,0.671074380,0.852892562,0.312396694,0.528925620,0.201652893
Total,Census Place,0103940,"Banks, AL",5.161292500,0.000000000,0.000000000,1.000000000,0.897959184,0.979591837,0.510204082,0.836734694,0.367346939
Total,Census Place,0104660,"Bay Minette, AL",44.660980000,0.000000000,0.000000000,0.997641509,0.811320755,0.962264151,0.613207547,0.790094340,0.488207547
Total,Census Place,0104684,"Bayou La Batre, AL",19.170515000,0.000000000,0.000000000,1.000000000,0.983516484,1.000000000,0.994505495,1.000000000,0.923076923
Total,Census Place,0104852,"Bear Creek, AL",35.813050000,0.000000000,0.000000000,0.997058824,0.861764706,0.941176471,0.676470588,0.755882353,0.555882353
Total,Census Place,0104900,"Beatrice, AL",3.370640000,0.000000000,0.000000000,1.000000000,0.875000000,0.031250000,0.000000000,0.031250000,0.000000000
Total,Census Place,0104948,"Beaverton, AL",11.691907500,0.000000000,0.000000000,0.936936937,0.333333333,0.621621622,0.171171171,0.450450450,0.126126126
Total,Census Place,0105140,"Belgreen, AL",3.370640000,0.000000000,0.000000000,1.000000000,1.000000000,1.000000000,0.937500000,1.000000000,0.906250000
Total,Census Place,0105164,"Belk, AL",3.265307500,0.000000000,0.000000000,1.000000000,1.000000000,1.000000000,0.903225806,0.967741935,0.806451613
Total,Census Place,0105188,"Bellamy, AL",9.479925000,0.000000000,0.000000000,1.000000000,1.000000000,1.000000000,0.900000000,1.000000000,0.855555556
Total,Census Place,0105212,"Belle Fontaine, AL",4.845295000,0.000000000,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,0105692,"Benton, AL",0.947992500,0.000000000,0.000000000,1.000000000,0.555555556,0.777777778,0.111111111,0.444444444,0.000000000
Total,Census Place,0105812,"Berlin, AL",3.265307500,0.000000000,0.000000000,1.000000000,1.000000000,1.000000000,0.870967742,0.741935484,0.258064516
Total,Census Place,0105932,"Berry, AL",27.913112500,0.000000000,0.000000000,1.000000000,0.886792453,0.935849057,0.664150943,0.826415094,0.581132075
Total,Census Place,0105980,"Bessemer, AL",107.333817500,0.000000000,0.000000000,1.000000000,0.987242395,0.999018646,0.929342493,0.957801766,0.864573111
Total,Census Place,0106460,"Billingsley, AL",3.054642500,0.000000000,0.000000000,1.000000000,0.689655172,1.000000000,0.034482759,0.551724138,0.000000000
